,ZZ.S.PIZZA...GRILL,X1.RICHMOND.TERRACE.STATEN.ISLAND.NY.10301,X.74.0751202,X40.642211
1,ZZ CLAM BAR,"169 THOMPSON ST,MANHATTAN NY,10012",-74.000466,40.727688
2,ZYMI BAR & GRILL,"726 ASTOR AVENUE,BRONX NY,10467",-73.8662887,40.8594314
3,ZUZU RAMEN,"173 4 AVENUE,BROOKLYN NY,11217",-73.9819812,40.6784874
4,ZUTTO,"77 HUDSON STREET,MANHATTAN NY,10013",-74.0090997,40.7184744
5,ZURILEE,"755 FLATBUSH AVE,BROOKLYN NY,11226",-73.9593205,40.6545125
6,ZUMBA RESTAURANT,"330 HEBERTON AVENUE,STATEN ISLAND NY,10302",-74.134152,40.632998
7,ZUMA NEW YORK,"261 MADISON AVE,MANHATTAN NY,10016",-73.9806266,40.7504872
8,ZUM STAMMTISCH,"6946 MYRTLE AVENUE,QUEENS NY,11385",-73.8811281,40.7017493
9,ZUM SCHNEIDER,"107109 AVENUE C,MANHATTAN NY,10009",-73.9764081,40.7274332
10,ZUCKER'S BAGELS AND SMOKED FISH,"146 CHAMBERS STREET,MANHATTAN NY,10007",-74.009836,40.7155818
11,ZUCKER'S BAGEL,"370 LEXINGTON AVENUE,MANHATTAN NY,10017",-73.9767958,40.750761
12,ZUCKER BAKERY,"433 EAST    9 STREET,MANHATTAN NY,10009",-73.9833159,40.7277105
13,ZUCCHERO E POMODORI,"1435 2 AVENUE,MANHATTAN NY,10021",-73.9573014,40.7706645
14,ZUCCHERO E POMODORI,"1435 2ND AVE,MANHATTAN NY,10021",-73.9573014,40.7706645
15,ZUCCA BUCA FROZEN YOGURT,"18816 UNION TURNPIKE,QUEENS NY,11366",-73.7804838,40.7291221
16,ZU RANG NY,"4114 162ND ST,QUEENS NY,11358",-73.8040289,40.7609592
17,ZOU'S RESTAURANT BUFFET,"233 UTICA AVE,BROOKLYN NY,11213",-73.930659,40.670792
18,ZORBA'S,"2905 23 AVENUE,QUEENS NY,11105",-73.913373,40.775064
