HOTEL BPM BROOKLYN,"139 33RD ST,BROOKLYN NY,11232"
HOT WOK,"119 BAY RIDGE AVE,BROOKLYN NY,11220"
HOT SICHUAN,"130 9TH AVE,MANHATTAN NY,10011"
HOT SHOTZ SPORTS BAR I,"6323 AMBOY ROAD,STATEN ISLAND NY,10309"
HOT POTATO HOUSE,"109 ORIENTAL BLVD,BROOKLYN NY,11235"
HOT POT UNDER DE' TREE,"2839 FREDERICK DOUGLAS BOULEVARD,MANHATTAN NY,10039"
HOT POT JAMAICAN & AMERICAN CUISINE,"11632 SPRINGFIELD BOULEVARD,QUEENS NY,11411"
HOT POT HOUSE,"13621 41 AVENUE,QUEENS NY,11355"
HOT POT (STE #4),"13620 ROOSEVELT AVENUE,QUEENS NY,11354"
HOT POINT POT,"13672 ROOSEVELT AVE,QUEENS NY,11354"
HOT KITCHEN SICHUAN STYLE,"13343 ROOSEVELT AVE,QUEENS NY,11354"
HOT KITCHEN,"104 2 AVENUE,MANHATTAN NY,10003"
HOT KITCHEN,"251 E 53RD ST,MANHATTAN NY,10022"
HOT JALAPENO RESTAURANT,"219 EAST  116 STREET,MANHATTAN NY,10029"
HOT GINGER ASIAN FUSION,"73-32 BELL BLVD,QUEENS NY,11364"
"HOT DOG CONCESSION, DUNKIN DONUTS","4 PENN PLZ,MANHATTAN NY,10121"
"HOT DOG CONCESSION, CHICKEN/CELEBRITY CHEF","4 PENN PLZ,MANHATTAN NY,10121"
HOT DOG CONCESSION,"4 PENN PLZ,MANHATTAN NY,10121"
HOT CLAY OVEN,"708 3RD AVE,MANHATTAN NY,10017"
HOT CHIX,"110 DEKALB AVENUE,BROOKLYN NY,11201"
HOT BIRD,"825 ATLANTIC AVENUE,BROOKLYN NY,11238"
HOT BIALYS & BAGELS,"11663 QUEENS BOULEVARD,QUEENS NY,11375"
HOT BAGELS & MORE,"758 ARTHUR KILL RD,STATEN ISLAND NY,10312"
HOT BAGELS & MORE,"758 ARTHUR KILL ROAD,STATEN ISLAND NY,10312"
HOT BAGELS,"4706 AVENUE N,BROOKLYN NY,11234"
HOT BAGELS,"7905 METROPOLITAN AVENUE,QUEENS NY,11379"
HOT BAGELS,"1594 ROCKAWAY PARKWAY,BROOKLYN NY,11236"
HOT & TASTY,"12010 QUEENS BOULEVARD,QUEENS NY,11415"
HOT & CRUSTY BAKERY,"84 EAST   42 STREET,MANHATTAN NY,10017"
HOT & CRUSTY BAGELS CAFE,"1276 LEXINGTON AVENUE,MANHATTAN NY,10028"
HOT & CRUSTY,"2393 BROADWAY,MANHATTAN NY,10024"
HOT & CRUSTY,"16 COBBLEFIELD LN,Missing NY,10605"
HOSTOS COMMUNITY COLLEGE,"500 GRAND CONCOURSE,BRONX NY,10451"
HORUS TOO,"416 WEST   46 STREET,MANHATTAN NY,10036"
HORUS KABAB HOUSE,"93 AVENUE B,MANHATTAN NY,10009"
HORUS GRILL,"722 KINGS HIGHWAY,BROOKLYN NY,11223"
HORUS CAFE,"293 EAST   10 STREET,MANHATTAN NY,10009"
HORNADO ECUATORIANO,"7618 ROOSEVELT AVENUE,QUEENS NY,11372"
HORIZON BAKERY CAFE,"0 JFK INTL AIRPORT,QUEENS NY,11430"
HORCHATA,"470 AVENUE OF THE AMERICAS,MANHATTAN NY,10011"
HOPS HILL,"886 FULTON ST,BROOKLYN NY,11238"
HOPHAP,"204 SMITH STREET,BROOKLYN NY,11201"
HOPE GARAGE,"163 HOPE STREET,BROOKLYN NY,11211"
HOPE & ANCHOR,"347 VAN BRUNT STREET,BROOKLYN NY,11231"
HOP WONG RESTAURANT,"1791 MONROE AVE,BRONX NY,10457"
HOP WON EXPRESS,"139 E 45TH ST,MANHATTAN NY,10017"
HOP SHING RESTAURANT,"9 CHATHAM SQUARE,MANHATTAN NY,10038"
HOP LEE RESTARANT,"16 MOTT STREET,MANHATTAN NY,10013"
HOP LEE KITCHEN,"992 MANHATTAN AVENUE,BROOKLYN NY,11222"
HOP KEE RESTAURANT,"21 MOTT STREET,MANHATTAN NY,10013"
HOP FA BAKERY,"6512 BAY PARKWAY,BROOKLYN NY,11204"
HOP BO PALACE,"10119 QUEENS BOULEVARD,QUEENS NY,11375"
HOOTERS,"61-09 190TH ST,QUEENS NY,11365"
HOOTERS,"155 W 33RD ST,MANHATTAN NY,10001"
HOOMOOS ASLI,"100 KENMARE STREET,MANHATTAN NY,10012"
HOOK CAFE,"300 WESTERN AVENUE,STATEN ISLAND NY,10303"
HONKY TONK TAVERN,"1154 1 AVENUE,MANHATTAN NY,10065"
HONK KONG BOY RESTAURANT,"6201 8TH AVE,BROOKLYN NY,11220"
HONG LI CHINESE FOOD TAKE OUT,"1821 PITKIN AVENUE,BROOKLYN NY,11212"
HONG KONG STREET CART,"230 PARK AVE,MANHATTAN NY,10169"
HONG KONG RESTAURANT,"10259 JAMAICA AVENUE,QUEENS NY,11418"
HONG KONG RESTAURANT,"2307 STEINWAY ST,QUEENS NY,11105"
HONG KONG RESTAURANT,"1811 WILLIAMSBRIDGE ROAD,BRONX NY,10461"
