MR WASABI,"4232 BELL BOULEVARD,QUEENS NY,11361"
MR TONG,"2926 FORT HAMILTON PARKWAY,BROOKLYN NY,11218"
MR TAKA RAMEN,"170 ALLEN ST,MANHATTAN NY,10002"
MR SOUVLAKI,"208 FRANKLIN ST,BROOKLYN NY,11222"
MR PURPLE,"180 ORCHARD ST,MANHATTAN NY,10002"
MR MCGOO'S,"5602 BROADWAY,BRONX NY,10463"
MR KING FOOD KITCHEN,"579 ALBANY AVE,BROOKLYN NY,11203"
MR K'S RESTAURANT,"570 LEXINGTON AVENUE,MANHATTAN NY,10022"
MR CHI NOODLE,"1 W 58TH ST,MANHATTAN NY,10019"
MR CHEN CHINESE RESTAURANT,"5905 MYRTLE AVENUE,QUEENS NY,11385"
MR CHANS RESTAURANT,"1269 RALPH AVENUE,BROOKLYN NY,11236"
MR CAKE BAKERY & DESSERT,"1166 CASTLE HILL AVE,BRONX NY,10462"
MR BROADWAY KOSHER RESTAURANT,"1372 BROADWAY,MANHATTAN NY,10018"
MR BAGEL,"6864 FRESH POND RD,QUEENS NY,11385"
MR AND MISS CAFE,"2349 86TH ST,BROOKLYN NY,11214"
MP TAVERNA,"3129 DITMARS BOULEVARD,QUEENS NY,11105"
MP TAVERNA,"470 DRIGGS AVE,BROOKLYN NY,11211"
MOZZARELLI'S,"38 EAST   23 STREET,MANHATTAN NY,10010"
MOZZARELLA & VINO,"33 WEST   54 STREET,MANHATTAN NY,10019"
MOZZARELLA,"264 LEE AVE,BROOKLYN NY,11206"
MOVIE WORLD DOUGLASTON,"24202 61 AVENUE,QUEENS NY,11362"
MOVE WITH GRACE,"469 MYRTLE AVENUE,BROOKLYN NY,11205"
MOUSTACHE RESTAURANT,"90 BEDFORD STREET,MANHATTAN NY,10014"
MOUSTACHE,"265 EAST   10 STREET,MANHATTAN NY,10009"
MOUSTACHE,"1621 LEXINGTON AVENUE,MANHATTAN NY,10029"
MOUNTAINS & RIVERS SZECHUAN HOUSE,"3916 PRINCE ST,QUEENS NY,11354"
MOUNTAIN PROVINCE,"1 MESEROLE STREET,BROOKLYN NY,11206"
MOTTSU,"285 MOTT STREET,MANHATTAN NY,10012"
MOTT HAVEN BAR & GRILL,"2412 3RD AVE,BRONX NY,10454"
MOTT CORNER,"58 KENMARE STREET,MANHATTAN NY,10012"
MOTORINO PIZZERIA NAPOLETANA,"349 EAST   12 STREET,MANHATTAN NY,10003"
MOTORINO BROADWAY,"139 BROADWAY,BROOKLYN NY,11211"
MOTO,"394 BROADWAY,BROOKLYN NY,11211"
MOTIVO,"915 BROADWAY,MANHATTAN NY,10010"
MOTIN SPICE AND SWEETS,"1215 LIBERTY AVE,BROOKLYN NY,11208"
MOTI'S,"5007 16 AVENUE,BROOKLYN NY,11204"
MOTI MAHAL DELUX,"1149 1 AVENUE,MANHATTAN NY,10065"
MOTHER'S RUIN,"18 SPRING STREET,MANHATTAN NY,10012"
MOTHER'S BAKE SHOP,"548 WEST  235 STREET,BRONX NY,10463"
MOTHER'S,"347 GRAHAM AVENUE,BROOKLYN NY,11211"
MOTHER PUGS SALOON,"1371 FOREST AVENUE,STATEN ISLAND NY,10302"
MOTHER BURGER,"329 WEST   49 STREET,MANHATTAN NY,10019"
MOSS CAFE,"3260 JOHNSON AVE,BRONX NY,10463"
MOSAIC,"2519 24 AVENUE,QUEENS NY,11102"
MORTON'S THE STEAKHOUSE,"5 EAST   45 STREET,MANHATTAN NY,10176"
MORTON'S THE STEAKHOUSE,"136 WASHINGTON STREET,MANHATTAN NY,10006"
MORSO,"420 EAST   59 STREET,MANHATTAN NY,10022"
MORRONE PASTRY SHOP & CAFE,"2349 ARTHUR AVE,BRONX NY,10458"
MORRITO'S CAFE,"4005 13TH AVE,BROOKLYN NY,11218"
MORRIS YACHT & BEACH CLUB,"25 CITY ISLAND AVENUE,BRONX NY,10464"
Morris Sandwich Shop,"788 FRANKLIN AVE,BROOKLYN NY,11238"
MORRIS PARK PIZZA,"656 MORRIS PARK AVENUE,BRONX NY,10462"
MORRIS PARK BAKE SHOP,"1007 MORRIS PARK AVE,BRONX NY,10462"
MORRELL WINE BAR & CAFE,"14 WEST   49 STREET,MANHATTAN NY,10020"
MOROCHO BAKERY,"11126 ROOSEVELT AVE,QUEENS NY,11368"
MORNINGSTAR RESTAURANT,"949 2 AVENUE,MANHATTAN NY,10022"
MORNING STAR RESTAURANT,"879 9 AVENUE,MANHATTAN NY,10019"
MORNING GLORY BAKERY,"9305 63RD DR,QUEENS NY,11374"
MORINI RISTORANTE,"1167 MADISON AVENUE,MANHATTAN NY,10028"
MORINI OSTERIA ROMAGNOLA,"218 LAFAYETTE STREET,MANHATTAN NY,10012"
MORIMOTO NY,"88 10 AVENUE,MANHATTAN NY,10011"
MORGENSTERN'S FINEST ICE CREAM,"215 BOWERY,MANHATTAN NY,10002"
MORGAN'S BBQ,"267 FLATBUSH AVENUE,BROOKLYN NY,11217"
MORGAN STANLEY EMPLOYEE CAFETERIA,"1 NEW YORK PLAZA,MANHATTAN NY,10004"
MORGAN STANLEY CONFERENCE CENTER,"522 5 AVENUE,MANHATTAN NY,10036"
