CAVATAPPO GRILL,"1712 FIRST AVENUE,MANHATTAN NY,10128"
CAVALLO'S PIZZERIA,"324 7 AVENUE,MANHATTAN NY,10001"
CAVALA,"5025-5035 BROADWAY,MANHATTAN NY,10040"
CATSKILL BAGEL CO.,"1416 CORTELYOU ROAD,BROOKLYN NY,11226"
cats on the bay,"2027 EMMONS AVE,BROOKLYN NY,11235"
CATHY'S PLACE DINER,"9526 FOURTH AVENUE,BROOKLYN NY,11209"
CATHERINE BAKERY,"4049 COLLEGE POINT BOULEVARD,QUEENS NY,11354"
CATHERINE BAKERY,"3622 UNION ST,QUEENS NY,11354"
CATFISH,"1433 BEDFORD AVENUE,BROOKLYN NY,11216"
CATERINA'S PIZZERIA,"907 LIVONIA AVENUE,BROOKLYN NY,11207"
CATERINA PIZZA,"3035 FULTON STREET,BROOKLYN NY,11208"
CATCH OF THE DAY,"126 ROOSEVELT AVENUE,QUEENS NY,11368"
CATCH 22,"7221 3 AVENUE,BROOKLYN NY,11209"
CATCH,"2127 9 AVENUE,MANHATTAN NY,10014"
CATANIA'S PIZZA CAFE,"2307 ARTHUR AVE,BRONX NY,10458"
CATALDO'S RESTAURANT,"554 VANDERBILT AVENUE,BROOKLYN NY,11238"
CATA,"245 BOWERY ST,MANHATTAN NY,10002"
CASTRO'S RESTAURANT,"511 MYRTLE AVENUE,BROOKLYN NY,11205"
CASTILLO RESTAURNAT,"709 5TH AVE,BROOKLYN NY,11215"
CASTILLO RESTAURANT,"1227 BEDFORD AVE,BROOKLYN NY,11216"
CASTILLO ECUATORIANO RESTAURANT,"4020 5 AVENUE,BROOKLYN NY,11232"
CASTILLO DE JAGUA DELI RESTAURANT,"6811 4 AVENUE,BROOKLYN NY,11220"
CASTILLO DE JAGUA 3,"721 4 AVENUE,BROOKLYN NY,11232"
CASTELTON CORNERS PUB,"1815 VICTORY BOULEVARD,STATEN ISLAND NY,10314"
CASSIS BISTRO/BRASSERIE,"225 COLUMBUS AVENUE,MANHATTAN NY,10023"
CASSIDY'S PUB,"65 WEST   55 STREET,MANHATTAN NY,10019"
CASSIDY'S ALE HOUSE,"7502 31 AVENUE,BRONX NY,11370"
CASSIANO'S PIZZA,"930 3 AVENUE,MANHATTAN NY,10022"
CASSETTE,"113 FRANKLIN ST,BROOKLYN NY,11222"
CASPIY,"1309 AVENUE Z,BROOKLYN NY,11235"
CASK BAR & KITCHEN,"167 EAST   33 STREET,MANHATTAN NY,10016"
CASIMIR & CO,"1022 LEXINGTON AVE,MANHATTAN NY,10021"
CASEY'S PUBLIC HOUSE,"1063 POST AVENUE,STATEN ISLAND NY,10302"
CASELLULA CHEESE & WINE CAFE,"401 WEST   52 STREET,MANHATTAN NY,10019"
CASELLA BAGEL COFFEE SHOP,"66 WILLOUGHBY ST,BROOKLYN NY,11201"
CASCATA,"NKA JFK INTL AIRPORT,QUEENS NY,11430"
CASCARINO'S PIZZA,"1460 COLLEGE POINT BOULEVARD,QUEENS NY,11356"
CASCARINO'S,"15259 10 AVENUE,QUEENS NY,11357"
Cascalote Latin Bistro,"2126 2ND AVENUE,MANHATTAN NY,10029"
CASCADES CATERING HALL,"1055 EAST   45 STREET,BROOKLYN NY,11203"
CASCADE CAFE,"900 8 AVENUE,MANHATTAN NY,10019"
CASCADA RESTAURANT AND BAR,"5322 ROOSEVELT AVENUE,QUEENS NY,11377"
CASCADA  CAFE,"675A SENECA AVE,QUEENS NY,11385"
CASCABEL TAQUERIA,"1556 2ND AVE,MANHATTAN NY,10028"
CASCABEL TAQUERIA,"2799 BROADWAY,MANHATTAN NY,10025"
CASANOVAS BILLIARDS,"102-02 43 AVENUE,QUEENS NY,11368"
CASANOVA RESTAURANT,"338 MC GUINESS BOULEVARD,BROOKLYN NY,11222"
CASALE'S BAKERY & SPECIALTY FOODS,"96 PAGE AVENUE,STATEN ISLAND NY,10309"
CASABLANCA GRILL,"1132 1ST AVE,MANHATTAN NY,10065"
CASABLANCA BAR & GRILL,"1810 FLATBUSH AVE,BROOKLYN NY,11210"
CASABLANCA,"340 WALTON AVE,BRONX NY,10451"
CASABIANCA PIZZERIA,"503 WEST   57 STREET,MANHATTAN NY,10019"
CASA VIEJA RESTAURANT,"6007 5 AVENUE,BROOKLYN NY,11220"
CASA VERDE,"3471 RICHMOND ROAD,STATEN ISLAND NY,10306"
CASA RESTAURANT & LOUNGE,"3607 E TREMONT AVE,BRONX NY,10465"
CASA PROMESA,"308 EAST  175 STREET,BRONX NY,10457"
CASA PROMESA,"915 WESTCHESTER AVENUE,BRONX NY,10459"
CASA PEPE,"114 BAYRIDGE AVENUE,BROOKLYN NY,11220"
CASA PANINI TRATTORIA ITALIANA,"100 STUYVESANT PL,STATEN ISLAND NY,10301"
CASA NOVA,"3555 VICTORY BOULEVARD,STATEN ISLAND NY,10314"
CASA NONNA,"310 WEST   38 STREET,MANHATTAN NY,10018"
CASA NINO,"1757 ARTHUR KILL ROAD,STATEN ISLAND NY,10312"
CASA MONO/BAR JAMON (NEXT DOOR),"52 IRVING PLACE,MANHATTAN NY,10003"
CASA MEZCAL,"86 ORCHARD STREET,MANHATTAN NY,10002"
CASA MEXICANA,"898 AMSTERDAM AVE,MANHATTAN NY,10025"
CASA LOUNGE,"2557 STEINWAY STREET,QUEENS NY,11103"
CASA LEVER,"390 PARK AVENUE,MANHATTAN NY,10022"
CASA LA FEMME,"140 CHARLES STREET,MANHATTAN NY,10014"
CASA ENRIQUE,"548 49 AVENUE,QUEENS NY,11101"
Casa Edesia,"2006 CROPSEY AVE,BROOKLYN NY,11214"
CASA DI ISACCO,"536 9 AVENUE,MANHATTAN NY,10018"
CASA DEL CHEF BISTRO,"3906 1/2 64TH ST,QUEENS NY,11377"
CASA COLOMBIA,"8623 ROOSEVELT AVE,QUEENS NY,11372"
CASA CHONITA,"490 BROADWAY,STATEN ISLAND NY,10310"
CASA BELLA,"127 MULBERRY STREET,MANHATTAN NY,10013"
CASA ASIA,"14945 14 AVENUE,QUEENS NY,11357"
CASA AGAVE MEXICAN BAR & GRILL,"693 9TH AVE,MANHATTAN NY,10036"
CASA ADELA RESTAURANT,"66 AVENUE C,MANHATTAN NY,10009"
CASA,"72 BEDFORD STREET,MANHATTAN NY,10014"
CAS' WEST INDIAN & AMERICAN RESTAURANT,"135 KINGSTON AVENUE,BROOKLYN NY,11213"
"CARVEL ICE CREAM, DAYLIGHT DONUTS, KUNG FU TEA","9 BROADWAY,MANHATTAN NY,10004"
CARVEL ICE CREAM,"14901 14 AVENUE,QUEENS NY,11357"
CARVEL ICE CREAM,"7565 31 AVENUE,BRONX NY,11370"
CARVEL ICE CREAM,"7517 3RD AVE,BROOKLYN NY,11209"
CARVEL ICE CREAM,"6924 5 AVENUE,BROOKLYN NY,11209"
CARVEL ICE CREAM,"1652 86 STREET,BROOKLYN NY,11214"
CARVEL ICE CREAM,"4332 AMBOY RD,STATEN ISLAND NY,10312"
CARVEL ICE CREAM,"4332 AMBOY ROAD,STATEN ISLAND NY,10312"
CARVEL ICE CREAM,"10720 ATLANTIC AVENUE,QUEENS NY,11416"
CARVEL ICE CREAM,"4704 AVENUE N,BROOKLYN NY,11234"
CARVEL ICE CREAM,"2166 BATH AVENUE,BROOKLYN NY,11214"
CARVEL ICE CREAM,"6510 BAY PARKWAY,BROOKLYN NY,11204"
CARVEL ICE CREAM,"189 BEACH 116TH ST,QUEENS NY,11694"
CARVEL ICE CREAM,"5759 BROADWAY,BRONX NY,10463"
CARVEL ICE CREAM,"1250 CASTLE HILL AVE,BRONX NY,10462"
CARVEL ICE CREAM,"203 CHURCH AVENUE,BROOKLYN NY,11218"
CARVEL ICE CREAM,"2744 CONEY ISLAND AVENUE,BROOKLYN NY,11235"
CARVEL ICE CREAM,"16310 CROSSBAY BOULEVARD,QUEENS NY,11414"
CARVEL ICE CREAM,"1006 EAST  233 STREET,BRONX NY,10466"
CARVEL ICE CREAM,"3442 EAST TREMONT AVENUE,BRONX NY,10465"
CARVEL ICE CREAM,"1776 FOREST AVENUE,STATEN ISLAND NY,10303"
CARVEL ICE CREAM,"480 FOREST AVENUE,STATEN ISLAND NY,10310"
CARVEL ICE CREAM,"2828 FRANCIS LEWIS BOULEVARD,QUEENS NY,11358"
CARVEL ICE CREAM,"2231 GRAND CONCOURSE,BRONX NY,10453"
CARVEL ICE CREAM,"26515 HILLSIDE AVENUE,QUEENS NY,11004"
CARVEL ICE CREAM,"24900 HORACE HARDING EXPRESSWAY,QUEENS NY,11362"
CARVEL ICE CREAM,"1111 HYLAN BOULEVARD,STATEN ISLAND NY,10305"
CARVEL ICE CREAM,"11610 LIBERTY AVENUE,QUEENS NY,11419"
CARVEL ICE CREAM,"762 MANOR RD,STATEN ISLAND NY,10314"
CARVEL ICE CREAM,"280 MARSH AVE,STATEN ISLAND NY,10314"
CARVEL ICE CREAM,"13118 MERRICK BOULEVARD,QUEENS NY,11434"
CARVEL ICE CREAM,"10321 METROPOLITAN AVE,QUEENS NY,11375"
CARVEL ICE CREAM,"5612 METROPOLITAN AVENUE,QUEENS NY,11385"
CARVEL ICE CREAM,"560 MORRIS AVENUE,BRONX NY,10451"
CARVEL ICE CREAM,"5824 MYRTLE AVENUE,QUEENS NY,11385"
CARVEL ICE CREAM,"17115 NORTHERN BOULEVARD,QUEENS NY,11358"
CARVEL ICE CREAM,"3594 NOSTRAND AVENUE,BROOKLYN NY,11229"
CARVEL ICE CREAM,"760 ORIENTAL BOULEVARD,BROOKLYN NY,11235"
CARVEL ICE CREAM,"1775 RICHMOND ROAD,STATEN ISLAND NY,10306"
CARVEL ICE CREAM,"126 ROOSEVELT AVENUE,QUEENS NY,11368"
CARVEL ICE CREAM,"5826 ROOSEVELT AVENUE,QUEENS NY,11377"
CARVEL ICE CREAM,"8107 ROOSEVELT AVENUE,QUEENS NY,11372"
CARVEL ICE CREAM,"16102 UNION TURNPIKE,QUEENS NY,11366"
CARVEL ICE CREAM,"2472 WEBSTER AVENUE,BRONX NY,10458"
CARVEL ICE CREAM,"3011 WESTCHESTER AVENUE,BRONX NY,10461"
CARVEL ICE CREAM,"2045 WILLIAMSBRIDGE RD,BRONX NY,10461"
CARVEL,"7111 18TH AVE,BROOKLYN NY,11204"
CARVE UNIQUE SANDWICHES,"760 8 AVENUE,MANHATTAN NY,10036"
CARVAL PIZZERIA,"1544 MADISON AVE,MANHATTAN NY,10029"
CARUSO PIZZERIA & RESTAURANT,"150 SMITH STREET,BROOKLYN NY,11201"
CARTAZ CUISINE,"233 RALPH AVE,BROOKLYN NY,11233"
CARRY ON TEA & SYMPATHY,"110 GREENWICH AVENUE,MANHATTAN NY,10011"
CARROT TOP PASTRIES II,"5025 BROADWAY,MANHATTAN NY,10034"
CARROT TOP PASTRIES,"3931 BROADWAY,MANHATTAN NY,10032"
CARROLL PLACE,"157 BLEECKER ST,MANHATTAN NY,10012"
CARROLL GARDENS DINER,"192 COLUMBIA ST,BROOKLYN NY,11231"
