FINANCIER PATISSERIE,"245 PARK AVENUE,MANHATTAN NY,10017"
FINANCIER PATISSERIE,"62 STONE STREET,MANHATTAN NY,10004"
FINANCIER PATISSERIE,"15 VANDERBILT AVENUE,MANHATTAN NY,10017"
FINA PIZZA BAR,"3007 FORT HAMILTON PKWY,BROOKLYN NY,11218"
FILTERED COFFEE BRONX,"2424 3RD AVE,BRONX NY,10454"
FILTERED,"1616 AMSTERDAM AVE,MANHATTAN NY,10031"
Filomenas Pizza,"286 CITY ISLAND AVE,BRONX NY,10464"
Filomena's Pizza and Restaurant,"134 PENNYFIELD AVE,BRONX NY,10465"
FILICORI ZECCHINI,"2541 BROADWAY,MANHATTAN NY,10025"
FILICORI ZECCHINI,"42 E 46TH ST,MANHATTAN NY,10017"
FILICORI ZECCHINI,"2 W 46TH ST,MANHATTAN NY,10036"
FIKA,"566 10TH AVE,MANHATTAN NY,10036"
FIKA,"824 10TH AVE,MANHATTAN NY,10019"
FIKA,"555 6TH AVE,MANHATTAN NY,10011"
FIKA,"155 7TH AVE,MANHATTAN NY,10011"
FIKA,"180 9TH AVE,MANHATTAN NY,10011"
FIKA,"2211 BROADWAY,MANHATTAN NY,10024"
FIKA,"52 DUANE ST,MANHATTAN NY,10007"
FIKA,"1331 LEXINGTON AVE,MANHATTAN NY,10128"
FIKA,"380 LEXINGTON AVE,MANHATTAN NY,10168"
FIKA,"600 LEXINGTON AVE,MANHATTAN NY,10022"
FIKA,"10 PARK AVE,MANHATTAN NY,10016"
FIKA,"303 PARK AVE S,MANHATTAN NY,10010"
FIKA,"407 PARK AVE S,MANHATTAN NY,10016"
FIKA,"66 PEARL STREET,MANHATTAN NY,10004"
FIKA,"114 W 41ST ST,MANHATTAN NY,10036"
FIKA,"41 W 58TH ST,MANHATTAN NY,10019"
FIKA,"450 WASHINGTON STREET,MANHATTAN NY,10013"
FIGURA SALUDABLE,"9208 173 STREET,QUEENS NY,11433"
FIGS CAFE,"0 LAGUARDIA AIRPORT,QUEENS NY,11369"
FIGS,"0 LAGAURDIA AIRPORT,QUEENS NY,11371"
FIG AND OLIVE,"420 WEST   13 STREET,MANHATTAN NY,10014"
FIG & OLIVE MIDTOWN,"10 EAST   52 STREET,MANHATTAN NY,10022"
FIG & OLIVE,"808 LEXINGTON AVENUE,MANHATTAN NY,10065"
FIFTY PACES,"413 EAST 12 STREET,MANHATTAN NY,10009"
FIFTY ON INC,"472 49TH ST,BROOKLYN NY,11220"
FIFTH DINING,"611 5 AVENUE,MANHATTAN NY,10022"
FIFTH AVENUE BINGO,"416 5 AVENUE,BROOKLYN NY,11215"
FIFTH AVE CAFE /DINER,"432 5 AVENUE,BROOKLYN NY,11215"
FIESTA GRILL,"6912 ROOSEVELT AVENUE,QUEENS NY,11377"
FIESTA CAFE BAR,"4640 3 AVENUE,BRONX NY,10458"
FIELDS GOOD CHICKEN,"101 MAIDEN LN,MANHATTAN NY,10038"
FIELD LEVEL IN SEAT KITCHEN,"126 ROOSEVELT AVENUE,QUEENS NY,11368"
FIDDLESTICKS,"5456 GREENWICH AVENUE,MANHATTAN NY,10011"
FIAT CAFE,"203 MOTT STREET,MANHATTAN NY,10012"
Fiamma 41,"214-26 41ST AVENUE,QUEENS NY,11361"
FEVER GRASS,"843 FRANKLIN AVENUE,BROOKLYN NY,11225"
FETTE SAU,"354 METROPOLITAN AVENUE,BROOKLYN NY,11211"
FESTAC GRILL,"263 HENDRIX ST,BROOKLYN NY,11207"
FERRIS WHEEL YOGURT SMOOTHIES,"8 FERRY TERMINAL DR,STATEN ISLAND NY,10301"
FERRIS BOOTH COMMONS - ALFRED LERNER HALL,"2920 BROADWAY,MANHATTAN NY,10027"
FERRARA'S,"195 GRAND STREET,MANHATTAN NY,10013"
FERNANDEZ BURRITO SHOP,"5975 BROADWAY,BRONX NY,10471"
FERGANA,"9409 63RD DR,QUEENS NY,11374"
FERDINANDO'S RESTAURANT,"151 UNION STREET,BROOKLYN NY,11231"
FENWICKS,"432 WEST  238 STREET,BRONX NY,10463"
FENG'S GARDEN RESTAURANT CHINESE FOOD TAKE OUT,"8826 PARSONS BLVD,QUEENS NY,11432"
FENG'S GARDEN,"11054 QUEENS BOULEVARD,QUEENS NY,11375"
FENG SHUI CHINESE CUISINE,"0 GRAND CENTRAL TERMINAL,MANHATTAN NY,10017"
FENG MAO BBQ,"13688 ROOSEVELT AVENUE,QUEENS NY,11354"
FENG CHENG YUAN RESTAURANT,"100 BOWERY STREET,MANHATTAN NY,10013"
FELLA'S BAR,"522 CITY ISLAND AVE,BRONX NY,10464"
FELIX,"340 WEST BROADWAY,MANHATTAN NY,10013"
FELIDIA RESTAURANT,"243 EAST   58 STREET,MANHATTAN NY,10022"
FELICE 64 WINE BAR,"1166 1 AVENUE,MANHATTAN NY,10065"
FELICE,"1593 1 AVENUE,MANHATTAN NY,10028"
FELICE,"15 GOLD STREET,MANHATTAN NY,10038"
FELFLA,"6906 3 AVENUE,BROOKLYN NY,11209"
FEITENG CHINESE TAKE OUT KITCHEN,"64 LORRAINE STREET,BROOKLYN NY,11231"
Feile,"133 WEST   33 STREET,MANHATTAN NY,10001"
FEI TENG RESTAURANT,"68 EAST BROADWAY,MANHATTAN NY,10002"
FEI TENG BAKERY,"4007 9 AVENUE,BROOKLYN NY,11232"
FEI MA,"79 AVENUE A,MANHATTAN NY,10009"
FEI HUANG BAKERY,"6321 20 AVENUE,BROOKLYN NY,11204"
FEFITA'S,"1045 EASTERN PKWY,BROOKLYN NY,11213"
FEENEY'S PUB,"6201 5 AVENUE,BROOKLYN NY,11220"
FEEL GOOD,"4708 48TH ST,QUEENS NY,11377"
FEDORA,"239 WEST    4 STREET,MANHATTAN NY,10014"
FEAST ON US,"645 HUDSON ST,MANHATTAN NY,10014"
FEAST,"102 3 AVENUE,MANHATTAN NY,10003"
FDR 99´è_´è_ SLICE PIZZA,"150 EAST    2 STREET,MANHATTAN NY,10009"
FDR 99ê_´è_´è_ SLICE PIZZA,"150 EAST    2 STREET,MANHATTAN NY,10009"
FAYROOZ,"2808 STEINWAY STREET,QUEENS NY,11103"
FAYE & KING JAMAICAN REST,"1417 FLATBUSH AVENUE,BROOKLYN NY,11210"
FAYE & KING,"1253 SCHENECTADY AVE,BROOKLYN NY,11203"
FAY WONG CAFE BAKERY,"6205 18 AVENUE,BROOKLYN NY,11204"
FAY DA BAKERY,"13618 39 AVENUE,QUEENS NY,11354"
FAY DA BAKERY,"321 6 AVENUE,MANHATTAN NY,10014"
FAY DA BAKERY,"191 CENTRE STREET,MANHATTAN NY,10013"
FAY DA BAKERY,"4024 COLLEGE POINT BOULEVARD,QUEENS NY,11354"
FAY DA BAKERY,"8612 JUSTICE AVE,QUEENS NY,11373"
FAY DA BAKERY,"4133 KISSENA BOULEVARD,QUEENS NY,11355"
FAY DA BAKERY,"4615 KISSENA BOULEVARD,QUEENS NY,11355"
FAY DA BAKERY,"4160 MAIN STREET,QUEENS NY,11355"
FAY DA BAKERY,"83 MOTT STREET,MANHATTAN NY,10013"
FAY DA BAKERY,"10750 QUEENS BOULEVARD,QUEENS NY,11375"
FAWKNER,"191 SMITH ST,BROOKLYN NY,11201"
FAVORITE CAFE,"260 WEST   35 STREET,MANHATTAN NY,10001"
FAVELA CUBANA,"543 LA GUARDIA PLACE,MANHATTAN NY,10012"
FAVELA,"3318 28 AVENUE,QUEENS NY,11103"
FATTY'S CAFE,"4517 28TH AVE,QUEENS NY,11103"
FATTY FISH,"406 EAST   64 STREET,MANHATTAN NY,10065"
FATTY DADDY TACOS,"310 9 STREET,BROOKLYN NY,11215"
FATTY DADDY TACO,"152 SMITH ST,BROOKLYN NY,11201"
FATTY CUE BBQ,"620 ATLANTIC AVENUE,BROOKLYN NY,11217"
FATTY CRAB,"643 HUDSON STREET,MANHATTAN NY,10014"
FATOOSH PIZZA & BBQ,"330 HICKS STREET,BROOKLYN NY,11201"
FATIMA HALAL KITCHEN ASTORIA CORP,"2525 BROADWAY,QUEENS NY,11106"
FATHER & SON DELI,"2511 30 AVENUE,QUEENS NY,11102"
FAT TUESDAY,"11000 ROCKAWAY BLVD,QUEENS NY,11420"
FAT SAL'S,"730 10TH AVE,MANHATTAN NY,10019"
Fat Sal's,"1603 2ND AVE,MANHATTAN NY,10028"
FAT GOOSE,"125 WYTHE AVENUE,BROOKLYN NY,11249"
FAT CATS PIZZA,"3220 34TH AVE,QUEENS NY,11106"
FAT CAT BILLIARDS,"75 CHRISTOPHER STREET,MANHATTAN NY,10014"
FAT BUDDHA,"212 AVENUE A,MANHATTAN NY,10009"
FAT BOYS PIZZA,"6107 UTOPIA PARKWAY,QUEENS NY,11365"
FAT BABY,"112 RIVINGTON STREET,MANHATTAN NY,10002"
FASTWAY RESTAURANT,"4917 CHURCH AVE,BROOKLYN NY,11203"
FASTA PASTA,"36 SAINT MARKS PL,MANHATTAN NY,10003"
FAST WOK,"260 BROOK AVE,BRONX NY,10454"
FAST WOK,"260 BROOK AVENUE,BRONX NY,10454"
FAST PIZZA,"8710A LEFFERTS BLVD,QUEENS NY,11418"
FAST EDDIES,"667 10 AVENUE,MANHATTAN NY,10036"
FAST & FRESH BURRITO,"84 HOYT STREET,BROOKLYN NY,11201"
FASSST CAFE (SECOND STAGE THEATRE),"305 WEST 43 STREET,MANHATTAN NY,10036"
FASHION INSTITUTE OF TECHNOLOGY DAVID DUBINSKY STUDENT CENTER,"227 WEST   27 STREET,MANHATTAN NY,10001"
FASCATI'S PIZZERIA,"80 HENRY STREET,BROOKLYN NY,11201"
FARRELLS,"215 PROSPECT PARK WEST,BROOKLYN NY,11215"
FAROS RESTAURANT,"84 7 AVENUE,BROOKLYN NY,11217"
FAROS RESTAURANT,"95 CHURCH AVENUE,BROOKLYN NY,11218"
FARO DEL PACIFICO PUPUSERIA AND RESTAURANT,"3247 FULTON STREET,BROOKLYN NY,11208"
FARO,"436 JEFFERSON ST,BROOKLYN NY,11237"
FARMERS PIZZERIA,"11136 FARMERS BOULEVARD,QUEENS NY,11412"
FARMERS PIZZA & GRILL,"11725 FARMERS BOULEVARD,QUEENS NY,11412"
FARMER SPORTS & SOCIAL CLUB,"11505 FARMERS BOULEVARD,QUEENS NY,11412"
FARM FRIED N CURRY CHICKEN,"12020 MERRICK BLVD,QUEENS NY,11434"
FARINELLA,"267 AMSTERDAM AVE,MANHATTAN NY,10023"
FARINELLA,"788 LEXINGTON AVE,MANHATTAN NY,10065"
FARINELLA,"1132 LEXINGTON AVENUE,MANHATTAN NY,10075"
FARINA,"15 8TH AVE,MANHATTAN NY,10014"
FARFASHA,"162 2 AVENUE,MANHATTAN NY,10003"
farafina cafe and lounge,"1813 AMSTERDAM AVE,MANHATTAN NY,10031"
FAR EAST SZECHUAN KITCHEN,"7104 KISSENA BOULEVARD,QUEENS NY,11367"
FAR EAST CHINESE RESTAURANT,"471A 5TH AVE,BROOKLYN NY,11215"
FANTASY BAR AND RESTAURANT,"23 EAST TREMONT AVENUE,BRONX NY,10453"
FANTASTIC TEA SHOP,"128 E 4TH ST,MANHATTAN NY,10003"
FANTASTIC RESTAURANT & LOUNGE,"238A SHERMAN AVE,MANHATTAN NY,10034"
FANTASTIC BAGELS,"8614 4 AVENUE,BROOKLYN NY,11209"
FANELLI CAFE,"94 PRINCE STREET,MANHATTAN NY,10012"
FANCY NANCY,"1038 BEDFORD AVE,BROOKLYN NY,11205"
FANCY JUICE,"69 1ST AVE,MANHATTAN NY,10003"
FANCY GIRL CATERING,"415 WEST   13 STREET,MANHATTAN NY,10014"
FANCY FOOD DELI,"5514 37 AVENUE,QUEENS NY,11377"
FANCY CAKES BAKERY,"264 KINGS HWY,BROOKLYN NY,11223"
FAMOUS THREE BROTHERS PIZZERIA,"189 BROAD ST,STATEN ISLAND NY,10304"
FAMOUS SICHUAN,"10 PELL ST,MANHATTAN NY,10013"
FAMOUS ROTISSERIE & GRILL,"1525 MERMAID AVENUE,BROOKLYN NY,11224"
FAMOUS RAY'S PIZZA,"736 7 AVENUE,MANHATTAN NY,10019"
FAMOUS PIZZA PARK,"263 AVENUE U,BROOKLYN NY,11223"
