"","V1","V2","long","lat"
"1","MR WASABI","4232 BELL BOULEVARD,QUEENS NY,11361",-73.7704454,40.7618454
"2","MR TONG","2926 FORT HAMILTON PARKWAY,BROOKLYN NY,11218",-73.9782001,40.6483399
"3","MR TAKA RAMEN","170 ALLEN ST,MANHATTAN NY,10002",-73.9889728,40.7212407
"4","MR SOUVLAKI","208 FRANKLIN ST,BROOKLYN NY,11222",-73.9579928,40.7326641
"5","MR PURPLE","180 ORCHARD ST,MANHATTAN NY,10002",-73.988103,40.721741
"6","MR MCGOO'S","5602 BROADWAY,BRONX NY,10463",-73.9041255,40.8794396
"7","MR KING FOOD KITCHEN","579 ALBANY AVE,BROOKLYN NY,11203",-73.9394892,40.6603969
"8","MR K'S RESTAURANT","570 LEXINGTON AVENUE,MANHATTAN NY,10022",-73.972469,40.757037
"9","MR CHI NOODLE","1 W 58TH ST,MANHATTAN NY,10019",-73.9742747,40.7642202
"10","MR CHEN CHINESE RESTAURANT","5905 MYRTLE AVENUE,QUEENS NY,11385",-73.8909156,40.7011147
"11","MR CHANS RESTAURANT","1269 RALPH AVENUE,BROOKLYN NY,11236",-73.9197427,40.6452767
"12","MR CAKE BAKERY & DESSERT","1166 CASTLE HILL AVE,BRONX NY,10462",-73.850584,40.8314908
"13","MR BROADWAY KOSHER RESTAURANT","1372 BROADWAY,MANHATTAN NY,10018",-73.9871487,40.7523683
"14","MR BAGEL","6864 FRESH POND RD,QUEENS NY,11385",-73.8950761,40.7021817
"15","MR AND MISS CAFE","2349 86TH ST,BROOKLYN NY,11214",-73.9901905,40.6000705
"16","MP TAVERNA","3129 DITMARS BOULEVARD,QUEENS NY,11105",-73.90951,40.775622
"17","MP TAVERNA","470 DRIGGS AVE,BROOKLYN NY,11211",-73.954692,40.7189948
"18","MOZZARELLI'S","38 EAST   23 STREET,MANHATTAN NY,10010",-73.9874123,40.7403711
"19","MOZZARELLA & VINO","33 WEST   54 STREET,MANHATTAN NY,10019",-73.9772022,40.7620198
"20","MOZZARELLA","264 LEE AVE,BROOKLYN NY,11206",-73.9539154,40.6998102
"21","MOVIE WORLD DOUGLASTON","24202 61 AVENUE,QUEENS NY,11362",-73.7385742,40.7543546
"22","MOVE WITH GRACE","469 MYRTLE AVENUE,BROOKLYN NY,11205",-73.9665334,40.6935909
"23","MOUSTACHE RESTAURANT","90 BEDFORD STREET,MANHATTAN NY,10014",-74.0053175,40.7323981
"24","MOUSTACHE","265 EAST   10 STREET,MANHATTAN NY,10009",-73.983176,40.728489
"25","MOUSTACHE","1621 LEXINGTON AVENUE,MANHATTAN NY,10029",-73.9478684,40.7897348
"26","MOUNTAINS & RIVERS SZECHUAN HOUSE","3916 PRINCE ST,QUEENS NY,11354",-73.8326908,40.759379
"27","MOUNTAIN PROVINCE","1 MESEROLE STREET,BROOKLYN NY,11206",-73.9501655,40.7076111
"28","MOTTSU","285 MOTT STREET,MANHATTAN NY,10012",-73.994607,40.7243157
"29","MOTT HAVEN BAR & GRILL","2412 3RD AVE,BRONX NY,10454",-73.930394,40.808318
"30","MOTT CORNER","58 KENMARE STREET,MANHATTAN NY,10012",-73.9959233,40.7208191
"31","MOTORINO PIZZERIA NAPOLETANA","349 EAST   12 STREET,MANHATTAN NY,10003",-73.9838278,40.7303588
"32","MOTORINO BROADWAY","139 BROADWAY,BROOKLYN NY,11211",-73.96335,40.7105502
"33","MOTO","394 BROADWAY,BROOKLYN NY,11211",-73.9543418,40.7070384
"34","MOTIVO","915 BROADWAY,MANHATTAN NY,10010",-73.9898869,40.739751
"35","MOTIN SPICE AND SWEETS","1215 LIBERTY AVE,BROOKLYN NY,11208",-73.8645973,40.6792101
"36","MOTI'S","5007 16 AVENUE,BROOKLYN NY,11204",-73.9861293,40.6301494
"37","MOTI MAHAL DELUX","1149 1 AVENUE,MANHATTAN NY,10065",-73.9604595,40.7620943
"38","MOTHER'S RUIN","18 SPRING STREET,MANHATTAN NY,10012",-73.9950132,40.7213001
"39","MOTHER'S BAKE SHOP","548 WEST  235 STREET,BRONX NY,10463",-73.9095432,40.8854448
"40","MOTHER'S","347 GRAHAM AVENUE,BROOKLYN NY,11211",-73.9447022,40.7148836
"41","MOTHER PUGS SALOON","1371 FOREST AVENUE,STATEN ISLAND NY,10302",-74.1352689,40.6256315
"42","MOTHER BURGER","329 WEST   49 STREET,MANHATTAN NY,10019",-73.9878728,40.7623763
"43","MOSS CAFE","3260 JOHNSON AVE,BRONX NY,10463",-73.9099468,40.885254
"44","MOSAIC","2519 24 AVENUE,QUEENS NY,11102",-73.9183673,40.7746577
"45","MORTON'S THE STEAKHOUSE","5 EAST   45 STREET,MANHATTAN NY,10176",-73.9790211,40.7552539
"46","MORTON'S THE STEAKHOUSE","136 WASHINGTON STREET,MANHATTAN NY,10006",-74.0139508,40.7097089
"47","MORSO","420 EAST   59 STREET,MANHATTAN NY,10022",-73.960915,40.7589123
"48","MORRONE PASTRY SHOP & CAFE","2349 ARTHUR AVE,BRONX NY,10458",-73.8885484,40.8546507
"49","MORRITO'S CAFE","4005 13TH AVE,BROOKLYN NY,11218",-73.9868361,40.6398592
"50","MORRIS YACHT & BEACH CLUB","25 CITY ISLAND AVENUE,BRONX NY,10464",-73.7840789,40.8376345
"51","Morris Sandwich Shop","788 FRANKLIN AVE,BROOKLYN NY,11238",-73.957888,40.6717154
"52","MORRIS PARK PIZZA","656 MORRIS PARK AVENUE,BRONX NY,10462",-73.8674083,40.8447157
"53","MORRIS PARK BAKE SHOP","1007 MORRIS PARK AVE,BRONX NY,10462",-73.8560353,40.8484319
"54","MORRELL WINE BAR & CAFE","14 WEST   49 STREET,MANHATTAN NY,10020",-73.977824,40.757964
"55","MOROCHO BAKERY","11126 ROOSEVELT AVE,QUEENS NY,11368",-73.8547474,40.7516593
