"","V1","V2","long","lat"
"56","MORNINGSTAR RESTAURANT","949 2 AVENUE,MANHATTAN NY,10022",-73.9686148,40.7552279
"57","MORNING STAR RESTAURANT","879 9 AVENUE,MANHATTAN NY,10019",-73.9858178,40.7682107
"58","MORNING GLORY BAKERY","9305 63RD DR,QUEENS NY,11374",-73.8635745,40.7282048
"59","MORINI RISTORANTE","1167 MADISON AVENUE,MANHATTAN NY,10028",-73.95896,40.7806274
"60","MORINI OSTERIA ROMAGNOLA","218 LAFAYETTE STREET,MANHATTAN NY,10012",-73.9977926,40.7219929
"61","MORIMOTO NY","88 10 AVENUE,MANHATTAN NY,10011",-74.0072503,40.7430827
"62","MORGENSTERN'S FINEST ICE CREAM","215 BOWERY,MANHATTAN NY,10002",-73.9931997,40.7216369
"63","MORGAN'S BBQ","267 FLATBUSH AVENUE,BROOKLYN NY,11217",-73.9741023,40.6798978
"64","MORGAN STANLEY EMPLOYEE CAFETERIA","1 NEW YORK PLAZA,MANHATTAN NY,10004",-74.0120105,40.7021004
"65","MORGAN STANLEY CONFERENCE CENTER","522 5 AVENUE,MANHATTAN NY,10036",-73.9806337,40.7548041
"66","MORGAN STANLEY CONFERENCE CENTER","1585 BROADWAY,MANHATTAN NY,10036",-73.985418,40.7600563
"67","MORGAN STANLEY CAFETERIA","750 7 AVENUE,MANHATTAN NY,10019",-73.9837606,40.7608268
"68","MORGAN STANLEY","1585 BROADWAY,MANHATTAN NY,10036",-73.985418,40.7600563
"69","MORGAN LIBRARY","29 EAST   36 STREET,MANHATTAN NY,10016",-73.9813735,40.7491584
"70","MORGAN CAFE","341 9 AVENUE,MANHATTAN NY,10199",-73.9986384,40.7505085
"71","MORETTI BAKERY","640 FOREST AVENUE,STATEN ISLAND NY,10310",-74.1104599,40.629598
"72","MORENA RESTAURANT","2151 JEROME AVENUE,BRONX NY,10453",-73.9057399,40.8560903
"73","MORELOS DELI & FRUIT","6 CEBRA AVE,STATEN ISLAND NY,10301",-74.086585,40.634185
"74","MOREIRA RESTAURANT","8716 LEFFERTS BLVD,QUEENS NY,11418",-73.830995,40.699457
"75","MORANDI","15 CHARLES STREET,MANHATTAN NY,10014",-74.0012674,40.7352797
"76","MOOT BAR","579 MYRTLE AVE,BROOKLYN NY,11205",-73.9610491,40.6942049
"77","MOONSTRUCK EAST","449 THIRD AVENUE,MANHATTAN NY,10016",-73.979318,40.7436198
"78","MOONSTRUCK DINER","250 EAST   58 STREET,MANHATTAN NY,10022",-73.9650452,40.7599803
"79","MOONSTRUCK (IN BELLEVUE)","462 1ST AVE,MANHATTAN NY,10016",-73.9754976,40.739217
"80","MOONSTRUCK","244 MADISON AVENUE,MANHATTAN NY,10016",-73.9814975,40.7502162
"81","MOONEY'S PUBLIC HOUSE","821113 ELIOT AVE,QUEENS NY,11379",-73.8868367,40.7214676
"82","MOONDOS GRILL","424 CHURCH AVENUE,BROOKLYN NY,11218",-73.9758372,40.6441523
"83","MOONCAKE FOODS","111 JOHN STREET- PEARL ST SIDE,MANHATTAN NY,10038",-74.0021019,40.7071498
"84","MOONCAKE FOODS","28 WATTS STREET,MANHATTAN NY,10013",-74.004247,40.7236143
"85","MOONCAKE FOODS","263 WEST   30 STREET,MANHATTAN NY,10001",-73.9946452,40.7496522
"86","MOONCAKE FOODS","359 WEST   54 STREET,MANHATTAN NY,10019",-73.9867169,40.7659395
"87","MOON TIKKA GRILL","8716 PARSONS BOULEVARD,QUEENS NY,11432",-73.8000384,40.7028979
"88","MOON STRUCK ON 2ND","88 2 AVENUE,MANHATTAN NY,10003",-73.9886341,40.7268109
"89","MOON STAR GRILL","3519 JOHNSON AVENUE,BRONX NY,10463",-73.9100756,40.8862054
"90","MOON ROOF LOUNGE","1679 HYLAN BLVD,STATEN ISLAND NY,10305",-74.0911823,40.5878302
"91","MOON PALACE KITCHEN","6312 FLUSHING AVE,QUEENS NY,11378",-73.9017645,40.7223188
"92","MOON PALACE DELI","496 ATLANTIC AVENUE,BROOKLYN NY,11217",-73.981917,40.685484
"93","MOON LIGHT  GRILL","9181 111TH ST,QUEENS NY,11418",-73.8347252,40.6924016
"94","MOON HOUSE CHINESE RESTAURANT","1810 3 AVENUE,MANHATTAN NY,10029",-73.9474461,40.7882242
"95","MOON & FLOWER HOUSE","5912 7TH AVE,BROOKLYN NY,11220",-74.011715,40.637238
"96","MOOKIE'S","1492 MYRTLE AVE,BROOKLYN NY,11237",-73.9141147,40.6991159
"97","MOODY'S CAFETERIA","250 GREENWICH STREET,MANHATTAN NY,10007",-74.0120763,40.7133882
"98","MOO BURGER","240 COURT STREET,BROOKLYN NY,11201",-73.994487,40.6858287
"99","MONUMENT LANE","103 GREENWICH AVENUE,MANHATTAN NY,10014",-74.0020939,40.7378037
"100","MONTY Q'S","158 MONTAGUE STREET,BROOKLYN NY,11201",-73.9929716,40.6942499
"101","MONTMARTRE","158 8 AVENUE,MANHATTAN NY,10011",-74.0005915,40.742008
"102","MONTEZUMA RESTAURANT","119 WEST KINGSBRIDGE ROAD,BRONX NY,10468",-73.902048,40.868898
"103","MONTESPINO RESTAURANT","1309A BRONX RIVER AVE,BRONX NY,10472",-73.8817182,40.8316168
"104","MONTERO BAR & GRILL","73 ATLANTIC AVENUE,BROOKLYN NY,11201",-73.9979536,40.6914024
"105","MONTELEONE BAKERY CAFE","355 COURT STREET,BROOKLYN NY,11231",-73.9958544,40.681981
"106","MONTEBELLO RESTAURANT","120 EAST   56 STREET,MANHATTAN NY,10022",-73.9706324,40.7604588
"107","MONTE'S","451 CARROLL STREET,BROOKLYN NY,11215",-73.9871887,40.6776158
"108","MONTE'S","97 MACDOUGAL STREET,MANHATTAN NY,10012",-74.001154,40.7296219
"109","MONTE-CARLO NYC","181 E 78TH ST,MANHATTAN NY,10075",-73.9581211,40.7738695
"110","MONTE PIZZA","360 E 188TH ST,BRONX NY,10458",-73.893963,40.859947
"111","MONTE LIMAR SPORT BAR LOUNGE","17237 HILLSIDE AVE,QUEENS NY,11432",-73.7889166,40.7123489
"112","MONTE GRAB & GO MARKET","1790 EASTCHESTER RD,BRONX NY,10461",-73.844712,40.848809
"113","MONTAUK CLUB","25 8 AVENUE,BROOKLYN NY,11217",-73.9720911,40.674726
"114","MONTANA'S TRAIL HOUSE","445 TROUTMAN ST,BROOKLYN NY,11237",-73.9216364,40.7079354
"115","MONTAGUE ST BAGELS","108 MONTAGUE ST,BROOKLYN NY,11201",-73.9951937,40.6948524
"116","MONSTER SUSHI","158 WEST   23 STREET,MANHATTAN NY,10011",-73.9950841,40.7435593
"117","MONSTER SAVINGS","314 E 106TH ST,MANHATTAN NY,10029",-73.9415561,40.7900788
"118","MONSIGNOR'S RESTAURANT","679 5 AVENUE,BROOKLYN NY,11215",-73.9928414,40.661576
"119","MONKEY BAR","60 EAST   54 STREET,MANHATTAN NY,10022",-73.9734055,40.7600804
"120","MONIQUE'S LOUNGE 108","181 EAST  108 STREET,MANHATTAN NY,10029",-73.9441057,40.7932588
"121","MONDIAL BAKERY","7802 20 AVENUE,BROOKLYN NY,11214",-73.9938361,40.6091317
"122","MONARCH","960 6TH AVE,MANHATTAN NY,10001",-73.9868957,40.7504251
"123","MONAHAN & FITZGERALD","21417 41 AVENUE,QUEENS NY,11361",-73.770297,40.7639
"124","MONACO","1836 MCDONALD AVENUE,BROOKLYN NY,11223",-73.9732093,40.6080583
"125","MONA'S BAKERY & CAFE","281 KINGS HIGHWAY,BROOKLYN NY,11223",-73.9803059,40.6053167
"126","MONA'S","224 AVENUE B,MANHATTAN NY,10009",-73.9784935,40.7291787
"127","MONA NYC","525 W 29TH ST,MANHATTAN NY,10001",-74.0026411,40.7521981
"128","MONA LISA PIZZERIA & RISTORANTE","839 ANNADALE ROAD,STATEN ISLAND NY,10312",-74.1768783,40.5413568
"129","MONA LISA","3613 164 STREET,QUEENS NY,11358",-73.8017107,40.76228
"130","MON PETIT CAFE","801 LEXINGTON AVENUE,MANHATTAN NY,10065",-73.9666742,40.763926
"131","MON HING RESTAURANT","497 ALBANY AVENUE,BROOKLYN NY,11203",-73.9398536,40.6628058
"132","MON CHER MARKET","339 BROADWAY,MANHATTAN NY,10013",-74.0045513,40.7166333
"133","MON AMOUR COFFEE & WINE","234 W 238TH ST,BRONX NY,10463",-73.9003878,40.8848524
"134","MOMS LUNCHEONETTE","10102 103 AVENUE,QUEENS NY,11417",-73.840374,40.683319
"135","MOMOYA","427 AMSTERDAM AVE,MANHATTAN NY,10024",-73.9773317,40.7840006
"136","MOMOYA","162 WEST   21 STREET,MANHATTAN NY,10011",-73.9962906,40.7425285
"137","MOMOSAN RAMEN & SAKE","342 LEXINGTON AVE,MANHATTAN NY,10016",-73.9774527,40.7499239
"138","MOMOKAWA","157 EAST   28 STREET,MANHATTAN NY,10016",-73.981283,40.7422853
"139","MOMOFUKU/ MA PECHE","15 WEST   56 STREET,MANHATTAN NY,10019",-73.9753758,40.7629627
"140","MOMOFUKU SSAM BAR","207 2 AVENUE,MANHATTAN NY,10003",-73.9858554,40.7317011
"141","MOMOFUKU NOODLE BAR","171 1 AVENUE,MANHATTAN NY,10003",-73.98451,40.729233
"142","MOMOFUKU MILK BAR EV","251 EAST   13 STREET,MANHATTAN NY,10003",-73.985696,40.7318981
"143","MOMOFUKU MILK BAR CG","360 SMITH STREET,BROOKLYN NY,11231",-73.995788,40.679373
"144","MOMOFUKU KO","8 EXTRA PL,MANHATTAN NY,10003",-73.9916544,40.7248598
"145","MOMOFUKU","232 8TH AVE,MANHATTAN NY,10011",-73.9988079,40.7443485
"146","MOMOFUKO MILK BAR UWS","561 COLUMBUS AVENUE,MANHATTAN NY,10024",-73.9714006,40.7871769
"147","MOMOCHAI","5716 WOODSIDE AVE,QUEENS NY,11377",-73.9068134,40.7456038
"148","MOMO SUSHI","43 BOGART STREET,BROOKLYN NY,11206",-73.9334459,40.7051147
"149","MOMO SUSHI","239 PARK AVE S,MANHATTAN NY,10003",-73.9876783,40.7378436
"150","MOMO RAMEN","78 5TH AVE,BROOKLYN NY,11217",-73.9778258,40.6806294
"151","MOMO HIBACHI STEAKHOUSE & BAR","1901 EMMONS AVENUE,BROOKLYN NY,11235",-73.9491251,40.5838869
"152","MOMINETTE","221 KNICKERBOCKER AVENUE,BROOKLYN NY,11237",-73.9257965,40.7032741
"153","MOMENTOS PIZZA","4053 99TH ST,QUEENS NY,11368",-73.865531,40.7480407
"154","MOMENTO RESTAURANT","2513 QUEENS PLAZA NORTH,QUEENS NY,11101",-73.9397476,40.7509949
"155","MOM'S PIZZA","15 AVENUE D,MANHATTAN NY,10009",-73.9785507,40.7205609
"156","MOM'S FRIED CHICKEN","253 EAST  167 STREET,BRONX NY,10456",-73.9145543,40.8337843
"157","MOM'S COOKING","33 EAST    8 STREET,MANHATTAN NY,10003",-74.0042118,40.7383414
"158","MOM'S BAKERY","2425 GRAND CONCOURSE,BRONX NY,10468",-73.8984529,40.8609173
"159","MOLYVOS","871 7 AVENUE,MANHATTAN NY,10019",-73.9805666,40.7644251
"160","MOLTO BUONA PIZZA","157 E 170TH ST,BRONX NY,10452",-73.914694,40.839337
"161","MOLTO BENE","9524 FOURTH AVENUE,BROOKLYN NY,11209",-74.031592,40.6155278
"162","MOLOKO","705 MYRTLE AVE,BROOKLYN NY,11205",-73.954823,40.6949759
"163","MOLO","987 BAY ST,STATEN ISLAND NY,10305",-74.0691039,40.6187265
"164","MOLLY'S CUPCAKES","228 BLEECKER STREET,MANHATTAN NY,10014",-74.0025386,40.7301221
"165","MOLLY'S","287 3 AVENUE,MANHATTAN NY,10010",-73.9832497,40.7382594
"166","MOLLY WEE PUB","402 8 AVENUE,MANHATTAN NY,10001",-73.9949237,40.749658
"167","MOLLY BLOOMS","4313 QUEENS BLVD,QUEENS NY,11104",-73.9208344,40.7437641
"168","MOLLY BLOOMS","4313 QUEENS BOULEVARD,QUEENS NY,11104",-73.9208344,40.7437641
"169","MOLLOY'S IRISH PUB","737 9 AVENUE,MANHATTAN NY,10019",-73.9893972,40.7635119
"170","MOLLIE RYAN'S PUBLICK HOUSE","2574 ARTHUR KILL ROAD,STATEN ISLAND NY,10309",-74.2189044,40.5521991
"171","MOLECULE WATER STORE","259 EAST   10 STREET,MANHATTAN NY,10009",-73.983414,40.7285899
"172","MOLE CANTINA MEXICANA","1735 2 AVENUE,MANHATTAN NY,10128",-73.950289,40.7803143
"173","MOLE","57 JANE STREET,MANHATTAN NY,10014",-74.0053822,40.7382195
"174","MOLE","178 KENT AVENUE,BROOKLYN NY,11249",-73.9635289,40.7188272
"175","MOLDOVA","1827 CONEY ISLAND AVENUE,BROOKLYN NY,11230",-73.9626443,40.612941
"176","MOLCAJETE","9213 ROOSEVELT AVENUE,QUEENS NY,11372",-73.874088,40.7488482
"177","MOLASSES BOOKS","770 HART STREET,BROOKLYN NY,11237",-73.9237571,40.7006194
"178","MOKJA","852 AMSTERDAM AVE,MANHATTAN NY,10025",-73.9678912,40.7977449
"179","MOKJA","3519 BROADWAY,QUEENS NY,11106",-73.9213745,40.7603097
"180","MOKBAR","75 9TH AVE,MANHATTAN NY,10011",-74.0060838,40.7425547
"181","MOJITO'S","227 EAST  116 STREET,MANHATTAN NY,10029",-73.9387213,40.7976796
"182","MOJITO CUBAN CUISINE","82 WASHINGTON AVENUE,BROOKLYN NY,11205",-73.9677013,40.6963066
"183","MOJAVE","2236 31 STREET,QUEENS NY,11105",-73.9125463,40.7745704
"184","MOJA RESTAURANT","307 E 204TH ST,BRONX NY,10467",-73.87823,40.8730241
"185","MOISHE'S PLACE","868 BEDFORD AVE,BROOKLYN NY,11205",-73.956579,40.695165
"186","MOIM RESTAURANT","206 GARFIELD PLACE,BROOKLYN NY,11215",-73.9769249,40.6720912
"187","MOHEGAN SUN SPORTS BAR","1 EAST  161 STREET,BRONX NY,10451",-73.9265691,40.8288189
"188","MOHA RANI","185 NORMAN AVE,BROOKLYN NY,11222",-73.9469493,40.7272172
"189","MOGU SUSHI","13322 39TH AVE,QUEENS NY,11354",-73.833645,40.7589929
"190","MOFONGO DEL VALLE","3340 BROADWAY,MANHATTAN NY,10031",-73.9547117,40.8201377
"191","MOE'S SOUTHWEST GRILL & CHARLIE SUB GRILL","1 PENN PLZ,MANHATTAN NY,10119",-73.9924654,40.7511649
"192","MOE'S SOUTHWEST GRILL","1029A AVENUE OF THE AMERICAS,MANHATTAN NY,10018",-73.9859157,40.7527917
"193","MOE'S SOUTHWEST GRILL","2397 HYLAN BOULEVARD,STATEN ISLAND NY,10306",-74.1080484,40.5726865
"194","MOE'S SOUTHWEST GRILL","NKA PENN PLAZA,MANHATTAN NY,10001",-73.9925702,40.7501303
"195","MOE'S SOUTHWEST GRIIL","262 ARDEN AVE,STATEN ISLAND NY,10312",-74.1927767,40.5529923
"196","MOE'S GOURMET FOOD & PIZZA","3050 WHITESTONE EXPRESSWAY,QUEENS NY,11354",-73.8368293,40.7696454
"197","MOE'S DOUGH'S","126 NASSAU AVE,BROOKLYN NY,11222",-73.9484718,40.7243431
"198","MOE'S CAFE","209 EAST   23 STREET,MANHATTAN NY,10010",-73.9822413,40.7387531
"199","MOE'S CAFE","141 WEST   21 STREET,MANHATTAN NY,10011",-73.9953003,40.7423892
"200","MODURANG","19316 NORTHERN BLVD,QUEENS NY,11358",-73.7881149,40.7576148
"201","MODHU MITA INDIAN RESTAURANT","2546 7TH AVE,MANHATTAN NY,10039",-73.9378963,40.8234491
"202","MODERN GOURMET","793 BROADWAY,MANHATTAN NY,10003",-73.9916175,40.732147
"203","MOCU-MOCU","746 10TH AVE,MANHATTAN NY,10019",-73.991233,40.7650702
"204","MOCHA MOCHA COFFEE","8602 4 AVENUE,BROOKLYN NY,11209",-74.0286373,40.622723
"205","MOCHA MOCHA COFFEE","8602 4TH AVE,BROOKLYN NY,11209",-74.0286373,40.622723
"206","MOCHA HOOKAH CAFE","183 ATLANTIC AVENUE,BROOKLYN NY,11201",-73.9935502,40.690254
"207","MOCHA BURGER","496 LAGUARDIA PL,MANHATTAN NY,10012",-73.9997425,40.727501
"208","MOCA BAR & LOUNGE","2210 8 AVENUE,MANHATTAN NY,10026",-73.9535654,40.8063401
"209","MOCA ASIAN BISTRO","10718 70 ROAD,QUEENS NY,11375",-73.8451866,40.7209968
"210","MOBAYS KOALPOT AND GRILL","2354 PITKIN AVE,BROOKLYN NY,11207",-73.885445,40.67319
"211","MOB RESTAURANT","525 ATLANTIC AVENUE,BROOKLYN NY,11217",-73.980098,40.6853039
"212","MO'S BAR","80 LAFAYETTE AVENUE,BROOKLYN NY,11217",-73.9747389,40.6870022
"213","MO IL GELATO","52 GANSEVOORT ST,MANHATTAN NY,10014",-74.0070333,40.7392072
"214","MMM...THATS A WRAP","3801 30 AVENUE,QUEENS NY,11103",-73.915409,40.7643696
"215","MMM...THAT'S A WRAP","16312 CROSSBAY BOULEVARD,QUEENS NY,11414",-73.8385435,40.6519195
"216","MMM THATS A WRAP","4552 BELL BOULEVARD,QUEENS NY,11361",-73.768888,40.758741
"217","MMENFES TURKISH FOOD","62-08 WOODHAVEN BOULEVARD,QUEENS NY,11374",-73.8705546,40.726637
"218","MK KARAOKE","11 WEST   32 STREET,MANHATTAN NY,10001",-73.9862098,40.7477351
"219","MJB SOUTH (NAMM CAFE)","300 JAY STREET,BROOKLYN NY,11201",-73.9876719,40.6953743
"220","MJ PIZZA","1976 1ST AVE,MANHATTAN NY,10029",-73.9419685,40.7866773
"221","MIZUMI","23110 NORTHERN BOULEVARD,QUEENS NY,11362",-73.7353627,40.7709351
"222","MIZU HIBACHI JAPANESE FUSION","240 PAGE AVE,STATEN ISLAND NY,10307",-74.2357598,40.5178016
"223","MIZU","29 EAST   20 STREET,MANHATTAN NY,10003",-73.9889649,40.739068
"224","MIYAKO SUSHI","642 AMSTERDAM AVE,MANHATTAN NY,10025",-73.972858,40.7911521
"225","MIYABI SUSHI & ASIAN CUISINE","118 W 3RD ST,MANHATTAN NY,10012",-74.0004413,40.7303693
"226","MIYABI II ASIAN FUSION","1348 FOREST AVE,STATEN ISLAND NY,10302",-74.1344111,40.6257635
"227","MIXXED GRILL AND JUICE BAR","4922 FORT HAMILTON PKWY,BROOKLYN NY,11219",-73.9984464,40.6381389
"228","MIXX CANTINA","4403 KISSENA BOULEVARD,QUEENS NY,11355",-73.8224661,40.7539142
"229","MIXTAPE","1533 MYRTLE AVE,BROOKLYN NY,11237",-73.9140163,40.6993631
"230","MIX","730 61 STREET,BROOKLYN NY,11220",-74.0118107,40.6355454
"231","MIUSA WINE BAR","98A S 4TH ST,BROOKLYN NY,11249",-73.9640744,40.7120854
"232","MITOUSHI SUSHI","10 AKRON STREET,STATEN ISLAND NY,10314",-74.1587734,40.6120211
"233","MITOUSHI JAPANESE SUSHI","1221 QUENTIN ROAD,BROOKLYN NY,11229",-73.9603235,40.6082136
"234","MITOUSHI JAPANESE FUSION","1712 SHEEPSHEAD BAY RD,BROOKLYN NY,11235",-73.9518708,40.5856393
"235","MITI MITI TAPERIA","138 5TH AVE,BROOKLYN NY,11217",-73.9791861,40.6786853
"236","MITCHELL'S RESTAURANT","617 VANDERBILT AVENUE,BROOKLYN NY,11238",-73.9681355,40.6788308
"237","MITCHELL'S KITCHEN","261 PATCHEN AVE,BROOKLYN NY,11233",-73.9256923,40.6820817
"238","MISTURA PERUANA RESTAURANT","8423 JAMAICA AVENUE,QUEENS NY,11421",-73.8514712,40.6939308
"239","MISTER PIZZA","155 E 149TH ST,BRONX NY,10451",-73.9276012,40.8188708
"240","MISTER HOTPOT","5306 8 AVENUE,BROOKLYN NY,11220",-74.0058635,40.6393874
"241","MISTER CHICKEN TO GO","5326 ROOSEVELT AVENUE,QUEENS NY,11377",-73.8799413,40.7480747
"242","MIST HARLEM","46 WEST  116 STREET,MANHATTAN NY,10026",-73.9485127,40.8012472
"243","MISSION DOLORES","249 4 AVENUE,BROOKLYN NY,11215",-73.9834314,40.6761867
"244","MISSION CHINESE FOOD","171 E BROADWAY,MANHATTAN NY,10002",-73.9896667,40.7138292
"245","MISSION CEVICHE","52 GANSEVOORT ST,MANHATTAN NY,10014",-74.0070333,40.7392072
"246","MISSION CANTINA","172 ORCHARD ST,MANHATTAN NY,10002",-73.9882485,40.7214626
"247","MISS LILY'S 7A","109 AVENUE A,MANHATTAN NY,10009",-73.9837551,40.726019
"248","MISS LILY'S","132 WEST HOUSTON STREET,MANHATTAN NY,10012",-74.0013763,40.7279618
"249","MISS KOREA BARBECUE ''SUN''","10 W 32ND ST,MANHATTAN NY,10001",-73.9864501,40.7473402
"250","MISS KOREA","10 WEST   32 STREET,MANHATTAN NY,10001",-73.9864501,40.7473402
"251","MISS K'S ITALIAN EATERY & CAFE","118 MADISON AVENUE,MANHATTAN NY,10016",-73.9849883,40.7454578
"252","MISS FAVELA","57 SOUTH    5 STREET,BROOKLYN NY,11211",-73.9661799,40.7122496
"253","MISOYA","15702 NORTHERN BLVD,QUEENS NY,11354",-73.807976,40.763442
"254","MISO-YA","129 2 AVENUE,MANHATTAN NY,10003",-73.98814,40.728511
"255","MISO JAPANESE FUSION","40 MAIN STREET,BROOKLYN NY,11201",-73.99084,40.702805
"256","MISHIMA RESTAURANT","164 LEXINGTON AVENUE,MANHATTAN NY,10016",-73.9816053,40.7441474
"257","MISH MASH GOURMET","1103 KINGS HIGHWAY,BROOKLYN NY,11229",-73.9616366,40.607654
"258","MISAKE SUSHI","645 ROSSVILLE AVE,STATEN ISLAND NY,10309",-74.2077991,40.5427794
"259","MIS TIERRAS COLOMBIANAS","5408 ROOSEVELT AVE,QUEENS NY,11377",-73.910271,40.744543
"260","MIS ANGELITOS BAKERY","4003 5TH AVE,BROOKLYN NY,11232",-74.0044653,40.6504676
"261","MIRRORS ON GRAND","284 GRAND AVENUE,BROOKLYN NY,11238",-73.9628422,40.6883586
"262","MIRIAM","79 5 AVENUE,BROOKLYN NY,11217",-73.9776492,40.6801229
