"","V1","V2","long","lat"
"1","NUM PANG SANDWICH SHOP","200 WATER ST,MANHATTAN NY,10038",-74.0045635,40.7073373
"2","NUM PANG","28 E 12TH ST,MANHATTAN NY,10003",-73.9931433,40.7339209
"3","NUJOOM HOOKAH LOUNGE & GRILL","12710 LIBERTY AVE,QUEENS NY,11419",-73.817408,40.688595
"4","NUHMA","3315 GREENPOINT AVE,QUEENS NY,11101",-73.9343788,40.7359518
"5","NUEVO TACOS AL-SUDADERO","9722 ROOSEVELT AVE,QUEENS NY,11368",-73.8676664,40.7491994
"6","NUEVO TACOS AL SUADERO","9406 ROOSEVELT AVE,QUEENS NY,11372",-73.8720963,40.7487054
"7","NUEVO SABOR RESTAURANT","4032 10 AVENUE,MANHATTAN NY,10034",-73.9156354,40.8694104
"8","NUEVO MEXICO MEXICAN RESTAURANT","489 5 AVENUE,BROOKLYN NY,11215",-73.9874377,40.6674786
"9","NUEVO JARDIN DE CHINA RESTAURANT","3205 BROADWAY,QUEENS NY,11106",-73.9242043,40.7616432
"10","NUEVO HORIZONTE ( Herbalife)","3307 100TH ST,QUEENS NY,11368",-73.860249,40.739921
"11","NUEVO CAFE LATINO","4408 3RD AVE,BROOKLYN NY,11220",-74.0116616,40.6510771
"12","NUEVAS BRISAS DEL VALLE","9014 37TH AVE,QUEENS NY,11372",-73.8763388,40.7504371
"13","NUEVA VILLA CHINA RESTAURANT","3910 103 STREET,QUEENS NY,11368",-73.8630697,40.7502688
"14","NUEVA VIDA","49 WEST  170 STREET,BRONX NY,10452",-73.9203526,40.8407868
"15","Nueva Nitin Bakery","93-28 WHITNEY AVE,QUEENS NY,11373",-73.8734756,40.7484875
"16","NUEVA ESPERANZA","3609 108 STREET,QUEENS NY,11368",-73.8604077,40.7537785
"17","NUEVA AMBATENITA LA ESQUINA DEL SABOR","3924 108 STREET,QUEENS NY,11368",-73.8590417,40.7507633
"18","NUCHAS","0 BROADWAY PLAZA,MANHATTAN NY,10036",-74.0142468,40.7046298
"19","NUCHAS","97 W 32ND ST,MANHATTAN NY,10001",-73.9880481,40.7482573
"20","NUCCI'S SOUTH","4842 ARTHUR KILL ROAD,STATEN ISLAND NY,10309",-74.2386259,40.5241378
"21","NUCCI'S RESTAURANT","616 FOREST AVENUE,STATEN ISLAND NY,10310",-74.1097497,40.6296623
"22","NUBLU","62 AVENUE C,MANHATTAN NY,10009",-73.9797303,40.7224983
"23","NU SUSHI","76 PEARL STREET,MANHATTAN NY,10004",-74.0103388,40.7036995
"24","NU HOTEL","85 SMITH STREET,BROOKLYN NY,11201",-73.9886787,40.6889049
"25","NU CAFE 47","4709 NEW UTRECHT AVE,BROOKLYN NY,11219",-73.9943672,40.6378553
