LELLO'S PIZZA,"4018 GLENWOOD ROAD,BROOKLYN NY,11210"
LELLA ALIMENTARI,"325 MANHATTAN AVE,BROOKLYN NY,11211"
LELI'S BAKERY AND PASTRY SHOP,"3514 30 AVENUE,QUEENS NY,11103"
LELABAR,"422 HUDSON STREET,MANHATTAN NY,10014"
LEILANY'S BAKERY,"11402 JAMAICA AVE,QUEENS NY,11418"
LEGION,"790 METROPOLITAN AVENUE,BROOKLYN NY,11211"
LEGENDS NYC,"6 WEST   33 STREET,MANHATTAN NY,10001"
Legends Bar & Restaurant,"1735 E 172ND ST,BRONX NY,10472"
LEGENDS BAR & GRILL,"7104 35 AVENUE,QUEENS NY,11372"
LEGENDS 100,"1 EAST  161 STREET,BRONX NY,10451"
LEGENDS 000,"1 EAST  161 STREET,BRONX NY,10451"
LEGEND'S PUB,"1975 VICTORY BOULEVARD,STATEN ISLAND NY,10314"
LEGEND WEST VILLAGE,"82 W 3RD ST,MANHATTAN NY,10012"
LEGEND UPPER WEST,"258 WEST  109 STREET,MANHATTAN NY,10025"
LEGEND COOKHOUSE,"13511 ROCKAWAY BOULEVARD,QUEENS NY,11420"
LEGEND BAR & RESTAURANT,"88 7 AVENUE,MANHATTAN NY,10011"
LEGEND,"127 W 72 ST,MANHATTAN NY,10023"
LEFTFIELD,"87 LUDLOW STREET,MANHATTAN NY,10002"
Left Hand Path,"89 WYCKOFF AVE,BROOKLYN NY,11237"
LEFT FIELD REST ACELA 340,"126 ROOSEVELT AVENUE,QUEENS NY,11368"
LEFT FIELD CONCESSION STAND,"75 RICHMOND TERRACE,STATEN ISLAND NY,10301"
LEFT BANK,"117 PERRY STREET,MANHATTAN NY,10014"
LEFRAK PIZZA,"9717 57 AVENUE,QUEENS NY,11368"
LEFKOS PYRGOS,"3302 DITMARS BLVD,QUEENS NY,11105"
LEFEU LOUNGE5,"270 S 5TH ST,BROOKLYN NY,11211"
LEE'S VILLA CHINESE RESTAURANT,"152 LAWRENCE STREET,BROOKLYN NY,11201"
LEE'S TAVERN,"60 HANCOCK STREET,STATEN ISLAND NY,10305"
LEE'S RESTAURANT,"626 E 187TH ST,BRONX NY,10458"
LEE'S RESTAURANT,"1546 MYRTLE AVE,BROOKLYN NY,11237"
LEE'S KITCHEN,"806 BURKE AVE,BRONX NY,10467"
LEE'S KITCHEN,"1884 FULTON STREET,BROOKLYN NY,11233"
LEE XING RESTAURANT,"3207 WESTCHESTER AVENUE,BRONX NY,10461"
LEE WANG RESTAURANT,"2129 VALENTINE AVENUE,BRONX NY,10457"
LEE LEE'S BAKED GOODS,"283 WEST 118 STREET,MANHATTAN NY,10026"
LEE LEE BUBBLE TEA,"5718 5TH AVE,BROOKLYN NY,11220"
LEE GOOD TASTE KITCHEN,"2686 PITKIN AVE,BROOKLYN NY,11208"
LEE GARDEN CHINESE RESTAURANT,"121 WYCKOFF AVE,BROOKLYN NY,11237"
LEE CHUNG CAFE,"82 MADISON STREET,MANHATTAN NY,10002"
LEE CHINESE RESTAURANT,"1884 FULTON ST,BROOKLYN NY,11233"
LEE CHINESE RESTAURANT,"3328 FULTON STREET,BROOKLYN NY,11208"
LEE CHINESE RESTAURANT,"2104 LINDEN BLVD,BROOKLYN NY,11207"
LEDERHOSEN RESTAURANT,"39 GROVE STREET,MANHATTAN NY,10014"
LECHONERA TROPICAL & GRILL,"172 EAST  103 STREET,MANHATTAN NY,10029"
LECHONERA POLLO SABROSO BORIQUENA,"1089 SOUTHERN BLVD,BRONX NY,10459"
LECHONERA LA ISLA,"254 E 125TH ST,MANHATTAN NY,10035"
