"","V1","V2","long","lat"
"1","CAVATAPPO GRILL","1712 FIRST AVENUE,MANHATTAN NY,10128",-73.9478306,40.778485
"2","CAVALLO'S PIZZERIA","324 7 AVENUE,MANHATTAN NY,10001",-73.9936506,40.7475513
"3","CAVALA","5025-5035 BROADWAY,MANHATTAN NY,10040",-73.9165427,40.8697177
"4","CATSKILL BAGEL CO.","1416 CORTELYOU ROAD,BROOKLYN NY,11226",-73.9646462,40.6408367
"5","cats on the bay","2027 EMMONS AVE,BROOKLYN NY,11235",-73.9468727,40.5840319
"6","CATHY'S PLACE DINER","9526 FOURTH AVENUE,BROOKLYN NY,11209",-74.0316043,40.6154948
"7","CATHERINE BAKERY","4049 COLLEGE POINT BOULEVARD,QUEENS NY,11354",-73.8338806,40.7572029
"8","CATHERINE BAKERY","3622 UNION ST,QUEENS NY,11354",-73.828259,40.763074
"9","CATFISH","1433 BEDFORD AVENUE,BROOKLYN NY,11216",-73.953602,40.6741284
"10","CATERINA'S PIZZERIA","907 LIVONIA AVENUE,BROOKLYN NY,11207",-73.8834528,40.6665136
"11","CATERINA PIZZA","3035 FULTON STREET,BROOKLYN NY,11208",-73.8827898,40.6807089
"12","CATCH OF THE DAY","126 ROOSEVELT AVENUE,QUEENS NY,11368",-73.8509772,40.7529862
"13","CATCH 22","7221 3 AVENUE,BROOKLYN NY,11209",-74.0268765,40.6328767
"14","CATCH","2127 9 AVENUE,MANHATTAN NY,10014",-74.0058661,40.7402642
"15","CATANIA'S PIZZA CAFE","2307 ARTHUR AVE,BRONX NY,10458",-73.8893308,40.8536974
"16","CATALDO'S RESTAURANT","554 VANDERBILT AVENUE,BROOKLYN NY,11238",-73.9682253,40.6800727
"17","CATA","245 BOWERY ST,MANHATTAN NY,10002",-73.9927917,40.7226288
"18","CASTRO'S RESTAURANT","511 MYRTLE AVENUE,BROOKLYN NY,11205",-73.9644017,40.6938548
"19","CASTILLO RESTAURNAT","709 5TH AVE,BROOKLYN NY,11215",-73.9939273,40.6605892
"20","CASTILLO RESTAURANT","1227 BEDFORD AVE,BROOKLYN NY,11216",-73.9532411,40.6812308
"21","CASTILLO ECUATORIANO RESTAURANT","4020 5 AVENUE,BROOKLYN NY,11232",-74.0051391,40.6504862
"22","CASTILLO DE JAGUA DELI RESTAURANT","6811 4 AVENUE,BROOKLYN NY,11220",-74.0230612,40.6348739
"23","CASTILLO DE JAGUA 3","721 4 AVENUE,BROOKLYN NY,11232",-73.9970037,40.6611815
"24","CASTELTON CORNERS PUB","1815 VICTORY BOULEVARD,STATEN ISLAND NY,10314",-74.1238859,40.6132066
"25","CASSIS BISTRO/BRASSERIE","225 COLUMBUS AVENUE,MANHATTAN NY,10023",-73.9792675,40.7762094
"26","CASSIDY'S PUB","65 WEST   55 STREET,MANHATTAN NY,10019",-73.9771995,40.7628464
"27","CASSIDY'S ALE HOUSE","7502 31 AVENUE,BRONX NY,11370",-73.8917732,40.7586441
"28","CASSIANO'S PIZZA","930 3 AVENUE,MANHATTAN NY,10022",-73.9683767,40.7595524
"29","CASSETTE","113 FRANKLIN ST,BROOKLYN NY,11222",-73.9579121,40.7302229
"30","CASPIY","1309 AVENUE Z,BROOKLYN NY,11235",-73.9558191,40.5879574
"31","CASK BAR & KITCHEN","167 EAST   33 STREET,MANHATTAN NY,10016",-73.9789761,40.7454193
"32","CASIMIR & CO","1022 LEXINGTON AVE,MANHATTAN NY,10021",-73.9620176,40.7711236
"33","CASEY'S PUBLIC HOUSE","1063 POST AVENUE,STATEN ISLAND NY,10302",-74.135592,40.633918
"34","CASELLULA CHEESE & WINE CAFE","401 WEST   52 STREET,MANHATTAN NY,10019",-73.9882477,40.7649675
"35","CASELLA BAGEL COFFEE SHOP","66 WILLOUGHBY ST,BROOKLYN NY,11201",-73.9860812,40.6920224
"36","CASCATA","NKA JFK INTL AIRPORT,QUEENS NY,11430",-73.7889689,40.6433507
