"","X","ZIP","N_Museums","N_Museums_selected","N_Opera","N_theatre","N_Natpre"
"1",1,0,5,2,1,3,0
"2",2,10001,3,1,0,5,0
"3",3,10002,3,3,0,5,0
"4",4,10003,3,2,1,15,0
"5",5,10004,3,3,0,3,0
"6",6,10005,1,1,0,1,0
"7",7,10006,1,1,0,1,0
"8",8,10007,0,0,0,0,0
"9",9,10009,0,0,0,3,0
"10",10,10010,1,0,0,0,0
"11",11,10011,9,3,0,5,0
"12",12,10012,5,3,0,7,0
"13",13,10013,5,3,0,10,0
"14",14,10014,0,0,0,8,0
"15",15,10016,3,2,0,3,0
"16",16,10017,1,1,0,1,0
"17",17,10018,0,0,1,1,0
"18",18,10019,4,4,3,17,0
"19",19,10021,6,4,1,4,0
"20",20,10022,3,1,0,3,0
"21",21,10023,1,0,9,3,0
"22",22,10024,4,4,0,5,2
"23",23,10025,1,1,0,2,0
"24",24,10026,0,0,0,0,0
"25",25,10027,1,1,0,3,0
"26",26,10028,3,3,0,4,0
"27",27,10029,2,2,0,2,0
"28",28,10031,0,0,0,0,0
"29",29,10032,5,2,0,2,0
"30",30,10033,1,0,0,0,0
"31",31,10034,1,1,1,1,1
"32",32,10035,1,1,0,1,0
"33",33,10036,4,3,0,48,0
"34",34,10037,1,1,0,1,0
"35",35,10038,2,2,0,3,0
"36",36,10039,0,0,0,0,0
"37",37,10040,1,1,0,1,0
"38",38,10044,0,0,0,0,0
"39",39,10065,0,0,0,0,0
"40",40,10069,0,0,0,0,0
"41",41,10075,0,0,0,0,0
"42",42,10128,5,5,0,5,0
"43",43,10151,0,0,0,0,0
"44",44,10280,2,2,0,2,0
"45",45,10301,4,5,0,5,2
"46",46,10304,0,0,0,0,2
"47",47,10305,2,2,0,2,1
"48",48,10306,1,1,0,1,0
"49",49,10307,1,1,0,1,2
"50",50,10310,0,0,0,0,0
"51",51,10314,0,0,0,0,6
"52",52,10453,1,0,0,0,0
"53",53,10456,1,1,0,1,0
"54",54,10458,0,1,0,1,1
"55",55,10460,0,1,0,1,0
"56",56,10463,0,0,0,0,0
"57",57,10464,1,1,0,1,3
"58",58,10467,2,0,0,0,0
"59",59,10468,1,0,0,0,0
"60",60,10471,2,2,0,2,2
"61",61,10472,0,0,0,0,0
"62",62,11004,1,1,0,1,0
"63",63,11101,3,1,0,2,0
"64",64,11102,0,0,0,0,0
"65",65,11106,2,3,0,3,0
"66",66,11109,0,0,0,0,0
"67",67,11201,1,2,2,2,0
"68",68,11203,1,1,0,1,0
"69",69,11204,0,0,0,0,0
"70",70,11205,0,0,0,0,0
"71",71,11206,0,0,0,0,0
"72",72,11208,0,0,0,0,1
"73",73,11209,0,0,0,0,0
"74",74,11211,0,0,0,0,0
"75",75,11213,2,2,0,2,0
"76",76,11214,0,0,0,0,0
"77",77,11215,2,0,0,0,1
"78",78,11217,1,1,0,1,0
"79",79,11218,0,0,0,0,0
"80",80,11219,0,0,1,0,0
"81",81,11220,0,0,0,0,0
"82",82,11221,0,0,0,0,0
"83",83,11222,0,0,0,0,0
"84",84,11223,0,0,0,0,0
"85",85,11224,1,2,0,2,0
"86",86,11225,0,1,0,1,0
"87",87,11228,0,0,0,0,0
"88",88,11229,0,0,0,0,0
"89",89,11230,0,0,0,0,0
"90",90,11231,1,0,0,0,0
"91",91,11234,0,0,0,0,3
"92",92,11237,0,0,0,0,0
"93",93,11238,1,1,0,1,0
"94",94,11252,1,0,0,0,0
"95",95,11352,0,0,0,1,0
"96",96,11354,2,0,0,0,0
"97",97,11361,0,0,0,0,0
"98",98,11368,2,2,0,2,1
"99",99,11369,0,0,0,0,0
"100",100,11374,0,0,0,0,0
"101",101,11375,0,0,0,0,1
"102",102,11377,0,0,0,0,0
"103",103,11379,0,0,0,0,0
"104",104,11385,0,0,0,0,0
"105",105,11386,1,0,0,0,0
"106",106,11412,0,0,0,0,0
"107",107,11432,1,1,0,1,0
"108",108,11433,0,0,0,0,0
"109",109,11691,0,0,0,0,0
