"","zip","number","city","state","latitude","longitude"
"111",10466,92,"Bronx","NY",40.89095,-73.84702
"112",10467,147,"Bronx","NY",40.872265,-73.86937
"113",10468,98,"Bronx","NY",40.867107,-73.89916
"114",10469,89,"Bronx","NY",40.868643,-73.84735
"115",10470,45,"Bronx","NY",40.900629,-73.86072
"116",10471,53,"Bronx","NY",40.900819,-73.90347
"117",10472,102,"Bronx","NY",40.830409,-73.86845
"118",10473,28,"Bronx","NY",40.818514,-73.85893
"119",10474,38,"Bronx","NY",40.81321,-73.88755
"120",10475,57,"Bronx","NY",40.878522,-73.82541
"121",10605,1,"White Plains","NY",41.01002,-73.75158
"122",11001,3,"Floral Park","NY",40.7232,-73.70475
"123",11004,31,"Glen Oaks","NY",40.742944,-73.70956
"124",11005,2,"Floral Park","NY",40.756983,-73.7148
"125",11040,19,"New Hyde Park","NY",40.742901,-73.67895
"126",11101,256,"Long Island City","NY",40.745341,-73.93907
"127",11102,85,"Astoria","NY",40.771286,-73.92462
"128",11103,219,"Astoria","NY",40.762968,-73.91091
"129",11104,107,"Sunnyside","NY",40.743796,-73.91949
"130",11105,137,"Astoria","NY",40.774686,-73.90816
"131",11106,162,"Astoria","NY",40.762012,-73.93147
"132",11109,8,"Long Island City","NY",40.651378,-73.870779
"133",11201,340,"Brooklyn","NY",40.695286,-73.98907
"134",11203,134,"Brooklyn","NY",40.649059,-73.93304
"135",11204,122,"Brooklyn","NY",40.618944,-73.98473
"136",11205,146,"Brooklyn","NY",40.694214,-73.96529
"137",11206,154,"Brooklyn","NY",40.702348,-73.94288
"138",11207,128,"Brooklyn","NY",40.670874,-73.89424
"139",11208,106,"Brooklyn","NY",40.672666,-73.87248
"140",11209,263,"Brooklyn","NY",40.62327,-74.0295
"141",11210,82,"Brooklyn","NY",40.627946,-73.94552
"142",11211,382,"Brooklyn","NY",40.71209,-73.95427
"143",11212,100,"Brooklyn","NY",40.662191,-73.91328
"144",11213,85,"Brooklyn","NY",40.670937,-73.93459
"145",11214,185,"Brooklyn","NY",40.598994,-73.99611
"146",11215,357,"Brooklyn","NY",40.667508,-73.9856
"147",11216,161,"Brooklyn","NY",40.680398,-73.94824
"148",11217,261,"Brooklyn","NY",40.68209,-73.97783
"149",11218,140,"Brooklyn","NY",40.644552,-73.97595
"150",11219,106,"Brooklyn","NY",40.632449,-73.99629
"151",11220,324,"Brooklyn","NY",40.641436,-74.01574
"152",11221,120,"Brooklyn","NY",40.691234,-73.92637
"153",11222,206,"Brooklyn","NY",40.726302,-73.94559
"154",11223,186,"Brooklyn","NY",40.598142,-73.97229
"155",11224,77,"Brooklyn","NY",40.576589,-73.99172
"156",11225,111,"Brooklyn","NY",40.662892,-73.95509
"157",11226,175,"Brooklyn","NY",40.645256,-73.95553
"158",11228,57,"Brooklyn","NY",40.617563,-74.01168
"159",11229,134,"Brooklyn","NY",40.599256,-73.94118
"160",11230,109,"Brooklyn","NY",40.622994,-73.96427
"161",11231,166,"Brooklyn","NY",40.6788,-74.00254
"162",11232,105,"Brooklyn","NY",40.655481,-74.00424
"163",11233,75,"Brooklyn","NY",40.676938,-73.91858
"164",11234,137,"Brooklyn","NY",40.618561,-73.9216
"165",11235,172,"Brooklyn","NY",40.583803,-73.95019
"166",11236,97,"Brooklyn","NY",40.640527,-73.90362
"167",11237,209,"Brooklyn","NY",40.703355,-73.91993
"168",11238,252,"Brooklyn","NY",40.680145,-73.96257
"169",11239,16,"Brooklyn","NY",40.645848,-73.87919
"170",11242,1,"Brooklyn","NY",40.645099,-73.945032
"171",11249,168,"Brooklyn","NY",40.645099,-73.945032
"172",11256,1,"Brooklyn","NY",40.645099,-73.945032
"173",11352,1,"Flushing","NY",40.651378,-73.870779
"174",11354,384,"Flushing","NY",40.767969,-73.82496
"175",11355,193,"Flushing","NY",40.749463,-73.81941
"176",11356,50,"College Point","NY",40.785462,-73.84366
"177",11357,68,"Whitestone","NY",40.784453,-73.80922
"178",11358,141,"Flushing","NY",40.760522,-73.79612
"179",11360,26,"Bayside","NY",40.780386,-73.78005
"180",11361,121,"Bayside","NY",40.763177,-73.77392
"181",11362,50,"Little Neck","NY",40.759686,-73.73322
"182",11363,13,"Little Neck","NY",40.772636,-73.74644
"183",11364,49,"Oakland Gardens","NY",40.746718,-73.75994
"184",11365,45,"Fresh Meadows","NY",40.738983,-73.79209
"185",11366,62,"Fresh Meadows","NY",40.726137,-73.79502
"186",11367,55,"Flushing","NY",40.728614,-73.82145
"187",11368,294,"Corona","NY",40.747106,-73.85838
"188",11369,78,"East Elmhurst","NY",40.762854,-73.87051
"189",11370,28,"East Elmhurst","NY",40.763015,-73.89052
"190",11371,36,"Flushing","NY",40.772072,-73.87509
"191",11372,314,"Jackson Heights","NY",40.750146,-73.88433
"192",11373,222,"Elmhurst","NY",40.736076,-73.87804
"193",11374,90,"Rego Park","NY",40.724945,-73.8609
"194",11375,180,"Forest Hills","NY",40.720535,-73.84582
"195",11377,203,"Woodside","NY",40.742869,-73.90377
"196",11378,78,"Maspeth","NY",40.724096,-73.90271
"197",11379,50,"Middle Village","NY",40.716028,-73.87925
"198",11385,264,"Ridgewood","NY",40.703069,-73.89285
"199",11411,25,"Cambria Heights","NY",40.693538,-73.73574
"200",11412,44,"Saint Albans","NY",40.697188,-73.75948
"201",11413,40,"Springfield Gardens","NY",40.670138,-73.75141
"202",11414,50,"Howard Beach","NY",40.658188,-73.84321
"203",11415,40,"Kew Gardens","NY",40.706903,-73.82973
"204",11416,41,"Ozone Park","NY",40.683301,-73.8503
"205",11417,66,"Ozone Park","NY",40.675534,-73.84476
"206",11418,90,"Richmond Hill","NY",40.698485,-73.83365
"207",11419,94,"South Richmond Hill","NY",40.688688,-73.82216
"208",11420,91,"South Ozone Park","NY",40.673138,-73.81443
"209",11421,77,"Woodhaven","NY",40.69087,-73.85828
"210",11422,36,"Rosedale","NY",40.662538,-73.73514
"211",11423,31,"Hollis","NY",40.714261,-73.76824
"212",11426,32,"Bellerose","NY",40.732239,-73.72108
"213",11427,20,"Queens Village","NY",40.728235,-73.74782
"214",11428,36,"Queens Village","NY",40.719981,-73.74127
"215",11429,25,"Queens Village","NY",40.708833,-73.73903
"216",11430,138,"Jamaica","NY",40.650519,-73.79567
"217",11432,176,"Jamaica","NY",40.714144,-73.79324
"218",11433,31,"Jamaica","NY",40.696538,-73.78734
"219",11434,89,"Jamaica","NY",40.674888,-73.7727
"220",11435,104,"Jamaica","NY",40.700068,-73.80986
"221",11436,24,"Jamaica","NY",40.674146,-73.79687
"222",11451,1,"Jamaica","NY",40.651378,-73.870779
"223",11691,51,"Far Rockaway","NY",40.60002,-73.75962
"224",11692,10,"Arverne","NY",40.592939,-73.79568
"225",11693,33,"Far Rockaway","NY",40.596959,-73.81978
"226",11694,40,"Rockaway Park","NY",40.57649,-73.84721
"227",11697,3,"Breezy Point","NY",40.560167,-73.90891
