"","zip","number","city","state","latitude","longitude"
"1",10001,420,"New York","NY",40.750742,-73.99653
"2",10002,470,"New York","NY",40.71704,-73.987
"3",10003,668,"New York","NY",40.732509,-73.98935
"4",10004,134,"New York","NJ",40.699226,-74.04118
"5",10005,62,"New York","NY",40.706019,-74.00858
"6",10006,42,"New York","NY",40.707904,-74.01342
"7",10007,128,"New York","NY",40.714754,-74.00721
"8",10009,311,"New York","NY",40.727093,-73.97864
"9",10010,257,"New York","NY",40.739022,-73.98205
"10",10011,465,"New York","NY",40.741012,-74.00012
"11",10012,405,"New York","NY",40.72596,-73.99834
"12",10013,476,"New York","NY",40.720666,-74.00526
"13",10014,442,"New York","NY",40.734718,-74.00532
"14",10015,1,"New York","NY",40.780751,-73.977182
"15",10016,431,"New York","NY",40.74618,-73.97759
"16",10017,306,"New York","NY",40.752159,-73.97231
"17",10018,325,"New York","NY",40.755101,-73.99337
"18",10019,633,"New York","NY",40.765714,-73.9856
"19",10020,44,"New York","NY",40.758667,-73.98024
"20",10021,155,"New York","NY",40.76842,-73.96045
"21",10022,438,"New York","NY",40.759015,-73.96732
"22",10023,191,"New York","NY",40.776099,-73.98285
"23",10024,201,"New York","NY",40.786387,-73.97709
"24",10025,231,"New York","NY",40.798502,-73.96811
"25",10026,76,"New York","NY",40.802853,-73.95471
"26",10027,171,"New York","NY",40.812665,-73.95499
"27",10028,202,"New York","NY",40.776777,-73.9541
"28",10029,203,"New York","NY",40.791586,-73.94575
"29",10030,45,"New York","NY",40.818151,-73.94351
"30",10031,108,"New York","NY",40.826201,-73.94879
"31",10032,114,"New York","NY",40.840686,-73.94154
"32",10033,115,"New York","NY",40.848764,-73.93496
"33",10034,104,"New York","NY",40.867653,-73.92
"34",10035,82,"New York","NY",40.802395,-73.93359
"35",10036,580,"New York","NY",40.759511,-73.99019
"36",10037,35,"New York","NY",40.813385,-73.93616
"37",10038,191,"New York","NY",40.709677,-74.00365
"38",10039,34,"New York","NY",40.826181,-73.9371
"39",10040,76,"New York","NY",40.858704,-73.92853
"40",10044,8,"New York","NY",40.762174,-73.94917
"41",10048,1,"New York","NY",40.712086,-74.01227
"42",10055,1,"New York","NY",40.780751,-73.977182
"43",10065,179,"New York","NY",40.76,-73.96
"44",10069,4,"New York","NY",40.775477,-73.9905
"45",10075,98,"New York","NY",40.77,-73.95
"46",10103,2,"New York","NY",40.760915,-73.97785
"47",10104,5,"New York","NY",40.760943,-73.979908
"48",10105,4,"New York","NY",40.762808,-73.978534
"49",10106,2,"New York","NY",40.765243,-73.980438
"50",10107,1,"New York","NY",40.766429,-73.982728
"51",10110,1,"New York","NY",40.753987,-73.980811
"52",10111,5,"New York","NY",40.759235,-73.97775
"53",10112,20,"New York","NY",40.759291,-73.97979
"54",10118,7,"New York","NY",40.748998,-73.986467
"55",10119,21,"New York","NY",40.750824,-73.99289
"56",10121,57,"New York","NY",40.74964,-73.991889
"57",10123,2,"New York","NY",40.751489,-73.990537
"58",10128,158,"New York","NY",40.781894,-73.95039
"59",10153,3,"New York","NY",40.763742,-73.97268
"60",10154,1,"New York","NY",40.757986,-73.97267
"61",10155,1,"New York","NY",40.761104,-73.968036
"62",10165,1,"New York","NY",40.752354,-73.9789
"63",10166,1,"New York","NY",40.754591,-73.976238
"64",10167,3,"New York","NY",40.754862,-73.97495
"65",10168,5,"New York","NY",40.751933,-73.976794
"66",10169,24,"New York","NY",40.754463,-73.97606
"67",10170,3,"New York","NY",40.752859,-73.97608
"68",10171,3,"New York","NY",40.756099,-73.97401
"69",10172,1,"New York","NY",40.755494,-73.97447
"70",10173,2,"New York","NY",40.754302,-73.97955
"71",10174,3,"New York","NY",40.751656,-73.97516
"72",10175,1,"New York","NY",40.754305,-73.979782
"73",10176,2,"New York","NY",40.75557,-73.978877
"74",10178,1,"New York","NY",40.751378,-73.978507
"75",10179,1,"New York","NY",40.780751,-73.977182
"76",10199,1,"New York","NY",40.750308,-74.00058
"77",10271,1,"New York","NY",40.708669,-74.01043
"78",10279,1,"New York","NY",40.713062,-74.00857
"79",10280,9,"New York","NY",40.707467,-74.0178
"80",10281,30,"New York","NY",40.714643,-74.014958
"81",10282,16,"New York","NY",40.717179,-74.01433
"82",10285,2,"New York","NY",40.71533,-74.016306
"83",10301,102,"Staten Island","NY",40.631775,-74.09432
"84",10302,65,"Staten Island","NY",40.631127,-74.13715
"85",10303,37,"Staten Island","NY",40.629448,-74.16239
"86",10304,53,"Staten Island","NY",40.60787,-74.08991
"87",10305,91,"Staten Island","NY",40.599021,-74.07503
"88",10306,110,"Staten Island","NY",40.569394,-74.11785
"89",10307,30,"Staten Island","NY",40.508274,-74.24387
"90",10308,53,"Staten Island","NY",40.551353,-74.15098
"91",10309,79,"Staten Island","NY",40.529749,-74.21304
"92",10310,57,"Staten Island","NY",40.63212,-74.11551
"93",10311,1,"Staten Island","NY",40.605245,-74.179485
"94",10312,73,"Staten Island","NY",40.543117,-74.17628
"95",10314,166,"Staten Island","NY",40.606337,-74.14513
"96",10451,155,"Bronx","NY",40.819729,-73.9223
"97",10452,97,"Bronx","NY",40.838745,-73.92234
"98",10453,88,"Bronx","NY",40.853017,-73.91214
"99",10454,67,"Bronx","NY",40.805968,-73.91628
"100",10455,95,"Bronx","NY",40.815559,-73.90771
"101",10456,93,"Bronx","NY",40.829676,-73.90856
"102",10457,89,"Bronx","NY",40.846745,-73.89861
"103",10458,190,"Bronx","NY",40.864166,-73.88881
"104",10459,72,"Bronx","NY",40.825432,-73.89327
"105",10460,63,"Bronx","NY",40.84095,-73.88036
"106",10461,146,"Bronx","NY",40.842917,-73.83819
"107",10462,150,"Bronx","NY",40.842173,-73.85862
"108",10463,127,"Bronx","NY",40.881086,-73.90749
"109",10464,37,"Bronx","NY",40.857017,-73.78903
"110",10465,82,"Bronx","NY",40.825727,-73.81752
