ZZ'S PIZZA & GRILL,"1 RICHMOND TERRACE,STATEN ISLAND NY,10301",-74.0751202,40.642211
ZZ CLAM BAR,"169 THOMPSON ST,MANHATTAN NY,10012",-74.000466,40.727688
ZYMI BAR & GRILL,"726 ASTOR AVENUE,BRONX NY,10467",-73.8662887,40.8594314
ZUZU RAMEN,"173 4 AVENUE,BROOKLYN NY,11217",-73.9819812,40.6784874
ZUTTO,"77 HUDSON STREET,MANHATTAN NY,10013",-74.0090997,40.7184744
ZURILEE,"755 FLATBUSH AVE,BROOKLYN NY,11226",-73.9593205,40.6545125
ZUMBA RESTAURANT,"330 HEBERTON AVENUE,STATEN ISLAND NY,10302",-74.134152,40.632998
ZUMA NEW YORK,"261 MADISON AVE,MANHATTAN NY,10016",-73.9806266,40.7504872
ZUM STAMMTISCH,"6946 MYRTLE AVENUE,QUEENS NY,11385",-73.8811281,40.7017493
ZUM SCHNEIDER,"107109 AVENUE C,MANHATTAN NY,10009",-73.9764081,40.7274332
ZUCKER'S BAGELS AND SMOKED FISH,"146 CHAMBERS STREET,MANHATTAN NY,10007",-74.009836,40.7155818
ZUCKER'S BAGEL,"370 LEXINGTON AVENUE,MANHATTAN NY,10017",-73.9767958,40.750761
ZUCKER BAKERY,"433 EAST    9 STREET,MANHATTAN NY,10009",-73.9833159,40.7277105
ZUCCHERO E POMODORI,"1435 2 AVENUE,MANHATTAN NY,10021",-73.9573014,40.7706645
ZUCCHERO E POMODORI,"1435 2ND AVE,MANHATTAN NY,10021",-73.9573014,40.7706645
ZUCCA BUCA FROZEN YOGURT,"18816 UNION TURNPIKE,QUEENS NY,11366",-73.7804838,40.7291221
ZU RANG NY,"4114 162ND ST,QUEENS NY,11358",-73.8040289,40.7609592
ZOU'S RESTAURANT BUFFET,"233 UTICA AVE,BROOKLYN NY,11213",-73.930659,40.670792
ZORBA'S,"2905 23 AVENUE,QUEENS NY,11105",-73.913373,40.775064
ZORALIE RESTAURANT,"449 WEST 51 STREET,MANHATTAN NY,10019",-73.990179,40.765078
ZOODO,"1518 MACOMBS ROAD,BRONX NY,10452",-73.9172848,40.8434566
ZONI CAFE,"41 W 33RD ST,MANHATTAN NY,10001",-73.9869591,40.7488821
ZONI CAFE,"22 W 34TH ST,MANHATTAN NY,10001",-73.9864332,40.7489371
ZONE CULINAIRE,"751 DRAKE STREET,BRONX NY,10474",-73.883495,40.816652
ZONA ROSA,"571 LORIMER STREET,BROOKLYN NY,11211",-73.9495935,40.7139248
ZOMBIE HUT,"273 SMITH STREET,BROOKLYN NY,11231",-73.9930964,40.6825499
ZOMA,"2084 FREDRICK DOUGLAS BOULEVARD,MANHATTAN NY,10026",-73.9565463,40.8022645
Zoilita Restaurant,"7934 PARSONS BLVD,QUEENS NY,11366",-73.8091704,40.7203046
ZOE'S PLACE,"3870 10TH ST,QUEENS NY,11101",-73.9441137,40.7572171
ZOE RESTAURANT & LOUNGE,"1559 ST NICHLS AVE,MANHATTAN NY,10040",-73.9308509,40.8537026
ZOE CAFE,"301 WEST  121 STREET,MANHATTAN NY,10027",-73.9533509,40.8079661
ZIZI LIMONA / THE HUMMUS,"129 HAVEMEYER STREET,BROOKLYN NY,11211",-73.9568647,40.7123897
ZITELLI'S,"8530 3 AVENUE,BROOKLYN NY,11209",-74.031272,40.6236907
ZIOTOTO RESTAURANTE & BAR,"86 PAGE AVENUE,STATEN ISLAND NY,10309",-74.235526,40.5221813
ZIO NINO PIZZA & RESTAURANT,"7203 18 AVENUE,BROOKLYN NY,11204",-73.9941596,40.6148788
ZIO LUIGI,"4215 QUEENS BLVD,QUEENS NY,11104",-73.9218357,40.7438563
