zip,number,city,state,latitude,longitude
11213,92,Brooklyn,NY,40.670937,-73.93459
11214,188,Brooklyn,NY,40.598994,-73.99611
11215,350,Brooklyn,NY,40.667508,-73.9856
11216,162,Brooklyn,NY,40.680398,-73.94824
11217,261,Brooklyn,NY,40.68209,-73.97783
11218,142,Brooklyn,NY,40.644552,-73.97595
11219,106,Brooklyn,NY,40.632449,-73.99629
11220,321,Brooklyn,NY,40.641436,-74.01574
11221,114,Brooklyn,NY,40.691234,-73.92637
11222,201,Brooklyn,NY,40.726302,-73.94559
11223,193,Brooklyn,NY,40.598142,-73.97229
11224,80,Brooklyn,NY,40.576589,-73.99172
11225,115,Brooklyn,NY,40.662892,-73.95509
11226,196,Brooklyn,NY,40.645256,-73.95553
11228,58,Brooklyn,NY,40.617563,-74.01168
11229,138,Brooklyn,NY,40.599256,-73.94118
11230,107,Brooklyn,NY,40.622994,-73.96427
11231,161,Brooklyn,NY,40.6788,-74.00254
11232,111,Brooklyn,NY,40.655481,-74.00424
11233,76,Brooklyn,NY,40.676938,-73.91858
11234,148,Brooklyn,NY,40.618561,-73.9216
11235,177,Brooklyn,NY,40.583803,-73.95019
11236,117,Brooklyn,NY,40.640527,-73.90362
11237,201,Brooklyn,NY,40.703355,-73.91993
11238,248,Brooklyn,NY,40.680145,-73.96257
11239,16,Brooklyn,NY,40.645848,-73.87919
11242,1,Brooklyn,NY,40.645099,-73.945032
11249,159,Brooklyn,NY,40.645099,-73.945032
11256,1,Brooklyn,NY,40.645099,-73.945032
11352,1,Flushing,NY,40.651378,-73.870779
11354,397,Flushing,NY,40.767969,-73.82496
11355,204,Flushing,NY,40.749463,-73.81941
11356,50,College Point,NY,40.785462,-73.84366
11357,67,Whitestone,NY,40.784453,-73.80922
11358,143,Flushing,NY,40.760522,-73.79612
11360,25,Bayside,NY,40.780386,-73.78005
11361,117,Bayside,NY,40.763177,-73.77392
11362,49,Little Neck,NY,40.759686,-73.73322
11363,13,Little Neck,NY,40.772636,-73.74644
11364,50,Oakland Gardens,NY,40.746718,-73.75994
11365,45,Fresh Meadows,NY,40.738983,-73.79209
11366,62,Fresh Meadows,NY,40.726137,-73.79502
11367,56,Flushing,NY,40.728614,-73.82145
11368,299,Corona,NY,40.747106,-73.85838
11369,78,East Elmhurst,NY,40.762854,-73.87051
11370,28,East Elmhurst,NY,40.763015,-73.89052
11371,34,Flushing,NY,40.772072,-73.87509
11372,328,Jackson Heights,NY,40.750146,-73.88433
11373,227,Elmhurst,NY,40.736076,-73.87804
11374,91,Rego Park,NY,40.724945,-73.8609
11375,190,Forest Hills,NY,40.720535,-73.84582
11377,210,Woodside,NY,40.742869,-73.90377
11378,78,Maspeth,NY,40.724096,-73.90271
11379,48,Middle Village,NY,40.716028,-73.87925
11385,265,Ridgewood,NY,40.703069,-73.89285
11411,25,Cambria Heights,NY,40.693538,-73.73574
11412,44,Saint Albans,NY,40.697188,-73.75948
11413,42,Springfield Gardens,NY,40.670138,-73.75141
11414,50,Howard Beach,NY,40.658188,-73.84321
11415,39,Kew Gardens,NY,40.706903,-73.82973
11416,41,Ozone Park,NY,40.683301,-73.8503
11417,68,Ozone Park,NY,40.675534,-73.84476
11418,88,Richmond Hill,NY,40.698485,-73.83365
11419,95,South Richmond Hill,NY,40.688688,-73.82216
11420,94,South Ozone Park,NY,40.673138,-73.81443
11421,78,Woodhaven,NY,40.69087,-73.85828
11422,40,Rosedale,NY,40.662538,-73.73514
11423,32,Hollis,NY,40.714261,-73.76824
11426,34,Bellerose,NY,40.732239,-73.72108
11427,20,Queens Village,NY,40.728235,-73.74782
11428,36,Queens Village,NY,40.719981,-73.74127
11429,26,Queens Village,NY,40.708833,-73.73903
11430,140,Jamaica,NY,40.650519,-73.79567
11432,189,Jamaica,NY,40.714144,-73.79324
11433,31,Jamaica,NY,40.696538,-73.78734
11434,92,Jamaica,NY,40.674888,-73.7727
11435,110,Jamaica,NY,40.700068,-73.80986
11436,25,Jamaica,NY,40.674146,-73.79687
11451,1,Jamaica,NY,40.651378,-73.870779
11691,51,Far Rockaway,NY,40.60002,-73.75962
11692,11,Arverne,NY,40.592939,-73.79568
11693,33,Far Rockaway,NY,40.596959,-73.81978
11694,41,Rockaway Park,NY,40.57649,-73.84721
11697,3,Breezy Point,NY,40.560167,-73.90891
