the_geom,NAME,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP,closing,rates,specials
POINT(40.808025 73.962134),Columbia University,,,116th St & Broadway,,New York,10027,,,
,Madame Tussauds,,,234 W 42nd St,,New York,10026,,,
,Empire Tower Building,,,350 5th Ave,,New York,10118,,,
POINT(40.689244 74.044514),Statue of Liberty,,,,,New York,10004,,,
POINT40.752998 73.977056),Grand Central Terminal,,,89 E 42nd St,,New York,10017,,,
POINT(40.702565 73.992537),Brooklyn Bridge,,,,,New York,11201,,,
,Film Society of Lincoln Center,,,70 Lincoln Center Plaza,,New York,10023,,,
"POINT(40.715751, 73.997031)",Chinatown,,,,,New York,10013,,,
POINT(40.705116 74.00883),Wall Street,,,55 Wall St,,New York,10005,,,
POINT(40.710083 74.012417),9/11 Tribute Center,,,120 Liberty St,,New York,10006,,,
,Soho,,,504 Broadway,,New York,10012,,,
POINT(40.748704 73.988403),Macys,,,151 W 34th St,,New York,10001,,,
,Brookfield Place,,,230 Vesey St,,New York,10281,,,
POINT(40.730823 73.997332),Washington Square park,,,,,New York,10012,,,
POINT(40.728923 73.996593),New York University,,,40 Washington Square S,,New York,10012,,,
POINT(40.829189 73.926493),Yankee Stadium,,,1 E 161st St,,Bronx,10451,,,
POINT( 40.7477385 73.9868938),Koreatown,,,,,New York,10001,,,
