,NAME,lat,lng,NTAName,spot_type
1,O'reilly William & Co Ltd,40.77380087,-73.96273075,Upper East Side-Carnegie Hill,art_gallery
2,Organization of Independent Artists - Gallery 402,40.71646851,-74.00938579,SoHo-TriBeCa-Civic Center-Little Italy,art_gallery
3,Owen Gallery,40.77400085,-73.96435178,Upper East Side-Carnegie Hill,art_gallery
4,P P O W Gallerie,40.7495854,-74.00389261,Hudson Yards-Chelsea-Flatiron-Union Square,art_gallery
5,P P O W Inc,40.72290743,-74.0017639,SoHo-TriBeCa-Civic Center-Little Italy,art_gallery
6,P S 122 Gallery,40.72816774,-73.98437148,East Village,art_gallery
7,Pace Editions,40.73920195,-73.99437671,Hudson Yards-Chelsea-Flatiron-Union Square,art_gallery
8,Pace MacGill Gallery,40.76194965,-73.97202175,Midtown-Midtown South,art_gallery
9,Pace Prints & Primitive Gallery,40.76183647,-73.97211462,Midtown-Midtown South,art_gallery
10,Pace Wildenstein,40.74944828,-74.00495118,Hudson Yards-Chelsea-Flatiron-Union Square,art_gallery
11,Pace Wildenstein,40.76188607,-73.97207692,Midtown-Midtown South,art_gallery
12,Paige's Art Gallery,40.8150007,-73.95927393,Morningside Heights,art_gallery
13,PaineWebber Gallery,40.76118894,-73.98058387,Midtown-Midtown South,art_gallery
14,Paint Can Studios,40.75515787,-73.92794008,Queensbridge-Ravenswood-Long Island City,art_gallery
15,Paley Barbara K,40.76637002,-73.98148007,Midtown-Midtown South,art_gallery
16,Pall William Inc,40.76450874,-73.96481234,Upper East Side-Carnegie Hill,art_gallery
17,Palmer Meredith Gallery,40.78563342,-73.95482249,Upper East Side-Carnegie Hill,art_gallery
18,Pandora Old Masters,40.76789235,-73.96081641,Lenox Hill-Roosevelt Island,art_gallery
19,Pardo Sheenan Galleries Ltd,40.7448961,-73.98156102,Murray Hill-Kips Bay,art_gallery
20,Parker's Box,40.71430916,-73.96044471,North Side-South Side,art_gallery
21,Parsons Galleries,40.73539495,-73.99478186,West Village,art_gallery
22,Patricia Laligant Photographs,40.74676021,-73.99282055,Midtown-Midtown South,art_gallery
23,Patrick's Gallery,40.74186878,-73.99851017,Hudson Yards-Chelsea-Flatiron-Union Square,art_gallery
24,Paul Kasmin Gallery,40.75019275,-74.00272286,Hudson Yards-Chelsea-Flatiron-Union Square,art_gallery
25,Paula Cooper Gallery,40.7469199,-74.00689773,Hudson Yards-Chelsea-Flatiron-Union Square,art_gallery
26,Peck Ian Fine Paintings Ltd,40.77476053,-73.96365013,Upper East Side-Carnegie Hill,art_gallery
27,Peder Bonnier Inc,40.74405995,-73.99623914,Hudson Yards-Chelsea-Flatiron-Union Square,art_gallery
28,Perimeter Gallery,40.74938125,-74.00389939,Hudson Yards-Chelsea-Flatiron-Union Square,art_gallery
29,Perlow Rich Katharina Gallery Inc,40.76236541,-73.97163996,Midtown-Midtown South,art_gallery
30,Peter L Villa Fine Art,40.7611697,-73.97029437,Turtle Bay-East Midtown,art_gallery
31,Peter Rose Gallery,40.76057555,-73.96690495,Turtle Bay-East Midtown,art_gallery
32,Peters Gerald Gallery,40.77566356,-73.96316937,Upper East Side-Carnegie Hill,art_gallery
33,Phoenix Design Ltd,40.76366855,-73.77059062,Bayside-Bayside Hills,art_gallery
34,Phoenix Gallery,40.74977525,-74.00599167,Hudson Yards-Chelsea-Flatiron-Union Square,art_gallery
35,Phoneup,40.71651672,-73.99502605,Chinatown,art_gallery
36,Photo & Art Gallery,40.6029621,-73.75339447,Far Rockaway-Bayswater,art_gallery
37,Photo Collection Gagliardi,40.74063767,-73.99269647,Hudson Yards-Chelsea-Flatiron-Union Square,art_gallery
38,Photo District Gallery,40.74080485,-73.99310574,Hudson Yards-Chelsea-Flatiron-Union Square,art_gallery
39,Phyllis Lucas Gallery Inc,40.75614508,-73.96795086,Turtle Bay-East Midtown,art_gallery
40,Picture This Corporate Art,40.68324194,-73.9926035,Carroll Gardens-Columbia Street-Red Hook,art_gallery
41,Pierogi 2000,40.71875035,-73.9557816,North Side-South Side,art_gallery
42,Place Des Vosges,40.73276122,-73.99094408,West Village,art_gallery
43,Plane Space,40.73439963,-74.00518363,West Village,art_gallery
44,Plaster Palace,40.62575957,-73.98315035,Borough Park,art_gallery
45,Plaza Holding Inc,40.76215882,-73.97575362,Midtown-Midtown South,art_gallery
46,Plaza Holding Inc,40.76226036,-73.97568006,Midtown-Midtown South,art_gallery
47,Plaza Watch & Jewelry Exchange,40.76526144,-73.97867414,Midtown-Midtown South,art_gallery
48,Pleiades Gallery,40.74937493,-74.00477069,Hudson Yards-Chelsea-Flatiron-Union Square,art_gallery
