"","NAME","lat","lng","NTAName","spot_type"
"1","Arden Heights Woods Preserve",40.5541028,-74.1927108,"Arden Heights","natural"
"2","Blue Heron Park Preserve",40.5368888,-74.1758583,"Annadale-Huguenot-Prince's Bay-Eltingville","natural"
"3","Clove Lake Park Preserve",40.6179186,-74.1055512,"Westerleigh","natural"
"4","Conference House Park Preserves",40.5066669,-74.2460842,"Charleston-Richmond Valley-Tottenville","natural"
"5","Deer Park Preserve",40.6084411,-74.1052619,"Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","natural"
"6","Eibs Pond Park Preserve",40.6081534,-74.0855932,"Grymes Hill-Clifton-Fox Hills","natural"
"7","Evergreen Park Preserve",40.55823,-74.1438359,"Great Kills","natural"
"8","Isle of Meadows Preserve",40.5696518,-74.1948288,"New Springville-Bloomfield-Travis","natural"
"10","Lemon Creek Park Preserve",40.5126991,-74.1980057,"Annadale-Huguenot-Prince's Bay-Eltingville","natural"
"11","Long Pond Park Preserve",40.5102741,-74.2304292,"Charleston-Richmond Valley-Tottenville","natural"
"12","Reeds Basket Willow Swamp Preserve",40.602207,-74.0998989,"Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","natural"
"13","Saw Mill Creek Marsh Preserve",40.608895,-74.1784304,"New Springville-Bloomfield-Travis","natural"
"14","Staten Island Greenbelt",40.5890124,-74.1391698,"New Springville-Bloomfield-Travis","natural"
"15","Staten Island Greenbelt Preserve",40.5890124,-74.1391698,"New Springville-Bloomfield-Travis","natural"
"16","Wolfe's Pond Park Preserve",40.5450622,-74.1431049,"Great Kills","natural"
"17","High Rock Park Preserve",40.5845663,-74.1249804,"Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","natural"
"18","Four Sparrow Marsh Preserve",40.6013983,-73.9117922,"park-cemetery-etc-Brooklyn","natural"
"19","Fresh Creek Park Preserve",40.6461836,-73.889508,"Canarsie","natural"
"20","Marine Park Preserve",40.6134666,-73.9299298,"Georgetown-Marine Park-Bergen Beach-Mill Basin","natural"
"21","Paerdegat Basin Park Preserve",40.6244887,-73.9089558,"Georgetown-Marine Park-Bergen Beach-Mill Basin","natural"
"22","Prospect Park Preserve",40.6655466,-73.9740145,"park-cemetery-etc-Brooklyn","natural"
"23","Alley Pond Park Preserve",40.7709356,-73.7353623,"Douglas Manor-Douglaston-Little Neck","natural"
"24","Rockaway Beach",40.584294,-73.8133396,"Hammels-Arverne-Edgemere","natural"
"25","Cunningham Park Preserve",40.7397342,-73.739179,"park-cemetery-etc-Queens","natural"
"26","Dubos Point Wildlife Sanctuary",40.5974089,-73.7924791,"Hammels-Arverne-Edgemere","natural"
"27","Flushing Meadows-Corona Park",40.7381849,-73.8370447,"park-cemetery-etc-Queens","natural"
"28","Forest Park Preserve",40.7100684,-73.8466768,"Forest Hills","natural"
"29","Idlewild Park Preserve",40.658747,-73.760276,"Springfield Gardens South-Brookville","natural"
"30","Udalls Cove Park Preserve",40.772887,-73.742639,"Douglas Manor-Douglaston-Little Neck","natural"
"31","Spring Creek Park Preserve",40.6442085,-73.8783762,"Starrett City","natural"
"32","Central Park Preserve",40.742903,-73.9927978,"Hudson Yards-Chelsea-Flatiron-Union Square","natural"
"33","Inwood Hill Park",40.8721452,-73.9212858,"park-cemetery-etc-Manhattan","natural"
"34","Bronx Park Preserve",40.8612275,-73.8892354,"Belmont","natural"
"35","Pelham Bay Park",40.8447307,-73.8275687,"Schuylerville-Throgs Neck-Edgewater Park","natural"
"36","Pelham Bay Park",40.8447307,-73.8275687,"Schuylerville-Throgs Neck-Edgewater Park","natural"
"37","Pelham Bay Park",40.8447307,-73.8275687,"Schuylerville-Throgs Neck-Edgewater Park","natural"
"38","Riverdale Park",40.8916936,-73.9141911,"North Riverdale-Fieldston-Riverdale","natural"
"39","Seton Falls Park Preserve",40.8860434,-73.8405764,"Eastchester-Edenwald-Baychester","natural"
"40","Van Cortlandt Park Preserve",40.9020112,-73.8966668,"North Riverdale-Fieldston-Riverdale","natural"
"41","Bloomingdale Park Preserve",40.5320507,-74.2065071,"Rossville-Woodrow","natural"
"42","Fairview Park Preserve",40.5300847,-74.229222,"Charleston-Richmond Valley-Tottenville","natural"
"43","Central Park Preserve",40.7859464,-73.9741874,"Upper West Side","natural"
"44","Highland Park Preserve",40.6853634,-73.8821934,"Cypress Hills-City Line","natural"
"45","Neck Creek Preserve",40.6000765,-74.1928099,"New Springville-Bloomfield-Travis","natural"
"46","Ocean Breeze Park Preserve",40.5866186,-74.087227,"Old Town-Dongan Hills-South Beach","natural"
