"","NAME","lat","lng","NTAName","Type"
"1","Alexander Hamilton U.S. Custom House",40.703816216918,-74.0137557951974,"Battery Park City-Lower Manhattan","Museum"
"2","Alice Austen House Museum",40.6151208377554,-74.0630317885511,"Stapleton-Rosebank","Museum"
"3","American Folk Art Museum",40.7616249713855,-73.9781030211,"Midtown-Midtown South","Museum"
"4","American Museum of Natural History",40.7808262345764,-73.9736481637782,"Upper West Side","Museum"
"5","Anne Frank Center USA",40.7211274494767,-73.9996303690309,"SoHo-TriBeCa-Civic Center-Little Italy","Museum"
"6","Bartow-Pell Mansion",40.8717783167827,-73.8055794999576,"park-cemetery-etc-Bronx","Museum"
"7","Bronx Museum of the Arts (BXMA)",40.8310297799285,-73.9197501772483,"East Concourse-Concourse Village","Museum"
"10","Brooklyn Children's Museum",40.6745069960993,-73.9440160138375,"Crown Heights North","Museum"
"11","Brooklyn Historical Society",40.6948029749104,-73.9924054039313,"Brooklyn Heights-Cobble Hill","Museum"
"12","Brooklyn Museum",40.6710832121263,-73.9635850679766,"park-cemetery-etc-Brooklyn","Museum"
"13","Center For Jewish History",40.7379867645884,-73.9938687722398,"Hudson Yards-Chelsea-Flatiron-Union Square","Museum"
"14","Children's Museum of Manhattan",40.7858709210676,-73.9772739196817,"Upper West Side","Museum"
"15","Children's Museum of the Arts",40.7207494688101,-73.9988383609048,"SoHo-TriBeCa-Civic Center-Little Italy","Museum"
"16","Cloisters",40.8649236357481,-73.9317340870604,"Washington Heights North","Museum"
"17","Coney Island Museum",40.5752632425206,-73.9798559841527,"Seagate-Coney Island","Museum"
"18","Cooper-Hewitt, National Design Museum",40.7843257399368,-73.9577816197546,"Upper East Side-Carnegie Hill","Museum"
"19","Dahesh Museum",40.7621069729626,-73.9730419014211,"Midtown-Midtown South","Museum"
"20","Discovery Times Square Exposition",40.7575010855119,-73.9873186395944,"Midtown-Midtown South","Museum"
"21","Drawing Center",40.7224511885278,-74.0029041720417,"SoHo-TriBeCa-Civic Center-Little Italy","Museum"
"22","Dyckman Farmhouse",40.8671309209355,-73.9238391474876,"Marble Hill-Inwood","Museum"
"23","El Museo del Barrio",40.7930989207894,-73.9513676011167,"East Harlem South","Museum"
"24","Ellis Island Museum",40.698207553303,-74.0413216179424,"park-cemetery-etc-Manhattan","Museum"
"25","Fraunces Tavern Museum",40.7033992759879,-74.0113392631792,"Battery Park City-Lower Manhattan","Museum"
"26","Frick Collection",40.7710546535055,-73.9670804053981,"Upper East Side-Carnegie Hill","Museum"
"27","Garibaldi-Meucci Museum",40.6151652240151,-74.0738777429074,"Stapleton-Rosebank","Museum"
"28","Goethe-Institut New York",40.7791656408525,-73.9617420401523,"Upper East Side-Carnegie Hill","Museum"
"29","Gracie Mansion",40.7761134500304,-73.9430684626868,"Yorkville","Museum"
"31","Hispanic Society of America Museum",40.8334521467581,-73.9468228223052,"Washington Heights South","Museum"
"32","Intrepid Sea-Air-Space Museum",40.7647832739417,-74.0008918064129,NA,"Museum"
"33","Isamu Noguchi Garden Museum",40.7669566130525,-73.9376551450383,"Astoria","Museum"
"34","Italian American Museum",40.7191946282105,-73.9974941068757,"SoHo-TriBeCa-Civic Center-Little Italy","Museum"
"35","Jacques Marchais Center Museum of Tibetan Art",40.5763128353056,-74.1381233658255,"Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","Museum"
"37","Jewish Museum",40.7854022564254,-73.9571870593106,"Upper East Side-Carnegie Hill","Museum"
"38","King Manor Museum",40.7030420192598,-73.8037606206352,"Jamaica","Museum"
"39","Lee Young Hee Museum of Korean Culture",40.7471970949724,-73.9861883305829,"Midtown-Midtown South","Museum"
"41","Madame Tussauds Wax Museum",40.756318163058,-73.9887022614006,"Midtown-Midtown South","Museum"
"42","Merchant's House Museum",40.7276574172455,-73.9923460479088,"West Village","Museum"
"43","Metropolitan Museum of Art (MET)",40.7794235419904,-73.9634511114527,"park-cemetery-etc-Manhattan","Museum"
"44","Morgan Library and Museum",40.7492950724967,-73.981321485616,"Murray Hill-Kips Bay","Museum"
"45","Morris-Jumel Mansion",40.8344476792655,-73.9385743879273,"Washington Heights South","Museum"
"46","Mount Vernon Hotel Museum & Garden",40.7605257844742,-73.9597108292812,"Lenox Hill-Roosevelt Island","Museum"
"47","Museum of American Finance",40.706484588628,-74.0091216039426,"Battery Park City-Lower Manhattan","Museum"
"48","Museum of American Illustration",40.7647156224439,-73.9669003099795,"Upper East Side-Carnegie Hill","Museum"
"49","Museum of Arts & Design (MAD)",40.7674060739574,-73.9820072514294,"Midtown-Midtown South","Museum"
"50","Museum Of Chinese In America",40.7194539463387,-73.9991919194223,"SoHo-TriBeCa-Civic Center-Little Italy","Museum"
"51","Museum of Contemporary African Diasporan Arts (MoCADA)",40.6852451438306,-73.9744247766478,"Fort Greene","Museum"
"52","Museum of Jewish Heritage",40.7059866473712,-74.0185857158861,"Battery Park City-Lower Manhattan","Museum"
"53","Museum of Modern Art (MoMA)",40.7611866410245,-73.9770036315209,"Midtown-Midtown South","Museum"
"54","Museum of the City of New York",40.79250903451,-73.9519169746288,"East Harlem South","Museum"
"55","Museum of the Moving Image",40.7569444874124,-73.9245101725219,"Astoria","Museum"
"56","National Academy Museum",40.7836131672041,-73.9584917736921,"Upper East Side-Carnegie Hill","Museum"
"57","National Lighthouse Museum",40.6409490155799,-74.073737130576,"West New Brighton-New Brighton-St. George","Museum"
"58","National Museum of the American Indian",40.704321256986,-74.013727045982,"Battery Park City-Lower Manhattan","Museum"
"59","National September 11 Memorial & Museum at the World Trade Center",40.7096544874779,-74.010915661311,"Battery Park City-Lower Manhattan","Museum"
"60","Neue Galerie New York",40.7812423358378,-73.9602481260631,"Upper East Side-Carnegie Hill","Museum"
"61","New Museum of Contemporary Art",40.7223467018455,-73.9928387925007,"Chinatown","Museum"
"63","New York City Fire Museum",40.72557180584,-74.0069342609417,"SoHo-TriBeCa-Civic Center-Little Italy","Museum"
"64","New York City Police Museum",40.7034782908274,-74.008117544019,"Battery Park City-Lower Manhattan","Museum"
"65","New York Hall of Science",40.7471477878582,-73.8516867956856,"park-cemetery-etc-Queens","Museum"
"66","New York Historical Society",40.7792732413935,-73.9742575384457,"Upper West Side","Museum"
"67","New York Transit Museum",40.6905236981263,-73.9900259713183,"Brooklyn Heights-Cobble Hill","Museum"
"68","Nicholas Roerich Museum",40.8029139996142,-73.9690224972334,"Morningside Heights","Museum"
"69","Noble Maritime Collection",40.6443119444239,-74.101772036306,"West New Brighton-New Brighton-St. George","Museum"
"70","P.S. 1 Contemporary Art Center",40.7458394686349,-73.946212417928,"Hunters Point-Sunnyside-West Maspeth","Museum"
"71","Paley Center For Media (formerly Museum Of Television & Radio)",40.760573638592,-73.9776016138105,"Midtown-Midtown South","Museum"
"72","Queens County Farm Museum",40.7455696042912,-73.7257366086167,"Bellerose","Museum"
"73","Queens Museum of Art",40.7458428647494,-73.8467627581779,"park-cemetery-etc-Queens","Museum"
"74","Rose Center for Earth and Space (Hayden Planetarium)",40.7828598322127,-73.9725749106765,"Upper West Side","Museum"
"75","Rubin Museum of Art",40.7400203801415,-73.9977915253492,"Hudson Yards-Chelsea-Flatiron-Union Square","Museum"
"76","Scandinavia House: The Nordic Center in America",40.7494468956797,-73.9800884353853,"Murray Hill-Kips Bay","Museum"
"77","Schomburg Center for Research in Black Culture",40.8146127262777,-73.9409907605316,"Central Harlem North-Polo Grounds","Museum"
"78","Seguine Mansion",40.5152143436434,-74.1975892984191,"Annadale-Huguenot-Prince's Bay-Eltingville","Museum"
"79","Skyscraper Museum",40.7056575297797,-74.0175680683307,"Battery Park City-Lower Manhattan","Museum"
"81","South Street Seaport Museum",40.706603357569,-74.0037209405758,"Battery Park City-Lower Manhattan","Museum"
"82","Staten Island Children's Museum",40.6427088822481,-74.1018921051813,"West New Brighton-New Brighton-St. George","Museum"
"83","Staten Island Museum / Staten Island Institute of Arts & Sciences",40.6443691786009,-74.0776650626922,"West New Brighton-New Brighton-St. George","Museum"
"85","Studio Museum in Harlem",40.8082454761681,-73.9477261547019,"Central Harlem South","Museum"
"86","Tenement Museum",40.718687698399,-73.9896790482491,"Chinatown","Museum"
"87","The Jazz Museum in Harlem",40.8052763843579,-73.9380587417615,"East Harlem North","Museum"
"88","The Jewish Children's Museum",40.668911577325,-73.9419617700632,"Crown Heights North","Museum"
"91","Ukrainian Museum",40.7276767876997,-73.9897570307878,"East Village","Museum"
"92","Van Cortlandt House Museum",40.8911111672914,-73.8948225702531,"park-cemetery-etc-Bronx","Museum"
"93","Wave Hill",40.8978847147604,-73.9116537657472,"North Riverdale-Fieldston-Riverdale","Museum"
"94","Whitney Museum of American Art",40.7734072929022,-73.963834347362,"Upper East Side-Carnegie Hill","Museum"
"95","Wyckoff Farmhouse Museum",40.6443406813934,-73.9207962990631,"Rugby-Remsen Village","Museum"
"96","Yeshiva University Museum",40.738045683847,-73.9938173704963,"Hudson Yards-Chelsea-Flatiron-Union Square","Museum"
"97","45th Street Theater",40.7598511544756,-73.9906184088258,"Clinton","Theater"
"98","47th Street Theater",40.7604712344708,-73.9881059525377,"Clinton","Theater"
"99","5.90E+60",40.7633994277415,-73.9703845026014,"Upper East Side-Carnegie Hill","Theater"
"100","Acorn Theater",40.7585366821068,-73.9933238462206,"Clinton","Theater"
"101","Al Hirschfeld Theater",40.7592609121935,-73.9892143340222,"Clinton","Theater"
"102","Ambassador Theatre",40.7612586145435,-73.9850014103526,"Midtown-Midtown South","Theater"
"103","American Airlines Theatre",40.756778744642,-73.9880492381235,"Midtown-Midtown South","Theater"
"104","Apollo Theater",40.8100373238983,-73.9500398428886,"Central Harlem South","Theater"
"105","Arclight Theatre",40.7771199110562,-73.9812102882435,"Lincoln Square","Theater"
"106","Astor Place Theatre",40.7293774091894,-73.9923438614057,"West Village","Theater"
"107","Atlantic Theatre",40.7438876928521,-74.0015544108381,"Hudson Yards-Chelsea-Flatiron-Union Square","Theater"
