"","Var1","Freq"
"131","park-cemetery-etc-Brooklyn",26
"132","park-cemetery-etc-Manhattan",12
"133","park-cemetery-etc-Queens",11
"134","park-cemetery-etc-Staten Island",0
"135","Park Slope-Gowanus",2
"136","Parkchester",1
"137","Pelham Bay-Country Club-City Island",7
"138","Pelham Parkway",1
"139","Pomonok-Flushing Heights-Hillcrest",1
"140","Port Richmond",1
"141","Prospect Heights",0
"142","Prospect Lefferts Gardens-Wingate",8
"143","Queens Village",1
"144","Queensboro Hill",7
"145","Queensbridge-Ravenswood-Long Island City",4
"146","Rego Park",7
"147","Richmond Hill",6
"148","Ridgewood",1
"149","Rikers Island",0
"150","Rosedale",1
"151","Rossville-Woodrow",1
"152","Rugby-Remsen Village",1
"153","Schuylerville-Throgs Neck-Edgewater Park",10
"154","Seagate-Coney Island",32
"155","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",18
"156","SoHo-TriBeCa-Civic Center-Little Italy",6
"157","Soundview-Bruckner",0
"158","Soundview-Castle Hill-Clason Point-Harding Park",3
"159","South Jamaica",7
"160","South Ozone Park",2
"161","Springfield Gardens North",5
"162","Springfield Gardens South-Brookville",0
"163","Spuyten Duyvil-Kingsbridge",1
"164","St. Albans",20
"165","Stapleton-Rosebank",5
"166","Starrett City",0
"167","Steinway",1
"168","Stuyvesant Heights",3
"169","Stuyvesant Town-Cooper Village",0
"170","Sunset Park East",0
"171","Sunset Park West",1
"172","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill",1
"173","Turtle Bay-East Midtown",8
"174","University Heights-Morris Heights",2
"175","Upper East Side-Carnegie Hill",7
"176","Upper West Side",8
"177","Van Cortlandt Village",3
"178","Van Nest-Morris Park-Westchester Square",7
"179","Washington Heights North",4
"180","Washington Heights South",12
"181","West Brighton",0
"182","West Concourse",24
"183","West Farms-Bronx River",1
"184","West New Brighton-New Brighton-St. George",18
"185","West Village",18
"186","Westchester-Unionport",1
"187","Westerleigh",8
"188","Whitestone",1
"189","Williamsbridge-Olinville",3
"190","Williamsburg",1
"191","Windsor Terrace",1
"192","Woodhaven",5
"193","Woodlawn-Wakefield",3
"194","Woodside",9
"195","Yorkville",0
