"","Var1","Freq"
"1","Airport",0
"2","Allerton-Pelham Gardens",0
"3","Annadale-Huguenot-Prince's Bay-Eltingville",5
"4","Arden Heights",0
"5","Astoria",3
"6","Auburndale",1
"7","Baisley Park",17
"8","Bath Beach",8
"9","Battery Park City-Lower Manhattan",41
"10","Bay Ridge",5
"11","Bayside-Bayside Hills",1
"12","Bedford",3
"13","Bedford Park-Fordham North",12
"14","Bellerose",7
"15","Belmont",1
"16","Bensonhurst East",2
"17","Bensonhurst West",0
"18","Borough Park",8
"19","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",17
"20","Briarwood-Jamaica Hills",3
"21","Brighton Beach",1
"22","Bronxdale",1
"23","Brooklyn Heights-Cobble Hill",20
"24","Brownsville",11
"25","Bushwick North",5
"26","Bushwick South",4
"27","Cambria Heights",1
"28","Canarsie",2
"29","Carroll Gardens-Columbia Street-Red Hook",19
"30","Central Harlem North-Polo Grounds",73
"31","Central Harlem South",53
"32","Charleston-Richmond Valley-Tottenville",1
"33","Chinatown",11
"34","Claremont-Bathgate",2
"35","Clinton",2
"36","Clinton Hill",2
"37","Co-op City",1
"38","College Point",1
"39","Corona",1
"40","Crotona Park East",0
"41","Crown Heights North",13
"42","Crown Heights South",0
"43","Cypress Hills-City Line",1
"44","Douglas Manor-Douglaston-Little Neck",2
"45","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",75
"46","Dyker Heights",7
"47","East Concourse-Concourse Village",3
"48","East Elmhurst",2
"49","East Flatbush-Farragut",1
"50","East Flushing",4
"51","East Harlem North",42
"52","East Harlem South",6
"53","East New York",7
"54","East New York (Pennsylvania Ave)",0
"55","East Tremont",7
"56","East Village",5
"57","East Williamsburg",1
"58","Eastchester-Edenwald-Baychester",9
"59","Elmhurst",10
"60","Elmhurst-Maspeth",0
"61","Erasmus",0
"62","Far Rockaway-Bayswater",11
"63","Flatbush",2
"64","Flatlands",2
"65","Flushing",6
"66","Fordham South",1
"67","Forest Hills",6
"68","Fort Greene",16
"69","Fresh Meadows-Utopia",5
"70","Ft. Totten-Bay Terrace-Clearview",2
"71","Georgetown-Marine Park-Bergen Beach-Mill Basin",2
"72","Glen Oaks-Floral Park-New Hyde Park",1
"73","Glendale",1
"74","Gramercy",6
"75","Grasmere-Arrochar-Ft. Wadsworth",1
"76","Gravesend",1
"77","Great Kills",2
"78","Greenpoint",1
"79","Grymes Hill-Clifton-Fox Hills",0
"80","Hamilton Heights",12
"81","Hammels-Arverne-Edgemere",9
"82","Highbridge",1
"83","Hollis",1
"84","Homecrest",1
"85","Hudson Yards-Chelsea-Flatiron-Union Square",56
"86","Hunters Point-Sunnyside-West Maspeth",11
"87","Hunts Point",4
"88","Jackson Heights",1
"89","Jamaica",6
"90","Jamaica Estates-Holliswood",1
"91","Kensington-Ocean Parkway",1
"92","Kew Gardens",6
"93","Kew Gardens Hills",1
"94","Kingsbridge Heights",1
"95","Laurelton",1
"96","Lenox Hill-Roosevelt Island",4
"97","Lincoln Square",15
"98","Lindenwood-Howard Beach",1
"99","Longwood",4
"100","Lower East Side",7
"101","Madison",1
"102","Manhattanville",2
"103","Marble Hill-Inwood",2
"104","Mariner's Harbor-Arlington-Port Ivory-Graniteville",0
"105","Maspeth",1
"106","Melrose South-Mott Haven North",2
"107","Middle Village",9
"108","Midtown-Midtown South",31
"109","Midwood",1
"110","Morningside Heights",5
"111","Morrisania-Melrose",3
"112","Mott Haven-Port Morris",15
"113","Mount Hope",3
"114","Murray Hill",6
"115","Murray Hill-Kips Bay",4
"116","New Brighton-Silver Lake",1
"117","New Dorp-Midland Beach",5
"118","New Springville-Bloomfield-Travis",5
"119","North Corona",1
"120","North Riverdale-Fieldston-Riverdale",2
"121","North Side-South Side",8
"122","Norwood",12
"123","Oakland Gardens",1
"124","Oakwood-Oakwood Beach",0
"125","Ocean Hill",1
"126","Ocean Parkway South",0
"127","Old Astoria",1
"128","Old Town-Dongan Hills-South Beach",12
"129","Ozone Park",1
"130","park-cemetery-etc-Bronx",34
