"","NAME","lat","lng","NTAName","spot_type"
"1","O'reilly William & Co Ltd",40.7738008716376,-73.96273074562,"Upper East Side-Carnegie Hill","art_gallery"
"2","Organization of Independent Artists - Gallery 402",40.7164685093174,-74.0093857886298,"SoHo-TriBeCa-Civic Center-Little Italy","art_gallery"
"3","Owen Gallery",40.7740008522409,-73.9643517814586,"Upper East Side-Carnegie Hill","art_gallery"
"4","P P O W Gallerie",40.7495854008441,-74.0038926104424,"Hudson Yards-Chelsea-Flatiron-Union Square","art_gallery"
"5","P P O W Inc",40.7229074277133,-74.0017638961458,"SoHo-TriBeCa-Civic Center-Little Italy","art_gallery"
"6","P S 122 Gallery",40.728167741593,-73.984371480022,"East Village","art_gallery"
"7","Pace Editions",40.7392019496379,-73.9943767070686,"Hudson Yards-Chelsea-Flatiron-Union Square","art_gallery"
"8","Pace MacGill Gallery",40.7619496511389,-73.9720217491146,"Midtown-Midtown South","art_gallery"
"9","Pace Prints & Primitive Gallery",40.7618364685385,-73.9721146185583,"Midtown-Midtown South","art_gallery"
"10","Pace Wildenstein",40.7494482797747,-74.0049511763098,"Hudson Yards-Chelsea-Flatiron-Union Square","art_gallery"
"11","Pace Wildenstein",40.7618860745011,-73.9720769175846,"Midtown-Midtown South","art_gallery"
"12","Paige's Art Gallery",40.8150006996011,-73.9592739271831,"Morningside Heights","art_gallery"
"13","PaineWebber Gallery",40.7611889425788,-73.9805838664279,"Midtown-Midtown South","art_gallery"
"14","Paint Can Studios",40.7551578712931,-73.9279400827548,"Queensbridge-Ravenswood-Long Island City","art_gallery"
"15","Paley Barbara K",40.7663700193727,-73.9814800712577,"Midtown-Midtown South","art_gallery"
"16","Pall William Inc",40.7645087386809,-73.9648123383631,"Upper East Side-Carnegie Hill","art_gallery"
"17","Palmer Meredith Gallery",40.7856334156452,-73.9548224896747,"Upper East Side-Carnegie Hill","art_gallery"
"18","Pandora Old Masters",40.7678923522535,-73.9608164118453,"Lenox Hill-Roosevelt Island","art_gallery"
"19","Pardo Sheenan Galleries Ltd",40.744896101496,-73.9815610159903,"Murray Hill-Kips Bay","art_gallery"
"20","Parker's Box",40.7143091582693,-73.9604447082016,"North Side-South Side","art_gallery"
"21","Parsons Galleries",40.735394953113,-73.9947818620198,"West Village","art_gallery"
"22","Patricia Laligant Photographs",40.7467602072187,-73.9928205471008,"Midtown-Midtown South","art_gallery"
"23","Patrick's Gallery",40.7418687771102,-73.9985101718203,"Hudson Yards-Chelsea-Flatiron-Union Square","art_gallery"
"24","Paul Kasmin Gallery",40.7501927500783,-74.0027228570603,"Hudson Yards-Chelsea-Flatiron-Union Square","art_gallery"
"25","Paula Cooper Gallery",40.7469199013253,-74.0068977266516,"Hudson Yards-Chelsea-Flatiron-Union Square","art_gallery"
"26","Peck Ian Fine Paintings Ltd",40.7747605322347,-73.9636501275563,"Upper East Side-Carnegie Hill","art_gallery"
"27","Peder Bonnier Inc",40.7440599458188,-73.9962391423219,"Hudson Yards-Chelsea-Flatiron-Union Square","art_gallery"
"28","Perimeter Gallery",40.749381253195,-74.0038993940284,"Hudson Yards-Chelsea-Flatiron-Union Square","art_gallery"
"29","Perlow Rich Katharina Gallery Inc",40.7623654098302,-73.9716399648983,"Midtown-Midtown South","art_gallery"
