,NTAName,wifi,crimes
1,Airport,0,7
2,Allerton-Pelham Gardens,0,174
3,Annadale-Huguenot-Prince's Bay-Eltingville,5,70
4,Arden Heights,0,38
5,Astoria,3,504
6,Auburndale,1,97
7,Baisley Park,17,410
8,Bath Beach,8,168
9,Battery Park City-Lower Manhattan,41,470
10,Bay Ridge,5,457
11,Bayside-Bayside Hills,1,234
12,Bedford,3,824
13,Bedford Park-Fordham North,12,633
14,Bellerose,7,141
15,Belmont,1,389
16,Bensonhurst East,2,337
17,Bensonhurst West,0,369
18,Borough Park,8,381
19,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,17,149
20,Briarwood-Jamaica Hills,3,263
21,Brighton Beach,1,207
22,Bronxdale,1,239
23,Brooklyn Heights-Cobble Hill,20,200
24,Brownsville,11,848
25,Bushwick North,5,638
26,Bushwick South,4,937
27,Cambria Heights,1,158
28,Canarsie,2,743
29,Carroll Gardens-Columbia Street-Red Hook,19,410
30,Central Harlem North-Polo Grounds,73,878
31,Central Harlem South,53,629
32,Charleston-Richmond Valley-Tottenville,1,65
33,Chinatown,11,495
34,Claremont-Bathgate,2,452
35,Clinton,2,815
36,Clinton Hill,2,396
37,Co-op City,1,321
38,College Point,1,105
39,Corona,1,273
40,Crotona Park East,0,234
41,Crown Heights North,13,1485
42,Crown Heights South,0,364
43,Cypress Hills-City Line,1,552
44,Douglas Manor-Douglaston-Little Neck,2,110
45,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,75,709
46,Dyker Heights,7,184
47,East Concourse-Concourse Village,3,707
48,East Elmhurst,2,168
49,East Flatbush-Farragut,1,401
50,East Flushing,4,136
51,East Harlem North,42,882
52,East Harlem South,6,567
53,East New York,7,1483
54,East New York (Pennsylvania Ave),0,472
55,East Tremont,7,618
56,East Village,5,585
57,East Williamsburg,1,520
58,Eastchester-Edenwald-Baychester,9,314
59,Elmhurst,10,601
60,Elmhurst-Maspeth,0,131
61,Erasmus,0,388
62,Far Rockaway-Bayswater,11,518
63,Flatbush,2,760
64,Flatlands,2,486
65,Flushing,6,546
66,Fordham South,1,343
67,Forest Hills,6,345
68,Fort Greene,16,413
69,Fresh Meadows-Utopia,5,67
70,Ft. Totten-Bay Terrace-Clearview,2,86
71,Georgetown-Marine Park-Bergen Beach-Mill Basin,2,321
72,Glen Oaks-Floral Park-New Hyde Park,1,105
73,Glendale,1,183
74,Gramercy,6,437
75,Grasmere-Arrochar-Ft. Wadsworth,1,72
76,Gravesend,1,254
77,Great Kills,2,100
78,Greenpoint,1,310
79,Grymes Hill-Clifton-Fox Hills,0,123
80,Hamilton Heights,12,486
81,Hammels-Arverne-Edgemere,9,408
82,Highbridge,1,392
83,Hollis,1,155
84,Homecrest,1,288
85,Hudson Yards-Chelsea-Flatiron-Union Square,56,1752
86,Hunters Point-Sunnyside-West Maspeth,11,528
87,Hunts Point,4,500
88,Jackson Heights,1,845
89,Jamaica,6,729
90,Jamaica Estates-Holliswood,1,207
91,Kensington-Ocean Parkway,1,176
92,Kew Gardens,6,121
93,Kew Gardens Hills,1,166
94,Kingsbridge Heights,1,340
95,Laurelton,1,209
