,NAME,lat,lng,NTAName,spot_type
1,Alexander Hamilton U.S. Custom House,40.70381622,-74.0137558,Battery Park City-Lower Manhattan,museum
2,Alice Austen House Museum,40.61512084,-74.06303179,Stapleton-Rosebank,museum
3,American Folk Art Museum,40.76162497,-73.97810302,Midtown-Midtown South,museum
4,American Museum of Natural History,40.78082623,-73.97364816,Upper West Side,museum
5,Anne Frank Center USA,40.72112745,-73.99963037,SoHo-TriBeCa-Civic Center-Little Italy,museum
6,Bartow-Pell Mansion,40.87177832,-73.8055795,park-cemetery-etc-Bronx,museum
7,Bronx Museum of the Arts (BXMA),40.83102978,-73.91975018,East Concourse-Concourse Village,museum
8,Brooklyn Children's Museum,40.674507,-73.94401601,Crown Heights North,museum
9,Brooklyn Historical Society,40.69480297,-73.9924054,Brooklyn Heights-Cobble Hill,museum
10,Brooklyn Museum,40.67108321,-73.96358507,park-cemetery-etc-Brooklyn,museum
11,Center For Jewish History,40.73798676,-73.99386877,Hudson Yards-Chelsea-Flatiron-Union Square,museum
12,Children's Museum of Manhattan,40.78587092,-73.97727392,Upper West Side,museum
13,Children's Museum of the Arts,40.72074947,-73.99883836,SoHo-TriBeCa-Civic Center-Little Italy,museum
14,Cloisters,40.86492364,-73.93173409,Washington Heights North,museum
15,Coney Island Museum,40.57526324,-73.97985598,Seagate-Coney Island,museum
16,"Cooper-Hewitt, National Design Museum",40.78432574,-73.95778162,Upper East Side-Carnegie Hill,museum
17,Dahesh Museum,40.76210697,-73.9730419,Midtown-Midtown South,museum
18,Discovery Times Square Exposition,40.75750109,-73.98731864,Midtown-Midtown South,museum
19,Drawing Center,40.72245119,-74.00290417,SoHo-TriBeCa-Civic Center-Little Italy,museum
20,Dyckman Farmhouse,40.86713092,-73.92383915,Marble Hill-Inwood,museum
21,El Museo del Barrio,40.79309892,-73.9513676,East Harlem South,museum
22,Ellis Island Museum,40.69820755,-74.04132162,park-cemetery-etc-Manhattan,museum
23,Fraunces Tavern Museum,40.70339928,-74.01133926,Battery Park City-Lower Manhattan,museum
24,Frick Collection,40.77105465,-73.96708041,Upper East Side-Carnegie Hill,museum
25,Garibaldi-Meucci Museum,40.61516522,-74.07387774,Stapleton-Rosebank,museum
26,Goethe-Institut New York,40.77916564,-73.96174204,Upper East Side-Carnegie Hill,museum
27,Gracie Mansion,40.77611345,-73.94306846,Yorkville,museum
28,"Guggenheim Museum, Solomon R.",40.78300948,-73.95891102,Upper East Side-Carnegie Hill,museum
29,Hispanic Society of America Museum,40.83345215,-73.94682282,Washington Heights South,museum
30,Intrepid Sea-Air-Space Museum,40.76478327,-74.00089181,NA,museum
31,Isamu Noguchi Garden Museum,40.76695661,-73.93765515,Astoria,museum
32,Italian American Museum,40.71919463,-73.99749411,SoHo-TriBeCa-Civic Center-Little Italy,museum
33,Jacques Marchais Center Museum of Tibetan Art,40.57631284,-74.13812337,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,museum
34,Jewish Museum,40.78540226,-73.95718706,Upper East Side-Carnegie Hill,museum
35,King Manor Museum,40.70304202,-73.80376062,Jamaica,museum
36,Lee Young Hee Museum of Korean Culture,40.74719709,-73.98618833,Midtown-Midtown South,museum
37,Lower East Side Tenement Museum,40.7186877,-73.98967905,Chinatown,museum
38,Madame Tussauds Wax Museum,40.75631816,-73.98870226,Midtown-Midtown South,museum
