,NTAName,wifi,crimes,Restaurants
1,Airport,0,7,202
2,Allerton-Pelham Gardens,0,174,38
3,Annadale-Huguenot-Prince's Bay-Eltingville,5,70,31
4,Arden Heights,0,38,7
5,Astoria,3,504,377
6,Auburndale,1,97,35
7,Baisley Park,17,410,43
8,Bath Beach,8,168,48
9,Battery Park City-Lower Manhattan,41,470,476
10,Bay Ridge,5,457,289
11,Bayside-Bayside Hills,1,234,142
12,Bedford,3,824,125
13,Bedford Park-Fordham North,12,633,82
14,Bellerose,7,141,40
15,Belmont,1,389,112
16,Bensonhurst East,2,337,125
17,Bensonhurst West,0,369,187
18,Borough Park,8,381,99
19,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,17,149,55
20,Briarwood-Jamaica Hills,3,263,42
21,Brighton Beach,1,207,65
22,Bronxdale,1,239,53
23,Brooklyn Heights-Cobble Hill,20,200,104
24,Brownsville,11,848,73
25,Bushwick North,5,638,208
26,Bushwick South,4,937,132
27,Cambria Heights,1,158,24
28,Canarsie,2,743,87
29,Carroll Gardens-Columbia Street-Red Hook,19,410,176
30,Central Harlem North-Polo Grounds,73,878,129
31,Central Harlem South,53,629,128
32,Charleston-Richmond Valley-Tottenville,1,65,85
33,Chinatown,11,495,499
34,Claremont-Bathgate,2,452,46
35,Clinton,2,815,547
36,Clinton Hill,2,396,142
37,Co-op City,1,321,65
38,College Point,1,105,38
39,Corona,1,273,62
40,Crotona Park East,0,234,21
41,Crown Heights North,13,1485,224
42,Crown Heights South,0,364,57
43,Cypress Hills-City Line,1,552,70
44,Douglas Manor-Douglaston-Little Neck,2,110,63
45,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,75,709,235
46,Dyker Heights,7,184,73
47,East Concourse-Concourse Village,3,707,69
48,East Elmhurst,2,168,37
49,East Flatbush-Farragut,1,401,76
50,East Flushing,4,136,38
51,East Harlem North,42,882,148
52,East Harlem South,6,567,138
53,East New York,7,1483,122
54,East New York (Pennsylvania Ave),0,472,25
55,East Tremont,7,618,46
56,East Village,5,585,611
57,East Williamsburg,1,520,159
58,Eastchester-Edenwald-Baychester,9,314,54
59,Elmhurst,10,601,207
60,Elmhurst-Maspeth,0,131,45
61,Erasmus,0,388,78
62,Far Rockaway-Bayswater,11,518,46
63,Flatbush,2,760,177
64,Flatlands,2,486,80
65,Flushing,6,546,434
66,Fordham South,1,343,60
67,Forest Hills,6,345,220
68,Fort Greene,16,413,127
69,Fresh Meadows-Utopia,5,67,47
70,Ft. Totten-Bay Terrace-Clearview,2,86,46
71,Georgetown-Marine Park-Bergen Beach-Mill Basin,2,321,83
72,Glen Oaks-Floral Park-New Hyde Park,1,105,50
73,Glendale,1,183,91
74,Gramercy,6,437,252
75,Grasmere-Arrochar-Ft. Wadsworth,1,72,23
76,Gravesend,1,254,37
77,Great Kills,2,100,90
78,Greenpoint,1,310,186
79,Grymes Hill-Clifton-Fox Hills,0,123,8
80,Hamilton Heights,12,486,94
81,Hammels-Arverne-Edgemere,9,408,33
82,Highbridge,1,392,38
83,Hollis,1,155,23
84,Homecrest,1,288,103
85,Hudson Yards-Chelsea-Flatiron-Union Square,56,1752,741
86,Hunters Point-Sunnyside-West Maspeth,11,528,347
87,Hunts Point,4,500,65
88,Jackson Heights,1,845,340
89,Jamaica,6,729,212
90,Jamaica Estates-Holliswood,1,207,76
91,Kensington-Ocean Parkway,1,176,53
92,Kew Gardens,6,121,41
93,Kew Gardens Hills,1,166,53
94,Kingsbridge Heights,1,340,29
95,Laurelton,1,209,31
96,Lenox Hill-Roosevelt Island,4,327,279
97,Lincoln Square,15,424,184
98,Lindenwood-Howard Beach,1,185,45
99,Longwood,4,351,43
100,Lower East Side,7,518,148
101,Madison,1,211,64
102,Manhattanville,2,277,33
103,Marble Hill-Inwood,2,403,113
104,Mariner's Harbor-Arlington-Port Ivory-Graniteville,0,289,41
105,Maspeth,1,164,72
106,Melrose South-Mott Haven North,2,666,85
107,Middle Village,9,152,55
108,Midtown-Midtown South,31,2651,1653
109,Midwood,1,290,69
