,NTAName,wifi,crimes,Restaurants
110,Morningside Heights,5,426,161
111,Morrisania-Melrose,3,474,54
112,Mott Haven-Port Morris,15,725,106
113,Mount Hope,3,612,71
114,Murray Hill,6,191,158
115,Murray Hill-Kips Bay,4,470,355
116,New Brighton-Silver Lake,1,110,48
117,New Dorp-Midland Beach,5,106,74
118,New Springville-Bloomfield-Travis,5,224,89
119,North Corona,1,442,152
120,North Riverdale-Fieldston-Riverdale,2,155,42
121,North Side-South Side,8,734,403
122,Norwood,12,492,69
123,Oakland Gardens,1,112,41
124,Oakwood-Oakwood Beach,0,62,14
125,Ocean Hill,1,517,27
126,Ocean Parkway South,0,95,20
127,Old Astoria,1,202,63
128,Old Town-Dongan Hills-South Beach,12,92,52
129,Ozone Park,1,204,46
130,park-cemetery-etc-Bronx,34,214,23
131,park-cemetery-etc-Brooklyn,26,141,18
132,park-cemetery-etc-Manhattan,12,215,17
133,park-cemetery-etc-Queens,11,113,66
134,park-cemetery-etc-Staten Island,0,0,0
135,Park Slope-Gowanus,2,575,428
136,Parkchester,1,159,43
137,Pelham Bay-Country Club-City Island,7,135,68
138,Pelham Parkway,1,247,54
139,Pomonok-Flushing Heights-Hillcrest,1,169,51
140,Port Richmond,1,183,50
141,Prospect Heights,0,180,108
142,Prospect Lefferts Gardens-Wingate,8,789,131
143,Queens Village,1,389,81
144,Queensboro Hill,7,106,29
145,Queensbridge-Ravenswood-Long Island City,4,225,74
146,Rego Park,7,113,57
147,Richmond Hill,6,575,126
148,Ridgewood,1,527,157
149,Rikers Island,0,246,0
150,Rosedale,1,193,35
151,Rossville-Woodrow,1,58,22
152,Rugby-Remsen Village,1,548,82
153,Schuylerville-Throgs Neck-Edgewater Park,10,337,86
154,Seagate-Coney Island,32,423,59
155,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,18,452,138
156,SoHo-TriBeCa-Civic Center-Little Italy,6,903,678
157,Soundview-Bruckner,0,423,58
158,Soundview-Castle Hill-Clason Point-Harding Park,3,610,29
159,South Jamaica,7,362,18
160,South Ozone Park,2,710,164
161,Springfield Gardens North,5,258,26
162,Springfield Gardens South-Brookville,0,218,31
163,Spuyten Duyvil-Kingsbridge,1,288,104
164,St. Albans,20,373,51
165,Stapleton-Rosebank,5,248,75
166,Starrett City,0,83,13
167,Steinway,1,271,146
168,Stuyvesant Heights,3,931,110
169,Stuyvesant Town-Cooper Village,0,68,9
170,Sunset Park East,0,411,236
171,Sunset Park West,1,447,181
172,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1,100,77
173,Turtle Bay-East Midtown,8,516,593
174,University Heights-Morris Heights,2,433,55
175,Upper East Side-Carnegie Hill,7,671,290
176,Upper West Side,8,905,360
177,Van Cortlandt Village,3,360,49
178,Van Nest-Morris Park-Westchester Square,7,289,90
179,Washington Heights North,4,537,132
180,Washington Heights South,12,649,167
181,West Brighton,0,277,21
182,West Concourse,24,637,125
183,West Farms-Bronx River,1,423,49
184,West New Brighton-New Brighton-St. George,18,345,78
185,West Village,18,1205,869
186,Westchester-Unionport,1,266,58
187,Westerleigh,8,95,66
188,Whitestone,1,155,59
189,Williamsbridge-Olinville,3,700,87
190,Williamsburg,1,114,15
191,Windsor Terrace,1,112,55
192,Woodhaven,5,410,97
193,Woodlawn-Wakefield,3,379,73
194,Woodside,9,253,125
195,Yorkville,0,344,238
