MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Address,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
1-02238-0011,"25 COOPER STREET
New York, NY
(40.867560759368416, -73.92434022318298)",INWOOD,D4-ELEVATOR,43,1937,44644,644659,14.44,319205,7.15,325454,2252000,50.44,1-02239-0021,"686 204 STREET
New York, NY
(40.867820783175965, -73.92367507747998)",INWOOD,D1-ELEVATOR,48,1925,45962,733784,15.97,353355,7.69,380429,2596000,56.48,0.05,1-02248-0012,"119 PAYSON AVENUE
New York, NY
(40.868603972922415, -73.92586907063276)",INWOOD,D1-ELEVATOR,43,1930,43911,566455,12.9,289649,6.6,276806,1847000,42.06,0.09,, , , , , , , , , , , , , , 
1-02238-0017,"33 COOPER STREET
New York, NY
(40.867713644113394, -73.92389955538857)",INWOOD,D4-ELEVATOR,42,1925,52332,740498,14.15,345915,6.61,394583,2737000,52.3,1-02239-0021,"686 204 STREET
New York, NY
(40.867820783175965, -73.92367507747998)",INWOOD,D1-ELEVATOR,48,1925,45962,733784,15.97,353355,7.69,380429,2596000,56.48,0.05,1-02248-0032,"80 SEAMAN AVENUE
New York, NY
(40.86806437970483, -73.92518558589052)",INWOOD,D1-ELEVATOR,55,1930,52143,642970,12.33,288092,5.53,354878,1958000,37.55,0.09,, , , , , , , , , , , , , , 
1-02239-0029,"24 COOPER STREET
New York, NY
(40.86749780682635, -73.92450210114822)",INWOOD,C6-WALK-UP,27,1925,17410,182979,10.51,96277,5.53,86702,539000,30.96,1-02157-0015,"552 185 STREET
New York, NY
(40.85124667051796, -73.931008297514)",WASHINGTON HEIGHTS UPPER,C1-WALK-UP,20,1920,14230,137165,9.64,87431,6.14,49734,295000,20.73,1.21,1-02117-0023,"524 159 STREET
New York, NY
(40.83438814756022, -73.94185276267736)",WASHINGTON HEIGHTS LOWER,C1-WALK-UP,25,1907,17905,203580,11.37,118173,6.6,85407,542000,30.27,2.51,, , , , , , , , , , , , , , 
1-02240-0001,"109 SEAMAN AVENUE
New York, NY
(40.86863994580358, -73.9236117723392)",INWOOD,C6-WALK-UP,41,1918,43195,562831,13.03,266945,6.18,295886,1925000,44.57,1-02241-0042,"677 204 STREET
New York, NY
(40.86753903503679, -73.92340726478527)",INWOOD,C1-WALK-UP,31,1915,33000,332305,10.07,162989,4.94,169316,782000,23.7,0.05,1-02239-0001,"65 SEAMAN AVENUE
New York, NY
(40.86792048818012, -73.9255902808037)",INWOOD,C1-WALK-UP,46,1924,37460,598451,15.98,277543,7.41,320908,2189000,58.44,0.11,, , , , , , , , , , , , , , 
1-02240-0029,"60 COOPER STREET
New York, NY
(40.86811833902658, -73.92280238251283)",INWOOD,D4-ELEVATOR,61,1925,63527,859520,13.53,346857,5.46,512663,3047000,47.96,1-02239-0031,"10 COOPER STREET
New York, NY
(40.86734160451735, -73.92503334161002)",INWOOD,D1-ELEVATOR,72,1928,61302,805379,13.14,257682,4.2,547697,3375000,55.06,0.11,1-02248-0024,"139 PAYSON AVENUE
New York, NY
(40.868783837328294, -73.92496075538315)",INWOOD,D1-ELEVATOR,61,1927,61584,856577,13.91,379133,6.16,477444,3145000,51.07,0.13,, , , , , , , , , , , , , , 
1-02240-0037,"46 COOPER STREET
New York, NY
(40.86792948140044, -73.92330600284924)",INWOOD,D4-ELEVATOR,55,1925,62263,841796,13.52,395370,6.35,446426,2955000,47.46,1-02240-0006,"121 SEAMAN AVENUE
New York, NY
(40.86875685766739, -73.9232790231884)",INWOOD,D1-ELEVATOR,41,1932,36793,559622,15.21,285146,7.75,274476,1886000,51.26,0,1-02241-0014,"77 COOPER STREET
New York, NY
(40.86840612207595, -73.9220109791271)",INWOOD,D7-ELEVATOR,52,1936,50583,683884,13.52,321133,6.35,362751,2401000,47.47,0.05,1-02248-0024,139 PAYSON AVENUE,INWOOD,D1-ELEVATOR,61,1927,"61,584","856,577",13.91,"379,133",6.16,"477,444","3,145,000",51.07,0.13
1-02241-0018,"624 207 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",INWOOD,C6-WALK-UP,20,1916,18520,272614,14.72,154272,8.33,118342,817000,44.11,1-02234-0045,"645 ACADEMY STREET
New York, NY
(40.86578010175043, -73.9246549858932)",INWOOD,C1-WALK-UP,21,1917,17905,261378,14.6,160892,8.99,100486,694000,38.76,0.13,1-02242-0065,"623 207 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",INWOOD,C7-WALK-UP,27,1925,23035,341839,14.84,181285,7.87,160554,1100000,47.75,0.09,, , , , , , , , , , , , , , 
1-02243-0210,"55 PARK TERRACE
New York, NY
(40.71377947510291, -74.0103252273763)",INWOOD,D4-ELEVATOR,78,1939,87400,1075894,12.31,505172,5.78,570722,3617000,41.38,1-02243-0030,"5009 BROADWAY
New York, NY
(40.86918853224148, -73.91700175542388)",INWOOD,D7-ELEVATOR,79,1929,83766,1043298,12.45,398403,4.76,644895,3014000,35.98,0.13,1-02243-0045,"10 PARK TERRACE
New York, NY
(40.547492877915246, -74.15136868559615)",INWOOD,D1-ELEVATOR,72,1925,80808,982513,12.16,548522,6.79,433991,2758000,34.13,0.13,, , , , , , , , , , , , , , 
1-02243-0220,"65 PARK TERRACE
New York, NY
(40.713905874944324, -74.01061223713295)",INWOOD,D4-ELEVATOR,78,1939,87400,1075894,12.31,505172,5.78,570722,3617000,41.38,1-02243-0030,"5009 BROADWAY
New York, NY
(40.86918853224148, -73.91700175542388)",INWOOD,D7-ELEVATOR,79,1929,83766,1043298,12.45,398403,4.76,644895,3014000,35.98,0.13,1-02243-0045,"10 PARK TERRACE
New York, NY
(40.547492877915246, -74.15136868559615)",INWOOD,D1-ELEVATOR,72,1925,80808,982513,12.16,548522,6.79,433991,2758000,34.13,0.13,, , , , , , , , , , , , , , 
1-02243-0230,"75 PARK TERRACE
New York, NY
(40.71393527886628, -74.01067717079394)",INWOOD,D4-ELEVATOR,78,1939,87400,1075894,12.31,505172,5.78,570722,3617000,41.38,1-02243-0030,"5009 BROADWAY
New York, NY
(40.86918853224148, -73.91700175542388)",INWOOD,D7-ELEVATOR,79,1929,83766,1043298,12.45,398403,4.76,644895,3014000,35.98,0.13,1-02243-0045,"10 PARK TERRACE
New York, NY
(40.547492877915246, -74.15136868559615)",INWOOD,D1-ELEVATOR,72,1925,80808,982513,12.16,548522,6.79,433991,2758000,34.13,0.13,, , , , , , , , , , , , , , 
