MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Address,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
1-00011-0014,"26 BEAVER STREET
New York, NY
(40.70497232969126, -74.01193418883679)",FINANCIAL,D4-ELEVATOR,21,1909,51387,1734825,33.76,527744,10.27,1207081,8960000,174.36,1-00026-0014,"37 WALL STREET
New York, NY
(40.70665406188607, -74.0099376939317)",FINANCIAL,D5-ELEVATOR,374,1904,377214,13406186,35.54,4692542,12.44,8713644,64398000,170.72,0.14,1-00071-0001,"156 FRONT STREET
New York, NY
(40.70586265850028, -74.00540511090406)",FINANCIAL,D7-ELEVATOR,66,1930,52969,1788390,33.76,543771,10.27,1244619,9239000,174.42,0.35,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,68,1900,"58,354","2,099,485",35.98,"645,225",11.06,"1,454,260","10,730,000",183.88,0.37
1-00028-0001,"3 HANOVER SQUARE
New York, NY
(40.704855592723256, -74.00984702324092)",FINANCIAL,D0-ELEVATOR,211,1926,239121,7879037,32.95,2647069,11.07,5231968,38899000,162.67,1-00150-0022,"108 DUANE STREET
New York, NY
(40.71563828895876, -74.00629543971309)",CIVIC CENTER,C7-WALK-UP,9,1915,20000,631094,31.55,189039,9.45,442055,7889000,394.45,0.74,1-00144-0026,"142 BROADWAY
New York, NY
(40.87333788079353, -73.91157107750263)",TRIBECA,D5-ELEVATOR,9,1915,20250,549828,27.15,194770,9.62,355058,6186000,305.48,0.84,1-00174-0028,71 FRANKLIN STREET,CIVIC CENTER,D9-ELEVATOR,10,1921,"18,095","606,002",33.49, , ,"606,002","7,575,000",418.62,0.91
1-00064-0008,"53 LIBERTY STREET
New York, NY
(40.70865955001142, -74.00946105325619)",FINANCIAL,D4-ELEVATOR,92,1911,167448,5326521,31.81,1558941,9.31,3767580,28097000,167.8,1-00077-0024,"82 FULTON STREET
New York, NY
(40.70920813644926, -74.00573786005492)",FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.15,1-00065-0010,"9 MAIDEN LANE
New York, NY
(40.70954088560012, -74.00939810071412)",FINANCIAL,D5-ELEVATOR,68,1900,58354,2099485,35.98,645225,11.06,1454260,10730000,183.88,0.05,1-00065-0020,12 JOHN STREET,FINANCIAL,D6-ELEVATOR,20,1900,"31,118","890,618",28.62,"250,756",8.06,"639,862","4,807,000",154.48,0.05
1-00065-0017,"176 BROADWAY
New York, NY
(40.71000853305537, -74.00978480918673)",FINANCIAL,D4-ELEVATOR,83,1927,168176,5541399,32.95,1861708,11.07,3679691,27358000,162.67,1-00097-0033,"234 FRONT STREET
New York, NY
(40.7076073432371, -74.00197869397243)",SOUTHBRIDGE,C1-WALK-UP,8,1900,9826,288295,29.34,,,288295,3604000,366.78,0.38,1-00150-0022,"108 DUANE STREET
New York, NY
(40.71563828895876, -74.00629543971309)",CIVIC CENTER,C7-WALK-UP,9,1915,20000,631094,31.55,189039,9.45,442055,7889000,394.45,0.42,1-00174-0028,71 FRANKLIN STREET,CIVIC CENTER,D9-ELEVATOR,10,1921,"18,095","606,002",33.49, , ,"606,002","7,575,000",418.62,0.6
1-00094-0001,"80 GOLD STREET
New York, NY
(40.71023336356268, -74.00426297192683)",SOUTHBRIDGE,D4-ELEVATOR,1664,1971,2075590,36447360,17.56,18680310,9,17767050,128180000,61.76,1-00341-0058,"410 GRAND STREET
New York, NY
(40.715872112686384, -73.9863214974423)",LOWER EAST SIDE,D6-ELEVATOR,404,1972,225000,2723730,12.11,1579119,7.02,1144611,7280000,32.36,1.05,1-00336-0001,"16 BIALYSTOKER PLACE
New York, NY
(40.71582575645665, -73.98282222046268)",LOWER EAST SIDE,D3-ELEVATOR,128,1982,98052,1957118,19.96,919728,9.38,1037390,7420000,75.67,1.14,1-00460-0001,1 COOPER SQUARE,EAST VILLAGE,D9-ELEVATOR,153,1985,"122,689","2,458,276",20.04,"1,106,655",9.02,"1,351,621","7,725,000",62.96,1.38
1-00100-0026,"138 NASSAU STREET
New York, NY
(40.71134852287901, -74.00630443293335)",SOUTHBRIDGE,D4-ELEVATOR,43,1901,79422,2289736,28.83,935591,11.78,1354145,10168000,128.02,1-00077-0024,"82 FULTON STREET
New York, NY
(40.70920813644926, -74.00573786005492)",FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.14,1-00065-0020,"12 JOHN STREET
New York, NY
(40.709927594072724, -74.00898441258067)",FINANCIAL,D6-ELEVATOR,20,1900,31118,890618,28.62,250756,8.06,639862,4807000,154.48,0.22,1-00026-0014,37 WALL STREET,FINANCIAL,D5-ELEVATOR,374,1904,"377,214","13,406,186",35.54,"4,692,542",12.44,"8,713,644","64,398,000",170.72,0.4
1-00101-0001,"36 PARK ROW
New York, NY
(40.71178919067336, -74.00656523632188)",SOUTHBRIDGE,D4-ELEVATOR,51,1900,111685,3219879,28.83,1315649,11.78,1904230,14298000,128.02,1-00077-0024,"82 FULTON STREET
New York, NY
(40.70920813644926, -74.00573786005492)",FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.19,1-00065-0020,"12 JOHN STREET
New York, NY
(40.709927594072724, -74.00898441258067)",FINANCIAL,D6-ELEVATOR,20,1900,31118,890618,28.62,250756,8.06,639862,4807000,154.48,0.2,1-00026-0014,37 WALL STREET,FINANCIAL,D5-ELEVATOR,374,1904,"377,214","13,406,186",35.54,"4,692,542",12.44,"8,713,644","64,398,000",170.72,0.42
1-00106-0007,"266 WATER STREET
New York, NY
(40.70838975340263, -74.00167292448248)",SOUTHBRIDGE,D0-ELEVATOR,24,1900,41203,1391013,33.76,423155,10.27,967858,7184000,174.36,1-00077-0024,"82 FULTON STREET
New York, NY
(40.70920813644926, -74.00573786005492)",FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.24,1-00071-0001,"156 FRONT STREET
New York, NY
(40.70586265850028, -74.00540511090406)",FINANCIAL,D7-ELEVATOR,66,1930,52969,1788390,33.76,543771,10.27,1244619,9239000,174.42,0.28,1-00065-0020,12 JOHN STREET,FINANCIAL,D6-ELEVATOR,20,1900,"31,118","890,618",28.62,"250,756",8.06,"639,862","4,807,000",154.48,0.39
1-00117-0001,"185 PARK ROW
New York, NY
(40.71288621977595, -74.0011948091113)",CIVIC CENTER,D4-ELEVATOR,880,1960,515425,13751539,26.68,4767681,9.25,8983858,64955000,126.02,1-00163-0021,"67 BAYARD STREET
New York, NY
(40.715521377094944, -73.99819254822904)",CHINATOWN,C7-WALK-UP,28,1945,14200,374596,26.38,157336,11.08,217260,1572000,110.7,0.2,1-00304-0035,"75 CHRYSTIE STREET
New York, NY
(40.717113177086844, -73.99437042960454)",CHINATOWN,C7-WALK-UP,45,1910,26964,745551,27.65,277544,10.29,468007,3373000,125.09,0.44,1-00470-0029,212 GRAND STREET,LITTLE ITALY,D9-ELEVATOR,16,1920,"14,221","379,406",26.68,"131,484",9.25,"247,922","1,793,000",126.08,0.52
1-00134-0025,"258 BROADWAY
New York, NY
(40.71347092286817, -74.00688899225241)",CIVIC CENTER,D4-ELEVATOR,46,1915,88320,2527718,28.62,711859,8.06,1815859,13641000,154.45,1-00065-0020,"12 JOHN STREET
New York, NY
(40.709927594072724, -74.00898441258067)",FINANCIAL,D6-ELEVATOR,20,1900,31118,890618,28.62,250756,8.06,639862,4807000,154.48,0.29,1-00180-0029,"7 HARRISON STREET
New York, NY
(40.71872296351927, -74.00939810071412)",TRIBECA,D9-ELEVATOR,49,1900,33400,634619,19,298271,8.93,336348,2414000,72.28,0.34,1-00173-0027,343 BROADWAY,CIVIC CENTER,D6-ELEVATOR,359,2005,"396,000","14,128,690",35.68,"3,635,867",9.18,"10,492,823","77,529,000",195.78,0.27
1-00137-0005,"76 WARREN STREET
New York, NY
(40.71522460082531, -74.01027943630288)",TRIBECA,D4-ELEVATOR,34,1915,70000,2191700,31.31,686700,9.81,1505000,11235000,160.5,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.72197120761439, -74.00786682918154)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.49,1-00179-0032,"176 BROADWAY
New York, NY
(40.71000853305537, -74.00978480918673)",TRIBECA,D6-ELEVATOR,17,2008,52930,1622305,30.65,501776,9.48,1120529,8377000,158.27,0.23,, , , , , , , , , , , , , , 
1-00137-0035,"90 BROADWAY
New York, NY
(40.87333788079353, -73.91157107750263)",TRIBECA,D4-ELEVATOR,21,1920,48079,1529393,31.81,447615,9.31,1081778,8068000,167.81,1-00065-0010,"9 MAIDEN LANE
New York, NY
(40.70954088560012, -74.00939810071412)",FINANCIAL,D5-ELEVATOR,68,1900,58354,2099485,35.98,645225,11.06,1454260,10730000,183.88,0.41,1-00077-0024,"82 FULTON STREET
New York, NY
(40.70920813644926, -74.00573786005492)",FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.5,1-00477-0001,80 VARICK STREET,SOHO,D5-ELEVATOR,64,1920,"125,235","2,411,005",19.25,"1,143,952",9.13,"1,267,053","9,087,000",72.56,0.59
1-00140-0001,"139 CHAMBERS STREET
New York, NY
(40.71567426183992, -74.00956897189974)",TRIBECA,D4-ELEVATOR,11,1915,26531,784256,29.56,262126,9.88,522130,3915000,147.56,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.72197120761439, -74.00786682918154)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.44,1-00144-0026,"142 BROADWAY
New York, NY
(40.87333788079353, -73.91157107750263)",TRIBECA,D5-ELEVATOR,9,1915,20250,549828,27.15,194770,9.62,355058,6186000,305.48,0.1,, , , , , , , , , , , , , , 
1-00143-0001,"47 HUDSON STREET
New York, NY
(40.71743693301738, -74.00902937868216)",TRIBECA,D4-ELEVATOR,45,1930,77630,2352189,30.3,707209,9.11,1644980,12315000,158.64,1-00140-0005,"147 CHAMBERS STREET
New York, NY
(40.71575520082257, -74.00975782952588)",TRIBECA,D9-ELEVATOR,123,1997,130568,5593246,42.84,1503252,11.51,4089994,30849000,236.27,0.11,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.72197120761439, -74.00786682918154)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.34,, , , , , , , , , , , , , , 
1-00143-0004,"55 HUDSON STREET
New York, NY
(40.71768874318559, -74.00898441258067)",TRIBECA,D4-ELEVATOR,63,1900,103750,3135325,30.22,901588,8.69,2233737,16725000,161.2,1-00065-0020,"12 JOHN STREET
New York, NY
(40.709927594072724, -74.00898441258067)",FINANCIAL,D6-ELEVATOR,20,1900,31118,890618,28.62,250756,8.06,639862,4807000,154.48,0.55,1-00077-0024,"82 FULTON STREET
New York, NY
(40.70920813644926, -74.00573786005492)",FINANCIAL,D7-ELEVATOR,205,1900,159000,5447340,34.26,1906410,11.99,3540930,26237000,165.01,0.63,, , , , , , , , , , , , , , 
1-00143-0009,"173 DUANE STREET
New York, NY
(40.71735599403473, -74.00981178884763)",TRIBECA,D4-ELEVATOR,11,1925,24500,767095,31.31,240345,9.81,526750,3836000,156.57,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.72197120761439, -74.00786682918154)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.34,1-00179-0032,"176 BROADWAY
New York, NY
(40.71000853305537, -74.00978480918673)",TRIBECA,D6-ELEVATOR,17,2008,52930,1622305,30.65,501776,9.48,1120529,8377000,158.27,0.12,, , , , , , , , , , , , , , 
1-00143-0021,"335 GREENWICH STREET
New York, NY
(40.7179135736929, -74.01054023969135)",TRIBECA,D4-ELEVATOR,29,1931,55800,1783926,31.97,566370,10.15,1217556,9077000,162.67,1-00180-0029,"7 HARRISON STREET
New York, NY
(40.71872296351927, -74.00939810071412)",TRIBECA,D9-ELEVATOR,49,1900,33400,634619,19,298271,8.93,336348,2414000,72.28,0.05,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.72197120761439, -74.00786682918154)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.34,1-00151-0001,101 DUANE STREET,CIVIC CENTER,D6-ELEVATOR,443,1988,"434,418","17,024,841",39.19,"5,786,448",13.32,"11,238,393","84,991,000",195.64,0.25
1-00144-0001,"16 HUDSON STREET
New York, NY
(40.716492644886614, -74.00917327020682)",TRIBECA,D4-ELEVATOR,33,1915,78306,2426703,30.99,694574,8.87,1732129,12939000,165.24,1-00218-0006,"415 WASHINGTON STREET
New York, NY
(40.756053999992105, -73.9869510002884)",TRIBECA,D1-ELEVATOR,21,2010,45001,1877892,41.73,315316,7.01,1562576,11794000,262.08,0.43,1-00179-0032,"176 BROADWAY
New York, NY
(40.71000853305537, -74.00978480918673)",TRIBECA,D6-ELEVATOR,17,2008,52930,1622305,30.65,501776,9.48,1120529,8377000,158.27,0.14,, , , , , , , , , , , , , , 
1-00144-0023,"84 THOMAS STREET
New York, NY
(40.71732002115357, -74.00839086004135)",TRIBECA,D4-ELEVATOR,16,1910,37960,1176380,30.99,336705,8.87,839675,6272000,165.23,1-00218-0006,"415 WASHINGTON STREET
New York, NY
(40.756053999992105, -73.9869510002884)",TRIBECA,D1-ELEVATOR,21,2010,45001,1877892,41.73,315316,7.01,1562576,11794000,262.08,0.39,1-00179-0032,"176 BROADWAY
New York, NY
(40.71000853305537, -74.00978480918673)",TRIBECA,D6-ELEVATOR,17,2008,52930,1622305,30.65,501776,9.48,1120529,8377000,158.27,0.09,, , , , , , , , , , , , , , 
1-00146-0021,"134 DUANE STREET
New York, NY
(40.71619586861692, -74.00752751089323)",CIVIC CENTER,D0-ELEVATOR,20,1920,38700,1123074,29.02,306891,7.93,816183,6126000,158.29,1-00149-0009,"91 CHAMBERS STREET
New York, NY
(40.714667021167145, -74.00738361936851)",CIVIC CENTER,D6-ELEVATOR,39,2009,45000,1593450,35.41,468450,10.41,1125000,5220000,116,0.1,1-00173-0017,"74 LEONARD STREET
New York, NY
(40.71742793979706, -74.00526121937935)",CIVIC CENTER,D7-ELEVATOR,19,1920,23000,680655,29.59,244216,10.62,436439,3272000,142.26,0.16,, , , , , , , , , , , , , , 
1-00150-0010,"74 READE STREET
New York, NY
(40.71521560760499, -74.00706885665824)",CIVIC CENTER,D4-ELEVATOR,12,1915,17056,488825,28.66,127238,7.46,361587,2716000,159.24,1-00149-0009,"91 CHAMBERS STREET
New York, NY
(40.714667021167145, -74.00738361936851)",CIVIC CENTER,D6-ELEVATOR,39,2009,45000,1593450,35.41,468450,10.41,1125000,5220000,116,0.04,1-00173-0017,"74 LEONARD STREET
New York, NY
(40.71742793979706, -74.00526121937935)",CIVIC CENTER,D7-ELEVATOR,19,1920,23000,680655,29.59,244216,10.62,436439,3272000,142.26,0.13,, , , , , , , , , , , , , , 
1-00161-0001,"196 PARK ROW
New York, NY
(40.71306618532647, -74.00100638760841)",CIVIC CENTER,D4-ELEVATOR,253,1965,306862,9521928,31.03,2611396,8.51,6910532,51617000,168.21,1-00163-0021,"67 BAYARD STREET
New York, NY
(40.715521377094944, -73.99819254822904)",CHINATOWN,C7-WALK-UP,28,1945,14200,374596,26.38,157336,11.08,217260,1572000,110.7,0.14,1-00107-0042,"23 PECK
New York, NY
(40.56335496284127, -74.14113518913265)",SOUTHBRIDGE,D7-ELEVATOR,24,1900,25903,959447,37.04,326119,12.59,633328,2948000,113.81,0.38,, , , , , , , , , , , , , , 
1-00172-0001,"364 BROADWAY
New York, NY
(40.717553844881195, -74.00343559565988)",CHINATOWN,D0-ELEVATOR,40,1920,93378,2491325,26.68,863747,9.25,1627578,11768000,126.03,1-00151-0001,"101 DUANE STREET
New York, NY
(40.715548356755846, -74.00609758886662)",CIVIC CENTER,D6-ELEVATOR,443,1988,434418,17024841,39.19,5786448,13.32,11238393,84991000,195.64,0.19,1-00163-0021,"67 BAYARD STREET
New York, NY
(40.715521377094944, -73.99819254822904)",CHINATOWN,C7-WALK-UP,28,1945,14200,374596,26.38,157336,11.08,217260,1572000,110.7,0.31,1-00470-0029,212 GRAND STREET,LITTLE ITALY,D9-ELEVATOR,16,1920,"14,221","379,406",26.68,"131,484",9.25,"247,922","1,793,000",126.08,0.39
1-00178-0025,"13 WHITE STREET
New York, NY
(40.719100678771554, -74.00539611768374)",CIVIC CENTER,D4-ELEVATOR,29,1890,49000,1187760,24.24,480690,9.81,707070,5144000,104.98,1-00149-0009,"91 CHAMBERS STREET
New York, NY
(40.714667021167145, -74.00738361936851)",CIVIC CENTER,D6-ELEVATOR,39,2009,45000,1593450,35.41,468450,10.41,1125000,5220000,116,0.29,1-00173-0017,"74 LEONARD STREET
New York, NY
(40.71742793979706, -74.00526121937935)",CIVIC CENTER,D7-ELEVATOR,19,1920,23000,680655,29.59,244216,10.62,436439,3272000,142.26,0.13,, , , , , , , , , , , , , , 
1-00179-0006,"7 WORTH STREET
New York, NY
(40.717994512675546, -74.0083099210587)",TRIBECA,D4-ELEVATOR,18,1920,43094,1090709,25.31,380520,8.83,710189,5155000,119.62,1-00163-0021,"67 BAYARD STREET
New York, NY
(40.715521377094944, -73.99819254822904)",CHINATOWN,C7-WALK-UP,28,1945,14200,374596,26.38,157336,11.08,217260,1572000,110.7,0.56,1-00489-0036,"59 THOMPSON STREET
New York, NY
(40.72412788891535, -74.00324673803374)",SOHO,D9-ELEVATOR,36,1900,15918,385865,24.24,156079,9.81,229786,1672000,105.04,0.48,, , , , , , , , , , , , , , 
1-00179-0011,"1 WORTH STREET
New York, NY
(40.71812941097994, -74.00858871088775)",TRIBECA,D4-ELEVATOR,11,1915,19285,603813,31.31,189186,9.81,414627,2869000,148.77,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.72197120761439, -74.00786682918154)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.27,1-00179-0032,"176 BROADWAY
New York, NY
(40.71000853305537, -74.00978480918673)",TRIBECA,D6-ELEVATOR,17,2008,52930,1622305,30.65,501776,9.48,1120529,8377000,158.27,0,, , , , , , , , , , , , , , 
1-00179-0017,"84 HUDSON STREET
New York, NY
(40.718758936400434, -74.00879555495453)",TRIBECA,D0-ELEVATOR,38,1915,51748,1529153,29.55,474529,9.17,1054624,7907000,152.8,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.72197120761439, -74.00786682918154)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.27,1-00504-0031,"112 SULLIVAN STREET
New York, NY
(40.72589056009281, -74.00282405667997)",SOHO,D1-ELEVATOR,60,1920,38880,1149094,29.55,356644,9.17,792450,5941000,152.8,0.58,1-00489-0036,59 THOMPSON STREET,SOHO,D9-ELEVATOR,36,1900,"15,918","385,865",24.24,"156,079",9.81,"229,786","1,672,000",105.04,0.48
1-00179-0056,"100 HUDSON STREET
New York, NY
(40.71908269233097, -74.00874159563278)",TRIBECA,D4-ELEVATOR,49,1919,73954,2185341,29.55,678158,9.17,1507183,11300000,152.8,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.72197120761439, -74.00786682918154)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.24,1-00504-0031,"112 SULLIVAN STREET
New York, NY
(40.72589056009281, -74.00282405667997)",SOHO,D1-ELEVATOR,60,1920,38880,1149094,29.55,356644,9.17,792450,5941000,152.8,0.55,1-00163-0021,67 BAYARD STREET,CHINATOWN,C7-WALK-UP,28,1945,"14,200","374,596",26.38,"157,336",11.08,"217,260","1,572,000",110.7,0.57
1-00187-0030,"105 HUDSON STREET
New York, NY
(40.71949638046448, -74.0086696498704)",TRIBECA,D0-ELEVATOR,32,1920,89724,2651344,29.55,822769,9.17,1828575,13710000,152.8,1-00179-0032,"176 BROADWAY
New York, NY
(40.71000853305537, -74.00978480918673)",TRIBECA,D6-ELEVATOR,17,2008,52930,1622305,30.65,501776,9.48,1120529,8377000,158.27,0.12,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.72197120761439, -74.00786682918154)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.21,, , , , , , , , , , , , , , 
1-00188-0001,"55 MOORE STREET
New York, NY
(40.57131532865239, -74.14158239631931)",TRIBECA,D4-ELEVATOR,14,1915,23700,742050,31.31,237650,10.03,504400,3765000,158.86,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.72197120761439, -74.00786682918154)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.17,1-00179-0032,"176 BROADWAY
New York, NY
(40.71000853305537, -74.00978480918673)",TRIBECA,D6-ELEVATOR,17,2008,52930,1622305,30.65,501776,9.48,1120529,8377000,158.27,0.16,, , , , , , , , , , , , , , 
1-00189-0025,"34 MOORE STREET
New York, NY
(40.57150688940339, -74.14169708573752)",TRIBECA,D0-ELEVATOR,14,1910,28500,842460,29.56,281580,9.88,560880,4205000,147.54,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.72197120761439, -74.00786682918154)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.19,1-00144-0026,"142 BROADWAY
New York, NY
(40.87333788079353, -73.91157107750263)",TRIBECA,D5-ELEVATOR,9,1915,20250,549828,27.15,194770,9.62,355058,6186000,305.48,0.18,, , , , , , , , , , , , , , 
1-00210-0026,"45 LISPENARD STREET
New York, NY
(40.719640271989135, -74.00308486006844)",TRIBECA,D4-ELEVATOR,19,1920,37400,891990,23.85,310794,8.31,581196,4232000,113.16,1-00489-0036,"59 THOMPSON STREET
New York, NY
(40.72412788891535, -74.00324673803374)",SOHO,D9-ELEVATOR,36,1900,15918,385865,24.24,156079,9.81,229786,1672000,105.04,0.32,1-00504-0036,"100 SULLIVAN STREET
New York, NY
(40.72558479060285, -74.00307586684818)",SOHO,D1-ELEVATOR,70,1920,53200,1247289,23.45,362260,6.81,885029,6455000,121.33,0.43,, , , , , , , , , , , , , , 
1-00214-0025,"135 HUDSON STREET
New York, NY
(40.72083637028811, -74.00842683292251)",TRIBECA,C6-WALK-UP,12,1915,22363,650092,29.07,206858,9.25,443234,3326000,148.73,1-00214-0002,"399 GREENWICH STREET
New York, NY
(40.720854356728694, -74.00998266003319)",TRIBECA,C7-WALK-UP,22,1915,7450,276437,37.11,88706,11.91,187731,1381000,185.37,0.04,1-00174-0007,"75 LEONARD STREET
New York, NY
(40.71740995335648, -74.0052072600576)",CIVIC CENTER,C7-WALK-UP,18,1920,23072,760127,32.95,398147,17.26,361980,2691000,116.63,0.32,, , , , , , , , , , , , , , 
1-00219-0026,"165 HUDSON STREET
New York, NY
(40.72213139401032, -74.0082020024152)",TRIBECA,D0-ELEVATOR,18,1910,30000,803100,26.77,152100,5.07,651000,4706000,156.87,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.72197120761439, -74.00786682918154)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.09,1-00179-0032,"176 BROADWAY
New York, NY
(40.71000853305537, -74.00978480918673)",TRIBECA,D6-ELEVATOR,17,2008,52930,1622305,30.65,501776,9.48,1120529,8377000,158.27,0.29,, , , , , , , , , , , , , , 
1-00229-0020,"71 GRAND STREET
New York, NY
(40.721924549943594, -74.00283304990023)",SOHO,D4-ELEVATOR,18,1920,42240,1377869,32.62,387763,9.18,990106,7366000,174.38,1-00173-0027,"343 BROADWAY
New York, NY
(40.87333788079353, -73.91157107750263)",CIVIC CENTER,D6-ELEVATOR,359,2005,396000,14128690,35.68,3635867,9.18,10492823,77529000,195.78,0.31,1-00504-0031,"112 SULLIVAN STREET
New York, NY
(40.72589056009281, -74.00282405667997)",SOHO,D1-ELEVATOR,60,1920,38880,1149094,29.55,356644,9.17,792450,5941000,152.8,0.33,, , , , , , , , , , , , , , 
