,NAME,lat,lng,NTAName,Type
97,45th Street Theater,40.75985115,-73.99061841,Clinton,Theater
98,47th Street Theater,40.76047123,-73.98810595,Clinton,Theater
99,5.90E+60,40.76339943,-73.9703845,Upper East Side-Carnegie Hill,Theater
100,Acorn Theater,40.75853668,-73.99332385,Clinton,Theater
101,Al Hirschfeld Theater,40.75926091,-73.98921433,Clinton,Theater
102,Ambassador Theatre,40.76125861,-73.98500141,Midtown-Midtown South,Theater
103,American Airlines Theatre,40.75677874,-73.98804924,Midtown-Midtown South,Theater
104,Apollo Theater,40.81003732,-73.95003984,Central Harlem South,Theater
105,Arclight Theatre,40.77711991,-73.98121029,Lincoln Square,Theater
106,Astor Place Theatre,40.72937741,-73.99234386,West Village,Theater
107,Atlantic Theatre,40.74388769,-74.00155441,Hudson Yards-Chelsea-Flatiron-Union Square,Theater
108,August Wilson Theatre,40.76337196,-73.98419954,Midtown-Midtown South,Theater
109,Barrow Street Theatre,40.73232948,-74.00308826,West Village,Theater
110,Beacon Theatre,40.78056073,-73.98099284,Upper West Side,Theater
111,Belasco Theatre,40.75665277,-73.98378604,Midtown-Midtown South,Theater
112,Bernard B. Jacobs Theatre,40.75862947,-73.98772366,Midtown-Midtown South,Theater
113,Bleecker Street Theater,40.72595305,-73.99417513,West Village,Theater
114,Booth Theatre,40.75837297,-73.98708846,Midtown-Midtown South,Theater
115,Broadhurst Theatre,40.75826441,-73.98762266,Midtown-Midtown South,Theater
116,Broadway Theatre,40.7632702,-73.98335055,Midtown-Midtown South,Theater
117,Brooks Atkinson Theatre,40.75995785,-73.98698343,Midtown-Midtown South,Theater
118,Castillo Theater,40.76060535,-73.99696366,Clinton,Theater
119,Century Center For the Performing Arts,40.73516748,-73.98888987,Gramercy,Theater
120,Cherry Lane Theatre,40.73126211,-74.00531119,West Village,Theater
121,Circle In the Square Theatre,40.76202946,-73.98454847,Midtown-Midtown South,Theater
122,Connelly Theater,40.72357459,-73.98361168,East Village,Theater
123,Cort Theatre,40.75911744,-73.98305629,Midtown-Midtown South,Theater
124,Daryl Roth Theatre,40.7352828,-73.98936977,Gramercy,Theater
125,Duke Theatre,40.75682251,-73.98817225,Midtown-Midtown South,Theater
126,Ed Sullivan Theater,40.76380679,-73.98289839,Midtown-Midtown South,Theater
127,Ethel Barrymore Theatre,40.76010048,-73.98615678,Midtown-Midtown South,Theater
128,Eugene O'Neill Theater,40.76107756,-73.98576311,Midtown-Midtown South,Theater
129,Gene Frankel Theatre Workshop,40.72667008,-73.99363928,West Village,Theater
130,Gerald Schoenfeld Theatre,40.75850593,-73.98742769,Midtown-Midtown South,Theater
131,Gershwin Theatre,40.76242129,-73.98515837,Midtown-Midtown South,Theater
132,Gramercy Arts Theatre,40.74165282,-73.98257771,Gramercy,Theater
133,Greenwich Street Theater,40.72729299,-74.00862295,SoHo-TriBeCa-Civic Center-Little Italy,Theater
134,Harold Clurman Theater,40.75853551,-73.99342334,Clinton,Theater
135,Helen Hayes Theater,40.7578637,-73.98783931,Midtown-Midtown South,Theater
136,Henry Miller Theatre (stephen miller),40.75556598,-73.98471393,Midtown-Midtown South,Theater
137,Here Theater,40.72512759,-74.00494631,SoHo-TriBeCa-Civic Center-Little Italy,Theater
138,Hilton Theatre,40.75659286,-73.98761936,Midtown-Midtown South,Theater
139,Imperial Theatre,40.75894905,-73.98734088,Midtown-Midtown South,Theater
140,Jane Street Theatre,40.7382994,-74.00932443,West Village,Theater
141,John Golden Theatre,40.75872007,-73.98796549,Midtown-Midtown South,Theater
142,Julia Miles Theater,40.76688568,-73.98789903,Clinton,Theater
143,Kraine Theater,40.7265902,-73.98980049,East Village,Theater
144,La Mama Experimental Theatre,40.7263277,-73.99020242,East Village,Theater
145,Lamb's Theatre,40.75649368,-73.98458378,Midtown-Midtown South,Theater
146,Laura Pels Theater,40.75786783,-73.98243996,Midtown-Midtown South,Theater
147,Lion Theatre,40.758456,-73.99342997,Clinton,Theater
148,Longacre Theatre,40.76035023,-73.98597263,Midtown-Midtown South,Theater
149,Lucille Lortel Theatre,40.73335633,-74.00574435,West Village,Theater
150,Lunt-Fontanne Theatre,40.75918096,-73.98591873,Midtown-Midtown South,Theater
151,Lyceum Theatre,40.75777478,-73.98452951,Midtown-Midtown South,Theater
152,Majestic Theatre,40.75841267,-73.98801247,Midtown-Midtown South,Theater
153,Manhattan Ensemble Theatre,40.72198769,-74.00120856,SoHo-TriBeCa-Civic Center-Little Italy,Theater
154,Manhattan Theatre Source,40.73282809,-73.99840463,West Village,Theater
155,Marquis Theatre,40.75851161,-73.98589651,Midtown-Midtown South,Theater
156,Mazer Theatre,40.71398064,-73.98835232,Lower East Side,Theater
157,McGinn Cazale Theater,40.7818073,-73.98055521,Upper West Side,Theater
158,Metropolitan Playhouse,40.72349765,-73.98366128,East Village,Theater
159,Michael Schimmel Center for the Arts at Pace University,40.7113565,-74.00509728,Battery Park City-Lower Manhattan,Theater
160,Miller Theatre at Columbia University,40.80758671,-73.96346046,Morningside Heights,Theater
161,Minskoff Theatre,40.75792334,-73.98605419,Midtown-Midtown South,Theater
162,Music Box Theatre,40.75888741,-73.98714246,Midtown-Midtown South,Theater
163,Nederlander Theater,40.7554868,-73.98830897,Midtown-Midtown South,Theater
164,Neil Simon Theatre,40.76301793,-73.98452812,Midtown-Midtown South,Theater
165,New Amsterdam Theater,40.75612047,-73.98776301,Midtown-Midtown South,Theater
166,New Victory Theatre,40.75655716,-73.98746416,Midtown-Midtown South,Theater
167,New World Stages,40.76237396,-73.98786703,Clinton,Theater
168,Next Stage Theater,40.73562147,-74.00658864,West Village,Theater
169,Nokia Theatre Times Square,40.75767817,-73.98621794,Midtown-Midtown South,Theater
170,Ohio Theatre,40.72327984,-74.00161141,SoHo-TriBeCa-Civic Center-Little Italy,Theater
171,Ontological Hysteric Theater,40.72054656,-74.00567109,SoHo-TriBeCa-Civic Center-Little Italy,Theater
172,Orpheum Theater,40.77945538,-73.95400943,Upper East Side-Carnegie Hill,Theater
173,P.S.122 Performance Space,40.72821812,-73.98453728,East Village,Theater
174,Palace Theatre,40.75888993,-73.98447032,Midtown-Midtown South,Theater
175,Pearl Theatre,40.72755902,-73.98579978,East Village,Theater
176,People's Improv Theater,40.74736718,-73.99228995,Midtown-Midtown South,Theater
177,Playwrights Horizons Theater School,40.72948863,-73.992221,West Village,Theater
178,Queens Theatre in the Park,40.74397928,-73.8445521,park-cemetery-etc-Queens,Theater
179,Rattlestick Theater,40.73617407,-74.0020365,West Village,Theater
180,Richard Rodgers Theatre,40.75903833,-73.98674176,Midtown-Midtown South,Theater
181,Samuel J. Friedman Theatre (formerly the Biltmore),40.76037502,-73.9867451,Midtown-Midtown South,Theater
